"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","Alpena Depot","1","","Start Depot","06:00:00","06:00:00","","0","0","0","","","","","","","False","","","False","","","","0","0","0","","120 E Herman St,, Alpena 49707 US","120 E Herman St,","","Alpena","","49707","US","-83.416387","45.0710235","3","Street Address - Automatic","120 E Herman St, Alpena MI 49707 US","120 E Herman St","","Alpena","MI","49707","US","0","0","0","0","0","0","","","","","","","","","","","","","2025/02/17 22:05","-26","-238","","-1","-8983"
"2","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","THE THIRSTY STURGEON","2","1","Route Stop","07:31:36","07:36:36","","5","118.460710059172","143.942366863905","","14480","","","","","False","","","False","","","Highest Priority","0","0","0","","11900 SCOTT ROAD, WOLVERINE MI 49799 US","11900 SCOTT ROAD","","WOLVERINE","MI","49799","US","-84.608285","45.291799","3","Street Address - Automatic","11900 Scott Rd, Wolverine MI 49799 US","11900 Scott Rd","","Wolverine","MI","49799","US","132108.669023769","132.108669023769","82.088522201702","132108.669023769","0","91.6094099730253","73517","00000","","","102","","120","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6617","","-9577"
"3","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","CHEBOYGAN COUNTY ROAD COMMISSI","3","2","Route Stop","07:45:13","07:45:13","","0","0","0","","2898","","","","","False","","","False","","","Highest Priority","0","0","0","","7055 BUNKER RD, INDIAN RIVER MI 49749 US","7055 BUNKER RD","","INDIAN RIVER","MI","49749","US","-84.63181","45.38522","3","Street Address - Automatic","7055 Bunker Rd, Indian River MI 49749 US","7055 Bunker Rd","","Indian River","MI","49749","US","11389.6916034876","11.3896916034876","7.07722633928899","0","11389.6916034876","8.6227591522038","73079","00000","","","102","","100","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6615","","-9578"
"4","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","BURT LAKE MARINA","4","3","Route Stop","07:45:39","07:45:39","","0","68.38","68.38","","16102","","","","","False","","","False","","","Highest Priority","0","0","0","","7010 BUNKER RD, INDIAN RIVER MI 49749 US","7010 BUNKER RD","","INDIAN RIVER","MI","49749","US","-84.6300633","45.386125","3","Street Address - Automatic","7010 Bunker Rd, Indian River MI 49749 US","7010 Bunker Rd","","Indian River","MI","49749","US","136.379843511652","0.136379843511652","0.0847425070186476","0","136.379843511652","0.430702751502395","73576","00000","","","102","","105","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6584","","-9579"
"5","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","THUNDER BAY HEALTH-INDIAN RIVE","5","4","Route Stop","07:47:27","07:51:27","","4","53.7185714285714","61.982967032967","","14858","","","","","False","","","False","","","Highest Priority","0","0","0","","4363 S STRAITS HWY, INDIAN RIVER MI 49749 US","4363 S STRAITS HWY","","INDIAN RIVER","MI","49749","US","-84.626735","45.3986933","3","Street Address - Automatic","4363 S Straits Hwy, Indian River MI 49749 US","4363 S Straits Hwy","","Indian River","MI","49749","US","1597.35303930118","1.59735303930118","0.992549174854223","0","1597.35303930118","1.79080903157592","73404","00008","","","102","","90","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:17 PM","","2025/02/17 22:05","-26","-238","-6816","","-9580"
"6","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","Wilson's Rivers Edge","6","5","Route Stop","07:52:06","08:11:06","","19","113.844792899408","234.590591715976","","2258","","","","","False","","","False","","","Highest Priority","0","0","0","","4208 South Straits Hwy, Indian River MI 49749 US","4208 South Straits Hwy","","Indian River","MI","49749","US","-84.61889","45.402212","3","Street Address - Automatic","4208 S Straits Hwy, Indian River MI 49749 US","4208 S Straits Hwy","","Indian River","MI","49749","US","755.888136253878","0.755888136253878","0.469687118289836","0","755.888136253878","0.656020054593682","70832","00000","","","102","","85","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6613","","-9581"
"7","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","KEN'S VILLAGE MARKET 213","7","6","Route Stop","08:12:36","08:50:36","","38","252.563786982248","254.463905325444","","2262","","","","","False","","","False","","","Highest Priority","0","0","0","","6433 Barbra Indian River P.O. Box 2009, Indian River MI 49749 US","6433 Barbra Indian River","P.O. Box 2009","Indian River","MI","49749","US","-84.617712","45.403873","5","Street Address - Manual","6433 Barbara St, Indian River MI 49749 US","6433 Barbara St","","Indian River","MI","49749","US","524.794655281348","0.524794655281348","0.326092284705757","0","524.794655281348","1.50295409373939","99062","00037","","","102","","75","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6622","","-9582"
"8","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","BLARNEY CASTLE 596","8","7","Route Stop","08:51:34","08:51:34","","0","167.432071005917","289.392544378698","","16296","","","","","False","","","False","","","Highest Priority","0","0","0","","6153 M-68 HIGHWAY PO BOX 87, INDIAN RIVER MI 49749 US","6153 M-68 HIGHWAY","PO BOX 87","INDIAN RIVER","MI","49749","US","-84.61645747","45.40442797","3","Street Address - Automatic","M 68 Hwy, Indian River MI 49749 US","M 68 Hwy","","Indian River","MI","49749","US","147.381725936825","0.147381725936825","0.0915787599034364","0","147.381725936825","0.95624952018261","99031","00181","","","102","","45","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6587","","-9583"
"9","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","BLARNEY CASTLE 592","9","8","Route Stop","08:53:19","09:06:19","","13","52.057032967033","101.695274725275","","8562","","","","","False","","","False","","","Highest Priority","0","0","0","","4524 S. STRAITS HWY, INDIAN RIVER MI 49749 US","4524 S. STRAITS HWY","","INDIAN RIVER","MI","49749","US","-84.629691","45.396483","3","Street Address - Automatic","4524 S Straits Hwy, Indian River MI 49749 US","4524 S Straits Hwy","","Indian River","MI","49749","US","1502.31714528233","1.50231714528233","0.933496607344658","0","1502.31714528233","1.75901645235717","99031","00089","","","102","","95","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6619","","-9584"
"10","Alpena Solution V","Joseph_102","FreqOpt_Week1_Monday","","","BLARNEY CASTLE 650","10","9","Route Stop","09:16:10","09:16:10","","0","217.792781065089","340.234911242604","","16335","","","","","False","","","False","","","Highest Priority","0","0","0","","6977 M-68, ALANSON MI 49706 US","6977 M-68","","ALANSON","MI","49706","US","-84.772182","45.442356","3","Street Address - Automatic","6977 M 68, Alanson MI 49706 US","6977 M 68","","Alanson","MI","49706","US","13770.2069586362","13.7702069586362","8.55641002213612","0","13770.2069586362","9.85146563127637","99031","00190","","","102","","130","","","2/17/2025 10:04:40 PM","2/17/2025 10:05:16 PM","","2025/02/17 22:05","-26","-238","-6589","","-9585"
