"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","Alpena Depot","1","","Start Depot","06:00:00","06:00:00","","0","0","0","","","","","","","False","","","False","","","","0","0","0","","120 E Herman St,, Alpena 49707 US","120 E Herman St,","","Alpena","","49707","US","-83.416387","45.0710235","3","Street Address - Automatic","120 E Herman St, Alpena MI 49707 US","120 E Herman St","","Alpena","MI","49707","US","0","0","0","0","0","0","","","","","","","","","","","","2025/03/05 21:19","2025/03/05 21:19","-10","-181","","-1","-4714"
"2","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","FAMILY FARE #1519 FIRST AID","2","1","Route Stop","06:59:25","07:12:25","","13","0","29.72","","13077","","","","","False","","","False","","","Highest Priority","0","0","0","","5463 N. HURON RD., OSCODA MI 48750 US","5463 N. HURON RD.","","OSCODA","MI","48750","US","-83.330908","44.437776","24","Lat/Lon - Automatic","","","","","","","","78366.0907792235","78.3660907792235","48.694431866795","78366.0907792235","0","59.4328348562121","99161","00113","","101","101","101","50","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4386","","-4715"
"3","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","FAMILY FARE #1519","3","2","Route Stop","07:12:25","07:48:25","","36","134.621538461538","152.458461538462","","2603","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","5463 N. HURON RD. 5463 N. HURON RD, OSCODA MI 48750 US","5463 N. HURON RD.","5463 N. HURON RD","OSCODA","MI","48750","US","-83.330908","44.437776","24","Lat/Lon - Automatic","","","","","","","","0","0","0","0","0","0","99061","00113","","101","101","101","45","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4390","","-4716"
"4","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","GARY OIL BASE GARAGE","4","3","Route Stop","07:49:30","08:01:30","","12","104.93","104.93","","14258","","","","","True","06:00","17:00","False","","","Highest Priority","0","0","0","","5123 N. US-23, OSCODA MI 48750 US","5123 N. US-23","","OSCODA","MI","48750","US","-83.3305433","44.4286883","24","Lat/Lon - Automatic","","","","","","","","1009.0066422184","1.0090066422184","0.626967668083218","0","1009.0066422184","1.073535900563","99058","00047","","101","101","101","20","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4391","","-4717"
"5","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","FORWARDS OSCODA #137","5","4","Route Stop","08:01:30","08:09:30","","8","32.1821301775148","48.1194082840237","","14179","","","","","True","06:00","17:00","False","","","Highest Priority","0","0","0","","5123 N. US-23, OSCODA MI 48750 US","5123 N. US-23","","OSCODA","MI","48750","US","-83.3305433","44.4286883","24","Lat/Lon - Automatic","","","","","","","","0","0","0","0","0","0","99058","00046","","101","101","101","35","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4393","","-4718"
"6","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","ROGERS-OSCOCA 4055","6","5","Route Stop","08:10:22","08:25:22","","15","39.62","39.62","","9919","","","","","True","08:00","17:00","False","","","Highest Priority","0","0","0","","5112 US 23, OSCODA MI 48750 US","5112 US 23","","OSCODA","MI","48750","US","-83.329316","44.427904","24","Lat/Lon - Automatic","","","","","","","","270.563698866208","0.270563698866208","0.168120490240934","0","270.563698866208","0.865742372348905","99062","00120","","101","101","101","30","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4392","","-4719"
"7","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","BLARNEY CASTLE 653","7","6","Route Stop","08:26:44","08:36:44","","10","174.529289940828","228.896863905325","","16341","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","5170 N STATE ST, OSCODA MI 48750 US","5170 N STATE ST","","OSCODA","MI","48750","US","-83.33018452","44.4221835","3","Street Address - Automatic","N State St, Oscoda MI 48750 US","N State St","","Oscoda","MI","48750","US","687.788210759531","0.687788210759531","0.427371785865503","0","687.788210759531","1.37276809103787","99031","00192","","101","101","101","45","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4402","","-4720"
"8","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","A.H.C.-RICHARDSON OWL","8","7","Route Stop","08:41:17","08:51:17","","10","7.69711538461538","13.7075","","17096","","","","","False","","","False","","","Highest Priority","0","0","0","","3630 E RIVER RD, OSCODA MI 48750 US","3630 E RIVER RD","","OSCODA","MI","48750","US","-83.377734","44.423991","3","Street Address - Automatic","3630 E River Rd, Oscoda MI 48750 US","3630 E River Rd","","Oscoda","MI","48750","US","4156.42872290826","4.15642872290826","2.58268510326797","0","4156.42872290826","4.54003717191517","73063","00016","","101","101","101","5","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4513","","-4721"
"9","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","HILLTOP BAR & GRILL","9","8","Route Stop","08:54:19","09:07:19","","13","126.267142857143","145.692857142857","","9582","","","","","False","","","False","","","Highest Priority","0","0","0","","431 N MILL ST, OSCODA MI 48750 US","431 N MILL ST","","OSCODA","MI","48750","US","-83.341904","44.419621","24","Lat/Lon - Automatic","","","","","","","","3125.13912717029","3.12513912717029","1.94187144961676","0","3125.13912717029","3.03638159483671","73311","00000","","101","101","101","70","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4505","","-4722"
"10","Alpena 25 Reroute","Three_101","FreqOpt_Week1_Monday","","","Mama's Country Kitchen","10","9","Route Stop","09:09:53","09:32:53","","23","68.2330177514793","92.7300591715976","","2621","","","","","True","08:00","17:00","False","","","Highest Priority","0","0","0","","384 S. State Street, Oscoda MI 48750 US","384 S. State Street","","Oscoda","MI","48750","US","-83.3259177","44.4110612","24","Lat/Lon - Automatic","","","","","","","","1724.22742394452","1.72422742394452","1.07138526348932","0","1724.22742394452","2.57164488919079","71218","00000","","101","101","101","85","","","3/5/2025 9:19:49 PM","3/5/2025 9:19:49 PM","2025/03/05 21:19","2025/03/05 21:19","-10","-181","-4373","","-4723"
