Acct #	Cust #	Week #	New Rt	New Delivery Day	New Stop	Customer Name	DisplayAddressFull	X_Longitude	Y_Latitude
73526	0	Week1	102	F	1	MICKEY'S MINI MART	404 S. HURON AVE, MACKINAC CITY MI 49701 US	-84.726833	45.7777023
99138	1	Week1	102	F	2	MACKINAW COFFEE	302 SOUTH HURON, MACKINAW CITY MI 49701 US	-84.7260475	45.7797368
99138	6	Week1	102	F	3	THE HISTORIC DEPOT	248 S. HURON, MACKINAW CITY MI 49701 US	-84.727303	45.780214
73425	0	Week1	102	F	4	KILWINS/MACKINAW CITY	226 E. CENTRAL AVE, MACKINAW CITY MI 49701 US	-84.728128	45.78108
70899	0	Week1	102	F	5	MURDICK'S FUDGE (CROSSINGS)	190 S. HURON, MACKINAC CITY MI 49701 US	-84.728079	45.780752
71366	0	Week1	102	F	6	Marshall's Fudge	308 E. Central Ave., Mackinaw City MI 49701 US	-84.726712	45.781181
70845	0	Week1	102	F	7	American Legion Post 159	106 South Huron, Mackinaw City MI 49701 US	-84.725823	45.7809195
70011	0	Week1	102	F	8	JOANN'S FUDGE - MAC. CITY	303 E. CENTRAL AVE., MACKINAW CITY MI 49701 US	-84.7269835	45.7818955
73394	0	Week1	102	F	9	MACKINAW CITY POPCORN FACTORY	301 E. CENTRAL, MACKINAW MI 49701 US	-84.727024	45.781831
99103	0	Week1	102	F	10	NEXT DOOR STR #5017	308 S NICOLET ST, MACKINAW CITY MI 49701 US	-84.73254	45.778651
99138	8	Week1	102	F	11	WIENERLICIOUS	102 E. CENTRAL, MACKINAW CITY MI 49701 US	-84.731856	45.781227
73519	0	Week1	102	F	12	AUDIE'S RESTAURANT	314 N. STREET, MACKINAC CITY MI 49701 US	-84.7318713	45.7844581
99161	107	Week1	102	F	13	SPT. FAMILY FARE #1530 FIRST A	699 US 2, ST. IGNACE MI 49781 US	-84.7195217	45.8573467
70015	0	Week1	102	F	14	JOANN'S FUDGE	303 E CENTRAL AVE VIA-ARNOLD LINE, MACKINAC ISLAND MI 49757 US	-84.7027178	45.854356
