""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"0"	"70740.0"	"0.0"	"Week1"	"101.0"	"F"	"1.0"	"Joe's Bar"	"1300 Ford Ave., Alpena MI 49707 US"	"-83.417866"	"45.06883"
"1"	"70489.0"	"1.0"	"Week1"	"101.0"	"F"	"2.0"	"Decorative Panels Internationa"	"416 Ford Ave., Alpena MI 49707 US"	"-83.426479"	"45.064027"
"2"	"70489.0"	"3.0"	"Week1"	"101.0"	"F"	"3.0"	"Decorative Panels Internationa"	"416 Ford Ave., Alpena MI 49707 US"	"-83.426479"	"45.064027"
"3"	"70489.0"	"0.0"	"Week1"	"101.0"	"F"	"4.0"	"Decorative Panels Internationa"	"416 Ford Ave., Alpena MI 49707 US"	"-83.426479"	"45.064027"
"4"	"70524.0"	"0.0"	"Week1"	"101.0"	"F"	"5.0"	"J & J Bar & Grille"	"411 N. Second, Alpena MI 49707 US"	"-83.429562"	"45.064784"
"5"	"70106.0"	"0.0"	"Week1"	"101.0"	"F"	"6.0"	"KENTUCKY FRIED CHICKEN"	"1130 STATE ST, ALPENA MI 49707 US"	"-83.446096"	"45.048542"
"6"	"70565.0"	"0.0"	"Week1"	"101.0"	"F"	"7.0"	"Mancino's - Alpena"	"1235 State St. 319 Parson St., Alpena MI 49707 US"	"-83.447651"	"45.048427"
"7"	"70641.0"	"0.0"	"Week1"	"101.0"	"F"	"8.0"	"State St. Lube"	"105 Mason St., Alpena MI 49707 US"	"-83.4485"	"45.04766"
"8"	"70603.0"	"0.0"	"Week2"	"101.0"	"F"	"8.0"	"ALLEGRA PRINTING"	"829 W. Chisholm St., Alpena MI 49707 US"	"-83.442205"	"45.070042"
"9"	"70530.0"	"0.0"	"Week1"	"101.0"	"F"	"9.0"	"Big Boy Ripley"	"400 South Ripley, Alpena MI 49707 US"	"-83.452781"	"45.048124"
"10"	"73401.0"	"0.0"	"Week1"	"101.0"	"F"	"10.0"	"CHINA BUFFET OF EAST TAWAS"	"734 E. BAY ST, EAST TAWAS MI 48730 US"	"-83.4815617"	"44.2805717"
"11"	"99103.0"	"3.0"	"Week1"	"101.0"	"F"	"11.0"	"ADMIRAL #5838"	"512 E LAKE ST, TAWAS CITY MI 48763 US"	"-83.506051"	"44.275237"
"12"	"71014.0"	"0.0"	"Week2"	"101.0"	"F"	"11.0"	"Lake Breeze Food & Liquor"	"3985 Saginaw Street, National City MI 48748 US"	"-83.684123"	"44.319339"
"13"	"73431.0"	"2.0"	"Week1"	"101.0"	"F"	"12.0"	"HURON COMMUNITY BANK-TAWAS CIT"	"401 E. LAKE, TAWAS CITY MI 48763 US"	"-83.507931"	"44.274645"
"14"	"71015.0"	"0.0"	"Week2"	"101.0"	"F"	"12.0"	"Sand Lake Bar"	"3949 W. Saginaw Rd., NATIONAL CITY MI 48730 US"	"-83.682454"	"44.318668"
"15"	"99058.0"	"4.0"	"Week1"	"101.0"	"F"	"13.0"	"Forward #17 (Tawas)"	"309 Lake St. 219 N. Front St., Tawas MI 48763 US"	"-83.508981"	"44.274202"
"16"	"99063.0"	"5.0"	"Week2"	"101.0"	"F"	"13.0"	"DTE ENERGY"	"1101 M-55 3820 South Lachance Rd., Tawas City MI 48764 US"	"-83.5664477"	"44.2794657"
"17"	"73505.0"	"0.0"	"Week1"	"101.0"	"F"	"14.0"	"TAWAS PIZZA COMPANY"	"115 E. LAKE ST., TAWAS CITY MI 48763 US"	"-83.511516"	"44.272543"
"18"	"73468.0"	"0.0"	"Week1"	"101.0"	"F"	"15.0"	"AUGIES ON THE BAY"	"175 W. LAKE ST PO BOX 147, TAWAS CITY MI 48764 US"	"-83.512123"	"44.271247"
"19"	"70997.0"	"1.0"	"Week1"	"101.0"	"F"	"16.0"	"NEIMAN'S FAMILY MKT-MEAT DEPT."	"220 LAKE ST, TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"20"	"73090.0"	"0.0"	"Week1"	"101.0"	"F"	"17.0"	"NEIMAN'S FAMLY MRKT - DELI"	"220 W Lake St, TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"21"	"73089.0"	"0.0"	"Week1"	"101.0"	"F"	"18.0"	"NEIMAN'S FAMILY MRKT - BAKERY"	"220 LAKE ST., TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"22"	"70997.0"	"0.0"	"Week1"	"101.0"	"F"	"19.0"	"NEIMAN'S FAMILY MARKET-GENERAL"	"220 W LAKE ST, TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"23"	"70976.0"	"0.0"	"Week1"	"101.0"	"F"	"20.0"	"Sav-Mor Super Drugs"	"306 W. Lake St., Tawas City MI 48763 US"	"-83.51463"	"44.270626"
"24"	"73471.0"	"105.0"	"Week1"	"101.0"	"F"	"21.0"	"BOATHOUSE BEER CO & BOZERY"	"450 W. LAKE ST., TAWAS CITY MI 48763 US"	"-83.518035"	"44.267584"
"25"	"70991.0"	"0.0"	"Week1"	"101.0"	"F"	"22.0"	"FREEL'S MARKET"	"1139 W Lake Street, Tawas City MI 48763 US"	"-83.53728"	"44.252794"
"26"	"73169.0"	"0.0"	"Week1"	"101.0"	"F"	"23.0"	"SOUTHSIDE SERVICE"	"1210 S US 23, TAWAS CITY MI 48763 US"	"-83.542991"	"44.2499082"
"27"	"99047.0"	"6.0"	"Week2"	"101.0"	"F"	"23.0"	"Alp. Alcona Area C.U. (Tawas)"	"118 W. M-55 P.O. Box 515, Tawas MI 48763 US"	"-83.5269588"	"44.2805532"
"28"	"70993.0"	"0.0"	"Week1"	"101.0"	"F"	"24.0"	"BURESH FUNERAL HOME INC"	"416 WHITTEMORE ST, TAWAS CITY MI 48763 US"	"-83.523257"	"44.268053"
"29"	"73500.0"	"0.0"	"Week1"	"101.0"	"F"	"25.0"	"DEAN ARBOUR"	"55 W. M-55, TAWAS CITY MI 48763 US"	"-83.522922"	"44.278769"
"30"	"70744.0"	"0.0"	"Week1"	"101.0"	"F"	"26.0"	"Tawas Bay Insurance Agency"	"108 W. State St. PO BOX 432, East Tawas MI 48730 US"	"-83.491687"	"44.281742"
"31"	"70986.0"	"0.0"	"Week2"	"101.0"	"F"	"26.0"	"Kentucky Fried Chicken-East Ta"	"600 W. Bay P.O. Box 1385, East Tawas MI 48730 US"	"-83.497524"	"44.278213"
"32"	"73468.0"	"1.0"	"Week1"	"101.0"	"F"	"27.0"	"THE LAZY TOASTER"	"221 NEWMAN STREET, EAST TAWAS MI 48763 US"	"-83.491077"	"44.281299"
"33"	"70969.0"	"0.0"	"Week1"	"101.0"	"F"	"28.0"	"Klenow's Market"	"201 Newman St., East Tawas MI 48730 US"	"-83.49105"	"44.280866"
"34"	"73431.0"	"0.0"	"Week4"	"101.0"	"F"	"28.0"	"HURON COMMUNITY BANK-E. TAWAS"	"301 NEWMAN ST, EAST TAWAS MI 48730 US"	"-83.491305"	"44.281899"
"35"	"73157.0"	"0.0"	"Week1"	"101.0"	"F"	"29.0"	"G'S PIZZA"	"115 BAY, EAST TAWAS MI 48730 US"	"-83.489557"	"44.279861"
"36"	"73431.0"	"3.0"	"Week4"	"101.0"	"F"	"29.0"	"HURON COMMUNITY BANK-E. TAWAS"	"323 NEWMAN STREET, EAST TAWAS MI 48730 US"	"-83.491689"	"44.283415"
"37"	"73167.0"	"0.0"	"Week1"	"101.0"	"F"	"30.0"	"THUNDER BAY ELECTRIC"	"1693 M32, ALPENA MI 49707 US"	"-83.4863883"	"45.0611067"
"38"	"70970.0"	"0.0"	"Week2"	"101.0"	"F"	"30.0"	"Mooney's Ben Franklin"	"138 Newman St., East Tawas MI 48730 US"	"-83.490456"	"44.280599"
"39"	"73267.0"	"0.0"	"Week4"	"101.0"	"F"	"30.0"	"CITY OF EAST TAWAS"	"760 NEWMAN ST., EAST TAWAS MI 48730 US"	"-83.492807"	"44.289824"
"40"	"70494.0"	"0.0"	"Week1"	"101.0"	"F"	"31.0"	"Alpena Supply Co."	"410 S. 11th AVE, ALPENA MI 49707 US"	"-83.44741"	"45.06821"
"41"	"70500.0"	"0.0"	"Week1"	"101.0"	"F"	"32.0"	"Players Pub & Grub"	"113 S. Ninth St., Alpena MI 49707 US"	"-83.4422808"	"45.0687915"
"42"	"73462.0"	"0.0"	"Week4"	"101.0"	"F"	"32.0"	"TAWAS AREA CHAMBER OF COMMERCE"	"228 NEWMAN STREET, EAST TAWAS MI 48730 US"	"-83.490651"	"44.281182"
"43"	"70622.0"	"1.0"	"Week1"	"101.0"	"F"	"33.0"	"WOLVERINE STATE CREDIT UNION"	"417 W. Chisholm St., Alpena MI 49707 US"	"-83.437022"	"45.065837"
"44"	"73510.0"	"0.0"	"Week2"	"101.0"	"F"	"33.0"	"ROUTE 23 BBQ"	"1626 E. US 23, EAST TAWAS MI 48730 US"	"-83.456408"	"44.289496"
"45"	"70502.0"	"0.0"	"Week1"	"101.0"	"F"	"34.0"	"Latitudes"	"307 W. Chisholm St., Alpena MI 49707 US"	"-83.435797"	"45.06455"
"46"	"73299.0"	"0.0"	"Week2"	"101.0"	"F"	"34.0"	"SUNRISE SIDE VETERINARY"	"1941 US 23, EAST TAWAS MI 48730 US"	"-83.442906"	"44.29413"
"47"	"70961.0"	"0.0"	"Week1"	"101.0"	"F"	"35.0"	"WMCR"	"224 WEST CHISHOLM, ALPENA MI 49707 US"	"-83.4348855756681"	"45.0634615269899"
"48"	"70965.0"	"0.0"	"Week2"	"101.0"	"F"	"35.0"	"Tawas Tool"	"980 Aulerich, East Tawas MI 48730 US"	"-83.4233767"	"44.30527"
"49"	"73234.0"	"0.0"	"Week4"	"101.0"	"F"	"39.0"	"TAWAS AREA PRESBYTERIAN CHURCH"	"2095 US 23, EAST TAWAS MI 48730 US"	"-83.436955"	"44.296854"
"50"	"70913.0"	"0.0"	"Week4"	"101.0"	"F"	"40.0"	"Almo Manifold & Tool Company"	"777 Aulerich Road, East Tawas MI 48730 US"	"-83.4285565"	"44.3031647"
"51"	"73162.0"	"0.0"	"Week1"	"101.0"	"M"	"1.0"	"LAFARGE MIDWEST INC OFFICE"	"1435 FORD AVE, ALPENA MI 49707 US"	"-83.409056"	"45.0707383"
"52"	"73365.0"	"0.0"	"Week1"	"101.0"	"M"	"2.0"	"THE BOAT HOUSE"	"2015 HAMILTON RD, ALPENA MI 49707 US"	"-83.45018"	"45.1045967"
"53"	"70512.0"	"0.0"	"Week1"	"101.0"	"M"	"3.0"	"CLIFF ANSCHUETZ CHEVY - BODY"	"1074 US-23 NORTH, ALPENA MI 49707 US"	"-83.455893"	"45.08653"
"54"	"70545.0"	"0.0"	"Week2"	"101.0"	"M"	"3.0"	"ALPENA GOLF CLUB"	"1135 GOLF COURSE RD, ALPENA MI 49707 US"	"-83.4671475"	"45.087826"
"55"	"73099.0"	"0.0"	"Week1"	"101.0"	"M"	"4.0"	"CLIFF ANSCHUETZ CHEV - SERVICE"	"1074 US - 23 NORTH, ALPENA MI 49707 US"	"-83.455893"	"45.08653"
"56"	"73407.0"	"0.0"	"Week1"	"101.0"	"M"	"5.0"	"MI STOP"	"1124 US 23 N, ALPENA MI 49707 US"	"-83.4453207400244"	"45.0722108287274"
"57"	"73102.0"	"0.0"	"Week2"	"101.0"	"M"	"5.0"	"CLIFF ANSCHUETZ CHEVROLET OLDS"	"1074 US-23 NORTH BODY SHOP, ALPENA MI 49707 US"	"-83.455893"	"45.08653"
"58"	"73506.0"	"0.0"	"Week1"	"101.0"	"M"	"6.0"	"B CUBED"	"666 MCKINLEY AVE, ALPENA MI 49707 US"	"-83.4491633"	"45.0669067"
"59"	"99103.0"	"6.0"	"Week1"	"101.0"	"M"	"7.0"	"ADMIRAL #5866"	"906 W WASHINGTON AVE, ALPENA MI 49707 US"	"-83.452418"	"45.06144"
"60"	"70541.0"	"0.0"	"Week2"	"101.0"	"M"	"7.0"	"Immanuel Lutheran Church"	"351 Wilson St., Alpena MI 49707 US"	"-83.452501"	"45.082956"
"61"	"99103.0"	"7.0"	"Week1"	"101.0"	"M"	"8.0"	"ADMIRAL #5867"	"2520 US HIGWAY 23 S, ALPENA MI 49707 US"	"-83.4636246"	"45.0382746"
"62"	"73426.0"	"0.0"	"Week1"	"101.0"	"M"	"9.0"	"STONE BAR & GRILL"	"7002 HURBERT RD, HUBBARD LAKE MI 49747 US"	"-83.587519"	"44.859347"
"63"	"70790.0"	"1.0"	"Week1"	"101.0"	"M"	"10.0"	"Natural Gas Compression"	"1563 W HURBERT RD, HUBBARD LAKE MI 49747 US"	"-83.5891263"	"44.8588142"
"64"	"99046.0"	"14.0"	"Week1"	"101.0"	"M"	"11.0"	"QUICK & CONVENIENT STORE"	"7120 HURBERT RD, HUBBARD LAKE MI 49747 US"	"-83.58996"	"44.859335"
"65"	"70622.0"	"0.0"	"Week2"	"101.0"	"M"	"11.0"	"WOLVERINE STATE CREDIT UNION"	"1381 N. Bagley St P.O. Box 395, Alpena MI 49707 US"	"-83.470976"	"45.065142"
"66"	"71061.0"	"0.0"	"Week1"	"101.0"	"M"	"12.0"	"North End Restaruant"	"1575 Hubert Rd P.O. Box 131, Hubbard Lake MI 49747 US"	"-83.59025"	"44.85878"
"67"	"70776.0"	"0.0"	"Week1"	"101.0"	"M"	"13.0"	"Eagles"	"6848 US-23 North, Spruce MI 48762 US"	"-83.4204422"	"44.8560247"
"68"	"70784.0"	"0.0"	"Week1"	"101.0"	"M"	"14.0"	"CHIPPEWA POINT"	"6575 US 23, SPRUCE MI 48762 US"	"-83.406732"	"44.845368"
"69"	"73327.0"	"0.0"	"Week1"	"101.0"	"M"	"15.0"	"MOUNTAIN FOOD SERVICE"	"5495 US 23 N, BLACK RIVER MI 48721 US"	"-83.3568901094524"	"44.8139621425122"
"70"	"71016.0"	"0.0"	"Week1"	"101.0"	"M"	"16.0"	"DeRocher Masonry"	"12272 US-23 South, Ossineke MI 49766 US"	"-83.4409362"	"44.8973358"
"71"	"99052.0"	"4.0"	"Week1"	"101.0"	"M"	"17.0"	"APS SANBORN ELEMENTARY SCHOOL"	"12170 US-23 South, Ossineke MI 49766 US"	"-83.442794"	"44.899742"
"72"	"70769.0"	"0.0"	"Week1"	"101.0"	"M"	"18.0"	"Francis Service"	"11923 US-23 SOUTH COMPANY 159, Ossineke MI 49766 US"	"-83.442621"	"44.903046"
"73"	"73545.0"	"0.0"	"Week1"	"101.0"	"M"	"19.0"	"OSSINEKE HARDWARE/BLDG SUPPLY"	"11925 US-23, OSSINEKE ME 49766 US"	"-83.44155"	"44.90288"
