"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","Alpena Depot","1","","Start Depot","06:00:00","06:00:00","","0","0","0","","","","","","","False","","","False","","","","0","0","0","","120 E Herman St,, Alpena 49707 US","120 E Herman St,","","Alpena","","49707","US","-83.416387","45.0710235","3","Street Address - Automatic","120 E Herman St, Alpena MI 49707 US","120 E Herman St","","Alpena","MI","49707","US","0","0","0","0","0","0","","","","","","","","","","","","2022/03/14 21:18","2022/03/14 21:18","-2","-81","","-1","-2316"
"2","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","IOSCO TRANSIT CORP","2","1","Route Stop","07:12:59","07:13:11","","0.191666666666667","18.91","18.19","","12502","","","","","True","07:00","16:00","False","","","No Priority","0","0","0","","1036 N. AULERICH, E TAWAS MI 48730 US","1036 N. AULERICH","","E TAWAS","MI","48730","US","-83.4218235","44.3092987","25","Lat/Lon - Saved Recall","1036 Aulerich Rd, East Tawas MI 48730 US","1036 Aulerich Rd","","East Tawas","MI","48730","US","97386.9088001236","97.3869088001236","60.5134203854234","97386.9088001236","0","72.9874185166715","73469","1","MTWRF","","","","0","101_Week2_Tuesday","2","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2390","","-2317"
"3","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","IOSCO TRANSIT CORP","3","2","Route Stop","07:13:10","07:23:22","","10.2083333333333","27.04","30.3725","","12501","","","","","True","07:00","16:00","False","","","No Priority","0","0","0","","1036 N. AULERICH, E TAWAS MI 48730 US","1036 N. AULERICH","","E TAWAS","MI","48730","US","-83.4218235","44.3092987","25","Lat/Lon - Saved Recall","1036 Aulerich Rd, East Tawas MI 48730 US","1036 Aulerich Rd","","East Tawas","MI","48730","US","0","0","0","0","0","0","73469","0","MTWRF","","","","0","101_Week2_Tuesday","2","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2358","","-2318"
"4","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","ADMIRAL #5838","4","3","Route Stop","07:30:53","07:34:13","","3.325","15","15","","13592","","","","","True","05:00","17:00","False","","","No Priority","0","0","0","","512 E LAKE ST, TAWAS CITY MI 48763 US","512 E LAKE ST","","TAWAS CITY","MI","48763","US","-83.506051","44.275237","25","Lat/Lon - Saved Recall","512 E Lake St, Tawas City MI 48763 US","512 E Lake St","","Tawas City","MI","48763","US","8260.1582156107","8.2601582156107","5.13262442262388","0","8260.1582156107","7.51061784392338","99103","3","MTWRF","","","","0","101_Week2_Monday","31","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2165","","-2319"
"5","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","Forward #17 (Tawas)","5","4","Route Stop","07:34:32","07:56:56","","22.394444445","42.54","56.9912","","2411","","","","","True","06:00","17:00","False","","","No Priority","0","0","0","","309 Lake St. 219 N. Front St., Tawas MI 48763 US","309 Lake St.","219 N. Front St.","Tawas","MI","48763","US","-83.508981","44.274202","25","Lat/Lon - Saved Recall","309 E Lake St, Tawas City MI 48763 US","309 E Lake St","","Tawas City","MI","48763","US","260.790682552033","0.260790682552033","0.162047819366176","0","260.790682552033","0.314425582209466","99058","4","MTWRF","","","","0","101_Week2_Monday","301","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2159","","-2320"
"6","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","AUGIES ON THE BAY","6","5","Route Stop","07:57:24","08:10:26","","13.0333333333333","87.4762","73.4562","","12500","","","","","True","07:00","14:00","False","","","No Priority","0","0","0","","175 W. LAKE ST PO BOX 147, TAWAS CITY MI 48764 US","175 W. LAKE ST","PO BOX 147","TAWAS CITY","MI","48764","US","-83.512123","44.271247","25","Lat/Lon - Saved Recall","175 W Lake St, Tawas City MI 48763 US","175 W Lake St","","Tawas City","MI","48763","US","384.492518175961","0.384492518175961","0.238912577410019","0","384.492518175961","0.484278811301508","73468","0","MTWRF","","","","0","101_Week2_Monday","243","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2217","","-2321"
"7","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","NEIMAN'S FAMLY MRKT - DELI","7","6","Route Stop","08:10:43","08:11:04","","0.358333333333333","16.135","13.45","","2906","","","","","True","07:00","17:00","False","","","No Priority","0","0","0","","220 W Lake St, TAWAS CITY MI 48763 US","220 W Lake St","","TAWAS CITY","MI","48763","US","-83.51384","44.270974","25","Lat/Lon - Saved Recall","220 W Lake St, Tawas City MI 48763 US","220 W Lake St","","Tawas City","MI","48763","US","195.875589527393","0.195875589527393","0.121711450115344","0","195.875589527393","0.275466566267681","73090","0","MTWRF","","","","0","101_Week2_Monday","91","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2205","","-2322"
"8","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","NEIMAN'S FAMILY MKT-MEAT DEPT.","8","7","Route Stop","08:11:05","08:11:28","","0.383333333333333","57.61","52.36","","8292","","","","","True","07:00","17:00","False","","","No Priority","0","0","0","","220 LAKE ST, TAWAS CITY MI 48763 US","","220 LAKE ST","TAWAS CITY","MI","48763","US","-83.51384","44.270974","25","Lat/Lon - Saved Recall","220 W Lake St, Tawas City MI 48763 US","220 W Lake St","","Tawas City","MI","48763","US","0","0","0","0","0","0","70997","1","MTWRF","","","","0","101_Week2_Monday","101","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2227","","-2323"
"9","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","NEIMAN'S FAMILY MRKT - BAKERY","9","8","Route Stop","08:11:28","08:12:06","","0.625","31.19","29.64","","2905","","","","","True","07:00","17:00","False","","","No Priority","0","0","0","","220 LAKE ST., TAWAS CITY MI 48763 US","220 LAKE ST.","","TAWAS CITY","MI","48763","US","-83.51384","44.270974","25","Lat/Lon - Saved Recall","220 W Lake St, Tawas City MI 48763 US","220 W Lake St","","Tawas City","MI","48763","US","0","0","0","0","0","0","73089","0","MTWRF","","","","0","101_Week2_Monday","81","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2213","","-2324"
"10","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","NEIMAN'S FAMILY MARKET-GENERAL","10","9","Route Stop","08:12:05","08:56:10","","44.0833333333333","257.4412","190.76","","2410","","","","","True","07:00","17:00","False","","","No Priority","0","0","0","","220 W LAKE ST, TAWAS CITY MI 48763 US","220 W LAKE ST","","TAWAS CITY","MI","48763","US","-83.51384","44.270974","25","Lat/Lon - Saved Recall","220 W Lake St, Tawas City MI 48763 US","220 W Lake St","","Tawas City","MI","48763","US","0","0","0","0","0","0","70997","0","MTWRF","","","","0","101_Week2_Monday","101","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2231","","-2325"
"11","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","BURESH FUNERAL HOME INC","11","10","Route Stop","08:58:10","09:01:50","","3.66666666666667","19.935","19.74","","2406","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","416 WHITTEMORE ST, TAWAS CITY MI 48763 US","416 WHITTEMORE ST","","TAWAS CITY","MI","48763","US","-83.523257","44.268053","25","Lat/Lon - Saved Recall","416 Whittemore St, Tawas City MI 48763 US","416 Whittemore St","","Tawas City","MI","48763","US","1160.2964702883","1.1602964702883","0.720974810098805","0","1160.2964702883","2.00655294709205","70993","0","MTWRF","","","","0","101_Week2_Monday","102","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2578","","-2326"
"12","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","DEAN ARBOUR","12","11","Route Stop","09:03:49","09:12:53","","9.075","81.025","83.425","","13766","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","55 W. M-55, TAWAS CITY MI 48763 US","55 W. M-55","","TAWAS CITY","MI","48763","US","-83.522922","44.278769","25","Lat/Lon - Saved Recall","55 W M 55, Tawas City MI 48763 US","55 W M 55","","Tawas City","MI","48763","US","1296.93879290826","1.29693879290826","0.805880414075957","0","1296.93879290826","1.9795159194708","73500","0","MTWRF","","","","0","101_Week2_Monday","127","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2181","","-2327"
"13","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","Alp. Alcona Area C.U. (Tawas)","13","12","Route Stop","09:13:32","09:17:45","","4.21666666666667","34.945","38.5425","","2405","","","","","True","09:00","17:00","False","","","No Priority","0","0","0","","118 W. M-55 P.O. Box 515, Tawas MI 48763 US","118 W. M-55","P.O. Box 515","Tawas","MI","48763","US","-83.5269588","44.2805532","25","Lat/Lon - Saved Recall","118 W M 55, Tawas City MI 48763 US","118 W M 55","","Tawas City","MI","48763","US","511.201044492002","0.511201044492002","0.317645606457249","0","511.201044492002","0.638525180050948","99047","6","MTWRF","","","","0","101_Week2_Monday","303","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2580","","-2328"
"14","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","Tawas Bay Insurance Agency","14","13","Route Stop","09:21:34","09:26:01","","4.45555555666667","75.98","75.01","","2177","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","108 W. State St. PO BOX 432, East Tawas MI 48730 US","108 W. State St.","PO BOX 432","East Tawas","MI","48730","US","-83.491687","44.281742","25","Lat/Lon - Saved Recall","108 W State St, East Tawas MI 48730 US","108 W State St","","East Tawas","MI","48730","US","3001.62642023964","3.00162642023964","1.86512421069601","0","3001.62642023964","3.823673448276","70744","0","MTWRF","","","","0","101_Week2_Monday","121","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2177","","-2329"
"15","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","THE LAZY TOASTER","15","14","Route Stop","09:26:30","09:31:40","","5.16666666666667","4.48","0","","15610","","","","","True","07:00","13:00","False","","","No Priority","0","0","0","","221 NEWMAN STREET, EAST TAWAS MI 48763 US","221 NEWMAN STREET","","EAST TAWAS","MI","48763","US","-83.491077","44.281299","25","Lat/Lon - Saved Recall","221 Newman St, East Tawas MI 48730 US","221 Newman St","","East Tawas","MI","48730","US","101.15592824464","0.10115592824464","0.0628553805204859","0","101.15592824464","0.463596288345002","73468","1","MTWRF","","","","0","101_Week2_Monday","116","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2173","","-2330"
"16","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","Klenow's Market","16","15","Route Stop","09:32:07","09:42:57","","10.825","61.66","65.2575","","2384","","","","","True","07:30","17:00","False","","","No Priority","0","0","0","","201 Newman St., East Tawas MI 48730 US","201 Newman St.","","East Tawas","MI","48730","US","-83.49105","44.280866","25","Lat/Lon - Saved Recall","201 Newman St, East Tawas MI 48730 US","201 Newman St","","East Tawas","MI","48730","US","83.7206557805766","0.0837206557805766","0.0520216043471638","0","83.7206557805766","0.45382387536327","70969","0","MTWRF","","","","0","101_Week2_Monday","111","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2197","","-2331"
"17","Alpena Solution Charlie","Rt 101","101_Week2_Thursday","","","G'S PIZZA","17","16","Route Stop","09:44:15","09:54:58","","10.7166666666667","126.9637","91.4675","","2961","","","","","True","09:00","17:00","False","","","No Priority","0","0","0","","115 BAY, EAST TAWAS MI 48730 US","115 BAY","","EAST TAWAS","MI","48730","US","-83.489557","44.279861","25","Lat/Lon - Saved Recall","115 E Bay St, East Tawas MI 48730 US","115 E Bay St","","East Tawas","MI","48730","US","232.136322077786","0.232136322077786","0.14424282501306","0","232.136322077786","1.31381700030036","73157","0","MTWRF","","","","0","101_Week2_Monday","296","3/14/2022 9:18:53 PM","3/14/2022 9:18:53 PM","2022/03/14 21:18","2022/03/14 21:18","-2","-81","-2347","","-2332"
