""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"416"	"70528.0"	"0.0"	"Week1"	"103.0"	"F"	"1.0"	"Perch's IGA"	"1025 US-23 North Hwy., Alpena MI 49707 US"	"-83.457001"	"45.085124"
"417"	"99053.0"	"8.0"	"Week3"	"103.0"	"F"	"1.0"	"Conveyor Systems"	"167 N. Industrial Hwy. P.O. Box 33, Alpena MI 49707 US"	"-83.457608"	"45.103102"
"418"	"73063.0"	"0.0"	"Week1"	"103.0"	"F"	"2.0"	"ALPENA SERVICES"	"1185 US - 23 NORTH, ALPENA MI 49707 US"	"-83.458447"	"45.091083"
"419"	"73063.0"	"1.0"	"Week1"	"103.0"	"F"	"3.0"	"DENTAL SERVICES"	"1185 US - 23 NORTH, ALPENA MI 49707 US"	"-83.458447"	"45.091083"
"420"	"70552.0"	"0.0"	"Week1"	"103.0"	"F"	"4.0"	"Larry's Collision"	"1212 US-23 North, Alpena MI 49707 US"	"-83.456777"	"45.092603"
"421"	"70652.0"	"0.0"	"Week2"	"103.0"	"F"	"4.0"	"Internal Medicine Clinic"	"105 Arbor Lane, Alpena MI 49707 US"	"-83.460158"	"45.078669"
"422"	"99031.0"	"63.0"	"Week1"	"103.0"	"F"	"5.0"	"BLARNEY CASTLE #224"	"1035 W. CHISHOLM ST, ALPENA MI 49707 US"	"-83.444203"	"45.071966"
"423"	"99031.0"	"65.0"	"Week1"	"103.0"	"F"	"6.0"	"BLARNEY CASTLE #228"	"1000 M-32 WEST, ALPENA MI 49707 US"	"-83.47269"	"45.062484"
"424"	"70690.0"	"0.0"	"Week1"	"103.0"	"F"	"7.0"	"Hunan Restaurant"	"1283 M-32 West, Alpena MI 49707 US"	"-83.47685"	"45.061133"
"425"	"73261.0"	"0.0"	"Week2"	"103.0"	"F"	"7.0"	"GREEN STONE"	"2200 W M-32, ALPENA MI 49707 US"	"-83.4954383"	"45.0619117"
"426"	"70525.0"	"0.0"	"Week1"	"103.0"	"F"	"8.0"	"Applebee's"	"1468 M-32 W., Alpena MI 49707 US"	"-83.480414"	"45.062023"
