""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"585"	"73469.0"	"0.0"	"Week1"	"105.0"	"F"	"1.0"	"IOSCO TRANSIT CORP"	"1036 N. AULERICH, E TAWAS MI 48730 US"	"-83.4218235"	"44.3092987"
"586"	"73469.0"	"1.0"	"Week1"	"105.0"	"F"	"2.0"	"IOSCO TRANSIT CORP"	"1036 N. AULERICH, E TAWAS MI 48730 US"	"-83.4218235"	"44.3092987"
"587"	"70965.0"	"0.0"	"Week1"	"105.0"	"F"	"3.0"	"Tawas Tool"	"980 Aulerich, East Tawas MI 48730 US"	"-83.4233767"	"44.30527"
"588"	"99103.0"	"3.0"	"Week1"	"105.0"	"F"	"4.0"	"ADMIRAL #5838"	"512 E LAKE ST, TAWAS CITY MI 48763 US"	"-83.506051"	"44.275237"
"589"	"73089.0"	"0.0"	"Week1"	"105.0"	"F"	"5.0"	"NEIMAN'S FAMILY MRKT - BAKERY"	"220 LAKE ST., TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"590"	"73090.0"	"0.0"	"Week1"	"105.0"	"F"	"6.0"	"NEIMAN'S FAMLY MRKT - DELI"	"220 W Lake St, TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"591"	"70997.0"	"1.0"	"Week1"	"105.0"	"F"	"7.0"	"NEIMAN'S FAMILY MKT-MEAT DEPT."	"220 LAKE ST, TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"592"	"70997.0"	"0.0"	"Week1"	"105.0"	"F"	"8.0"	"NEIMAN'S FAMILY MARKET-GENERAL"	"220 W LAKE ST, TAWAS CITY MI 48763 US"	"-83.51384"	"44.270974"
"593"	"70993.0"	"0.0"	"Week2"	"105.0"	"F"	"8.0"	"BURESH FUNERAL HOME INC"	"416 WHITTEMORE ST, TAWAS CITY MI 48763 US"	"-83.523257"	"44.268053"
"594"	"70969.0"	"0.0"	"Week1"	"105.0"	"F"	"9.0"	"Klenow's Market"	"201 Newman St., East Tawas MI 48730 US"	"-83.49105"	"44.280866"
"595"	"73468.0"	"1.0"	"Week1"	"105.0"	"F"	"10.0"	"THE LAZY TOASTER"	"221 NEWMAN STREET, EAST TAWAS MI 48763 US"	"-83.491077"	"44.281299"
"596"	"70744.0"	"0.0"	"Week1"	"105.0"	"F"	"11.0"	"Tawas Bay Insurance Agency"	"108 W. State St. PO BOX 432, East Tawas MI 48730 US"	"-83.491687"	"44.281742"
"597"	"70966.0"	"0.0"	"Week1"	"105.0"	"F"	"12.0"	"Clearview Car Wash & Lube"	"1748 N. US-23, East Tawas MI 48730 US"	"-83.4529115"	"44.2909663"
"598"	"73462.0"	"0.0"	"Week3"	"105.0"	"F"	"12.0"	"TAWAS AREA CHAMBER OF COMMERCE"	"228 NEWMAN STREET, EAST TAWAS MI 48730 US"	"-83.490651"	"44.281182"
"599"	"73299.0"	"0.0"	"Week1"	"105.0"	"F"	"13.0"	"SUNRISE SIDE VETERINARY"	"1941 US 23, EAST TAWAS MI 48730 US"	"-83.442906"	"44.29413"
"600"	"73267.0"	"0.0"	"Week3"	"105.0"	"F"	"13.0"	"CITY OF EAST TAWAS"	"760 NEWMAN ST., EAST TAWAS MI 48730 US"	"-83.492807"	"44.289824"
"601"	"73500.0"	"0.0"	"Week1"	"105.0"	"F"	"14.0"	"DEAN ARBOUR"	"55 W. M-55, TAWAS CITY MI 48763 US"	"-83.522922"	"44.278769"
"602"	"71015.0"	"0.0"	"Week2"	"105.0"	"F"	"14.0"	"Sand Lake Bar"	"3949 W. Saginaw Rd., NATIONAL CITY MI 48730 US"	"-83.682454"	"44.318668"
"603"	"99063.0"	"5.0"	"Week4"	"105.0"	"F"	"14.0"	"DTE ENERGY"	"1101 M-55 3820 South Lachance Rd., Tawas City MI 48764 US"	"-83.5664477"	"44.2794657"
"604"	"70970.0"	"0.0"	"Week1"	"105.0"	"F"	"15.0"	"Mooney's Ben Franklin"	"138 Newman St., East Tawas MI 48730 US"	"-83.490456"	"44.280599"
