""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"387"	"73140.0"	"0.0"	"Week1"	"103.0"	"F"	"1.0"	"SPECIFICATIONS STONE PRODUCTS"	"1009 LONG LAKE AVE, ALPENA MI 49707 US"	"-83.4258967"	"45.081886"
"388"	"70597.0"	"0.0"	"Week1"	"103.0"	"F"	"10.0"	"John Boy's"	"817 W. Chisholm, Alpena MI 49707 US"	"-83.44171"	"45.0697"
"389"	"70665.0"	"0.0"	"Week1"	"103.0"	"F"	"11.0"	"Alpena Auto Electric"	"1643 M-32, Alpena MI 49707 US"	"-83.4850017"	"45.06119"
"390"	"70644.0"	"0.0"	"Week1"	"103.0"	"F"	"12.0"	"Alpena Diesel Service"	"1700 M-32 West, Alpena MI 49707 US"	"-83.486143"	"45.06225"
"391"	"99052.0"	"2.0"	"Week1"	"103.0"	"F"	"13.0"	"APS ELLA WHITE ELEMENTARY"	"2373 Gordon Rd., Alpena MI 49707 US"	"-83.466161"	"45.036612"
"392"	"99052.0"	"0.0"	"Week1"	"103.0"	"F"	"14.0"	"APS SENIOR HIGH SCHOOL"	"2373 Gordon Rd., Alpena MI 49707 US"	"-83.466161"	"45.036612"
"393"	"70540.0"	"0.0"	"Week4"	"103.0"	"F"	"14.0"	"Mid-Pointe Convenience"	"4199 Werth Rd., Alpena MI 49707 US"	"-83.526042"	"44.995764"
"394"	"99052.0"	"6.0"	"Week1"	"103.0"	"F"	"15.0"	"APS THUNDER BAY JR HIGH"	"2373 Gordon Rd., Alpena MI 49707 US"	"-83.466161"	"45.036612"
"395"	"99031.0"	"64.0"	"Week1"	"103.0"	"F"	"16.0"	"BLARNEY CASTLE #225"	"2222 US 23 SO., ALPENA MI 49707 US"	"-83.4644534220908"	"45.0321696966945"
"396"	"71302.0"	"0.0"	"Week4"	"103.0"	"F"	"16.0"	"Parmalee Trading Post"	"78 Red Oak Rd., Lewiston MI 49765 US"	"-84.291434"	"44.683695"
"397"	"70526.0"	"0.0"	"Week1"	"103.0"	"F"	"17.0"	"C & S Carrier"	"3224 US-23 SOUTH, ALPENA MI 49707 US"	"-83.4658757"	"45.0253117"
"398"	"70959.0"	"0.0"	"Week1"	"103.0"	"F"	"18.0"	"Kipfmiller"	"2584 US 23 S., Alpena MI 49707 US"	"-83.464327"	"45.03647"
"399"	"73472.0"	"0.0"	"Week1"	"103.0"	"F"	"19.0"	"ZEN 24 HR FITNESS"	"2581 B US 23 SOUTH, ALPENA MI 49707 US"	"-83.4630317"	"45.0366367"
"400"	"73450.0"	"0.0"	"Week1"	"103.0"	"F"	"2.0"	"ADVANCED DERMATOLOGY"	"105 ARBOR LANE, ALPENA MI 49707 US"	"-83.460158"	"45.078669"
"401"	"70474.0"	"0.0"	"Week1"	"103.0"	"F"	"20.0"	"Gambles"	"2534 US-23 South, Alpena MI 49707 US"	"-83.464016"	"45.037909"
"402"	"73387.0"	"0.0"	"Week1"	"103.0"	"F"	"21.0"	"TACO BELL"	"111 PAAD CT, ALPENA MI 49707 US"	"-83.452212"	"45.045138"
"403"	"70533.0"	"0.0"	"Week1"	"103.0"	"F"	"22.0"	"Ball Tire"	"620 S. Ripley Blvd., Alpena MI 49707 US"	"-83.453931"	"45.046389"
"404"	"70539.0"	"0.0"	"Week4"	"103.0"	"F"	"22.0"	"H P C Credit Union"	"1234 W. Chisholm St., Alpena MI 49707 US"	"-83.448075"	"45.073916"
"405"	"70516.0"	"0.0"	"Week1"	"103.0"	"F"	"23.0"	"Lappan Agency"	"180 S. Ripley, Alpena MI 49707 US"	"-83.452505"	"45.051117"
"406"	"70687.0"	"0.0"	"Week1"	"103.0"	"F"	"24.0"	"DEAN ARBOUR FORD LINCOLN MERCU"	"1001 US-23 North, Alpena MI 49707 US"	"-83.4450988"	"45.0503698"
"407"	"70483.0"	"0.0"	"Week1"	"103.0"	"F"	"25.0"	"Alpena City Garage-uniforms"	"208 N. First St., Alpena MI 49707 US"	"-83.431224"	"45.06168"
"408"	"70613.0"	"0.0"	"Week2"	"103.0"	"F"	"25.0"	"Subway- Bagley"	"13456 Macarthur Rd., Alpena MI 49707 US"	"-83.7315167"	"45.1325067"
"409"	"70483.0"	"3.0"	"Week1"	"103.0"	"F"	"26.0"	"ALPENA CITY HALL"	"208 N. FIRST STREET, ALPENA MI 49707 US"	"-83.431224"	"45.06168"
"410"	"73309.0"	"0.0"	"Week2"	"103.0"	"F"	"26.0"	"BOB-A-LU MARKET & HARDWARE"	"10010 WERTH RD, HERRON MI 49744 US"	"-83.647248"	"44.9827698"
"411"	"70483.0"	"1.0"	"Week1"	"103.0"	"F"	"27.0"	"ALPENA CITY GARAGE-MATS"	"208 N. FIRST STREET, ALPENA MI 49707 US"	"-83.431224"	"45.06168"
"412"	"73376.0"	"0.0"	"Week2"	"103.0"	"F"	"27.0"	"PAPPY'S PUB"	"6449 M-65, LACHINE MI 49753 US"	"-83.748547"	"44.981105"
"413"	"73076.0"	"0.0"	"Week3"	"103.0"	"F"	"27.0"	"NEIMAN'S CORNER CAFE"	"144 US-23 SOUTH, ALPENA MI 49707 US"	"-83.4444073619229"	"45.0714360277381"
"414"	"70483.0"	"2.0"	"Week1"	"103.0"	"F"	"28.0"	"ALPENA PUBLIC SAFETY"	"208 N. FIRST STREET, ALPENA MI 49707 US"	"-83.431224"	"45.06168"
"415"	"99046.0"	"5.0"	"Week1"	"103.0"	"F"	"29.0"	"DIAMOND SHELL OIL"	"235 WATER ST, ALPENA MI 49707 US"	"-83.4293885"	"45.0615955"
"416"	"73316.0"	"0.0"	"Week1"	"103.0"	"F"	"3.0"	"MEDILODGE OF ALPENA"	"301 LONG RAPIDS, ALPENA MI 49707 US"	"-83.462477"	"45.078165"
"417"	"73551.0"	"0.0"	"Week1"	"103.0"	"F"	"30.0"	"HOPSIDE BREWERY"	"129 W. CHISHOLM ST., ALPENA MI 49707 US"	"-83.433987"	"45.063127"
"418"	"99046.0"	"7.0"	"Week1"	"103.0"	"F"	"4.0"	"LONG RAPIDS SHELL OIL"	"999 LONG RAPIDS RD, ALPENA MI 49707 US"	"-83.47291"	"45.078439"
"419"	"73082.0"	"0.0"	"Week1"	"103.0"	"F"	"5.0"	"MID MICH PHYS GRP GEN SURGERY"	"311 LONG RAPIDS PLAZA, ALPENA MI 49707 US"	"-83.46437"	"45.0780967"
"420"	"70519.0"	"0.0"	"Week1"	"103.0"	"F"	"6.0"	"Northern Foot & Ankle Center"	"321 long rapids plaza, Alpena MI 49707 US"	"-83.464187"	"45.078609"
"421"	"99152.0"	"9.0"	"Week1"	"103.0"	"F"	"7.0"	"ARMC MEDICAL GROUP-CARDIO ASSO"	"460 Long Rapids Plaza, Alpena MI 49707 US"	"-83.463276"	"45.080212"
"422"	"70582.0"	"0.0"	"Week3"	"103.0"	"F"	"7.0"	"Dr. Andrew Tarkington DDS"	"215 S. Ripley, Alpena MI 49707 US"	"-83.451656"	"45.050605"
"423"	"99046.0"	"6.0"	"Week1"	"103.0"	"F"	"8.0"	"CHISHOLM SHELL OIL"	"1017 CHISHOLM ST, ALPENA MI 49707 US"	"-83.443944"	"45.071511"
"424"	"73492.0"	"0.0"	"Week2"	"103.0"	"F"	"8.0"	"DAIRY QUEEN"	"600 W. CHISOLM, ALPENA MI 49707 US"	"-83.439417"	"45.067113"
"425"	"70531.0"	"0.0"	"Week1"	"103.0"	"F"	"9.0"	"MCINERNEY CHRYSLER, DODGE JEEP"	"832 W. Chisholm, Alpena MI 49707 US"	"-83.442668"	"45.069518"
"426"	"71382.0"	"0.0"	"Week3"	"103.0"	"F"	"9.0"	"H P C Credit Union"	"300 S. RIPLEY, Alpena MI 49707 US"	"-83.4525433"	"45.05057"
"428"	"71267.0"	"0.0"	"Week1"	"103.0"	"M"	"1.0"	"Atlanta Motel"	"12520 STATE ST P.O. Box 206, Atlanta MI 49709 US"	"-84.142475"	"45.004433"
"429"	"71262.0"	"0.0"	"Week1"	"103.0"	"M"	"10.0"	"MDOT ATLANTA"	"13490 M-32/M-33 P.O. Box 437, Atlanta MI 49709 US"	"-84.1232748"	"45.008901"
"430"	"99126.0"	"5.0"	"Week4"	"103.0"	"M"	"10.0"	"LEWISTON ACE HARDWARE"	"4910 SALLING AVE. PO Box 876, LEWISTON MI 49756 US"	"-84.294559"	"44.884919"
"431"	"70790.0"	"0.0"	"Week1"	"103.0"	"M"	"11.0"	"Natural Gas Compression"	"16950 M 32, M33, ATLANTA MI 49707 US"	"-84.0544197"	"45.0091192"
"432"	"71271.0"	"0.0"	"Week2"	"103.0"	"M"	"11.0"	"Amerigas Propane - Atlanta"	"11600 M-32 West, Atlanta MI 49709 US"	"-84.1615683"	"45.0075333"
"433"	"70785.0"	"0.0"	"Week1"	"103.0"	"M"	"12.0"	"Alpena VFW #2496 Post"	"2900 Connon St. 13460 White Ash, Alpena MI 49707 US"	"-83.46335"	"45.04209"
"434"	"70568.0"	"0.0"	"Week1"	"103.0"	"M"	"13.0"	"Alpena VFW #2496 Lounge"	"2900 Connon St., Alpena MI 49707 US"	"-83.46335"	"45.04209"
"435"	"73152.0"	"0.0"	"Week1"	"103.0"	"M"	"14.0"	"ALPENA COLLEGE - PAPER ACCT"	"666 JOHNSON STREET, ALPENA MI 49707 US"	"-83.4451563"	"45.0810807"
"436"	"73036.0"	"0.0"	"Week4"	"103.0"	"M"	"14.0"	"LEWISTON SENIOR CENTER"	"2811 KNEELAND, LEWISTON MI 49756 US"	"-84.304975"	"44.881304"
"437"	"99161.0"	"114.0"	"Week1"	"103.0"	"M"	"15.0"	"FAMILY FARE #1515 FIRST AID"	"5105 CO. RD 612 POB 40, LEWISTON MI 49756 US"	"-84.290873"	"44.883137"
"438"	"71276.0"	"0.0"	"Week2"	"103.0"	"M"	"15.0"	"Iron Kettle"	"4737 SALILNG COUNTY RD 612, Lewiston MI 49756 US"	"-84.298269"	"44.883775"
"439"	"71278.0"	"0.0"	"Week1"	"103.0"	"M"	"16.0"	"The Villager Restaurant"	"1329 Pine Point, Lewiston MI 49756 US"	"-84.2889762"	"44.8594852"
"440"	"71283.0"	"0.0"	"Week2"	"103.0"	"M"	"16.0"	"Montmorency Medical Clinic"	"3040 BOURN ST, LEWISTON MI 49756 US"	"-84.299086"	"44.884802"
"441"	"71286.0"	"0.0"	"Week1"	"103.0"	"M"	"17.0"	"Timothy's Lewiston Lodge"	"1525 Fleming, Lewiston MI 49756 US"	"-84.313882"	"44.863029"
"442"	"71280.0"	"0.0"	"Week1"	"103.0"	"M"	"18.0"	"Redwood Steakhouse"	"4965 SALLING AVE, LEWSITON MI 49756 US"	"-84.293382"	"44.883422"
"443"	"73455.0"	"0.0"	"Week2"	"103.0"	"M"	"18.0"	"THE BAKLAVA SHOP"	"2889 KNEELAND ST, LEWISTON MI 49756 US"	"-84.305015"	"44.882423"
"444"	"71281.0"	"0.0"	"Week2"	"103.0"	"M"	"19.0"	"TWIN LAKES AUTO REPAIR"	"1080 Co. Rd. 612, Lewiston MI 49756 US"	"-84.369799"	"44.884138"
"445"	"71265.0"	"0.0"	"Week1"	"103.0"	"M"	"2.0"	"CANADA CREEK RANCH"	"23500 RANCH HOUSE TRAIL, ATLANTA MI 49709 US"	"-84.20817"	"45.177193"
"446"	"73424.0"	"0.0"	"Week2"	"103.0"	"M"	"2.0"	"CHATTER'S PIT STOP"	"11610 M-33, ATLANTA MI 49709 US"	"-84.1458735"	"45.008677"
"447"	"71269.0"	"0.0"	"Week2"	"103.0"	"M"	"22.0"	"Eagles"	"10980 M-32 West, Atlanta MI 49709 US"	"-84.173984"	"45.008552"
"448"	"99047.0"	"4.0"	"Week2"	"103.0"	"M"	"23.0"	"Alp-Alcona C.U. (Atlanta)"	"12285 JEROME ST., ATLANTA MI 49709 US"	"-84.147215"	"45.004932"
"449"	"73403.0"	"0.0"	"Week2"	"103.0"	"M"	"24.0"	"CHATTERS BULLPEN BAR & GRILL"	"12350 MAIN ST, ATLANTA MI 49707 US"	"-84.146015"	"45.004402"
"450"	"71273.0"	"0.0"	"Week2"	"103.0"	"M"	"25.0"	"LUCKY D'S LLC"	"12434 STATE ST PO BOX 209, Atlanta MI 49709 US"	"-84.144562"	"45.004426"
"451"	"73463.0"	"0.0"	"Week2"	"103.0"	"M"	"26.0"	"WINSTON CORNER SUNOCO"	"11310 MAIN ST, ATLANTA MI 49709 US"	"-84.144059"	"45.004447"
"452"	"73335.0"	"2.0"	"Week2"	"103.0"	"M"	"27.0"	"COMMUNITY FINANCIAL-ATLANTA"	"12483 STATE ST, ATLANTA MI 49709 US"	"-84.143296"	"45.00402"
"453"	"72006.0"	"0.0"	"Week2"	"103.0"	"M"	"28.0"	"Green Funeral Home"	"12676 AIRPORT RD PO BOX 201, Atlanta MI 49709 US"	"-84.13893"	"45.000535"
"454"	"99120.0"	"1.0"	"Week4"	"103.0"	"M"	"28.0"	"MBANK - LEWISTON"	"2885 S. Co Rd. 489 PO BOX 673, Lewiston MI 49756 US"	"-84.292461"	"44.882945"
"455"	"71272.0"	"0.0"	"Week2"	"103.0"	"M"	"29.0"	"Atlanta Community Schools"	"10500 County Rd. 489 P.O. Box 619, Atlanta MI 49709 US"	"-84.153936"	"44.987834"
"456"	"73404.0"	"4.0"	"Week1"	"103.0"	"M"	"3.0"	"Thunder Bay Health - Atlanta 2"	"11899 M-32 W, Atlanta MI 49709 US"	"-84.1553572"	"45.0067353"
"457"	"73423.0"	"0.0"	"Week2"	"103.0"	"M"	"3.0"	"A WIN-SANDS MOTEL"	"11630 M-33 N, ATLANTA MI 49709 US"	"-84.146408"	"45.009209"
"458"	"73418.0"	"0.0"	"Week2"	"103.0"	"M"	"33.0"	"BUCKY'S MEATS"	"13370 DALLAS RD, LACHINE MI 49753 US"	"-83.7231572"	"45.0585247"
"459"	"99061.0"	"114.0"	"Week1"	"103.0"	"M"	"4.0"	"FAMILY FARE #1515"	"5105 CO. RD 612 PO Box 40, LEWISTON MI 49756 US"	"-84.290873"	"44.883137"
"460"	"71402.0"	"0.0"	"Week2"	"103.0"	"M"	"4.0"	"ATLANTA SENIOR CENTER"	"11463 MACARTHUR ROAD, ATLANTA MI 49709 US"	"-84.150215"	"45.010883"
"461"	"99082.0"	"12.0"	"Week1"	"103.0"	"M"	"5.0"	"SUNRISE STORE #6"	"4831 SAILING AVE, LEWISTON MI 49756 US"	"-84.297311"	"44.88335"
"462"	"71266.0"	"0.0"	"Week2"	"103.0"	"M"	"5.0"	"Montmorency Press"	"12625 State St. P.O. Box 186, Atlanta MI 49709 US"	"-84.1401517"	"45.0048765"
"463"	"73052.0"	"0.0"	"Week1"	"103.0"	"M"	"6.0"	"TALLEY'S BAR"	"2981 KNEELAND, LEWISTON MI 49756 US"	"-84.305036"	"44.883718"
"464"	"71277.0"	"0.0"	"Week1"	"103.0"	"M"	"7.0"	"H. B. CARBIDE COMPANY #192"	"4210 DOYLE DR, Lewiston MI 49756 US"	"-84.300387"	"44.901605"
"465"	"70753.0"	"0.0"	"Week2"	"103.0"	"M"	"7.0"	"Beaver Lake IGA"	"9543 M-65, Lachine MI 49753 US"	"-83.766555"	"44.935914"
"466"	"73048.0"	"0.0"	"Week1"	"103.0"	"M"	"8.0"	"H. B. CARBIDE COMPANY #192"	"4210 DOYLE DR, LEWISTON MI 49756 US"	"-84.300387"	"44.901605"
"467"	"99152.0"	"3.0"	"Week1"	"103.0"	"M"	"9.0"	"ATLANTA IMAGING DEPT."	"11899 M-32, ATLANTA MI 48670 US"	"-84.1553572"	"45.0067353"
"468"	"73441.0"	"0.0"	"Week3"	"103.0"	"M"	"9.0"	"CCR TRADING POST"	"2433 M-33 SOUTH, ATLANTA MI 49709 US"	"-84.4503098670014"	"45.4278309032659"
"469"	"73335.0"	"4.0"	"Week4"	"103.0"	"M"	"9.0"	"COMMUNITY FINANCIAL-LEWISTON"	"4970 SAILING AVE, LEWISTON MI 49756 US"	"-84.29346"	"44.884461"
"470"	"71088.0"	"0.0"	"Week1"	"103.0"	"R"	"1.0"	"Charlton Township Hall"	"10900 E. M-32, Johannesburg MI 49751 US"	"-84.456284"	"44.984959"
