cu_id,Acct #,Cust #,Cust Name,Rt #,Frequency,Current Delivery Day,New Delivery Day,Retape Needed?
1847,70010,0,DARROW'S FAMILY RESTAURANT,102,7,F,W,""
1848,70011,0,JOANN'S FUDGE - MAC. CITY,102,7,F,W,""
1850,70013,0,THE BRIDGEVIEW 24-HR DINER,102,7,F,W,""
1931,70479,0,Thunder Bay Clinic,102,3,W,F,""
1962,70512,0,CLIFF ANSCHUETZ CHEVY - BODY,102,7,W,F,RETAPE 55
1997,70549,0,"Weinkauf Plmb & Heating, Inc.",102,3,W,F,""
2007,70559,0,PHELPS COLLINS THE RIVER CLUB,102,5,W,F,""
2050,70607,0,MEDILODGE OF GREENVIEW,102,1,W,F,""
2075,70634,0,Magnaloy Coupling,102,7,W,F,RETAPE 66
2076,70635,0,MDOT-Alpena,102,2,W,F,""
2080,70639,0,Great Northern Food,102,7,W,F,RETAPE 55
2114,70676,0,Switzer Vet Clinic,102,7,W,F,""
2122,70685,0,Don's Tractor Sales,102,7,W,F,RETAPE 11
2180,70747,0,K & T Party Store,102,6,W,F,""
2185,70754,0,LACHINE POST OFFICE,102,3,W,F,""
2187,70756,0,Little Town Lounge,102,5,W,F,""
2234,70807,0,Hillman Community Center,102,4,W,F,""
2237,70811,0,Hillman Free Methodist Church,102,0,W,F,""
2240,70814,0,Morrison IGA,102,6,W,F,""
2248,70822,0,Cadillac Products,102,7,F,W,RETAPE 144
2270,70845,0,American Legion Post 159,102,5,F,W,""
2271,70846,0,Key Hole Bar,102,7,F,W,""
2283,70861,0,Calcite Credit Union Cheboygan,102,2,F,W,""
2291,70870,0,BIG BOY RESTAURANT,102,7,F,W,""
2294,70874,0,MCLAREN HEALTH MANAGEMENT GRP,102,1,F,W,""
2295,70876,0,Straits Area Printing,102,2,F,W,""
2299,70880,0,Wheelock Oil Co.,102,0,F,W,""
2302,70883,0,Modern Pharmacy,102,7,F,W,""
2318,70899,0,MURDICK'S FUDGE (CROSSINGS),102,5,F,W,""
2322,70903,0,Wings of Mackinac,102,0,F,W,""
2549,71145,0,Lutz Auto Repair,102,7,F,W,RETAPE 101
2643,71240,0,Hillman Senior Center,102,1,W,F,""
2645,71242,0,Calvary Episcopal Church,102,3,W,F,""
2762,71366,0,Marshall's Fudge,102,7,F,W,""
2764,71368,0,Village Inn,102,0,F,W,""
2778,71384,0,Combat Readiness Training Cent,102,0,W,F,""
2782,71388,0,Benjey Reynolds Shop,102,2,W,F,""
2802,71408,0,UNITED WATER RECYCLE PLANT,102,7,W,F,""
2818,71425,0,ALPENA CRTC ROADS AND GROUNDS,102,7,W,F,RETAPE 10
2857,73020,0,ALPENA CRTC BASE SERVICES #122,102,0,W,F,""
2858,73026,0,UNITED WATER WATER FILTRATION,102,7,W,F,""
2860,73028,0,HILLMAN ELEMENTARY SCHOOL,102,6,W,F,""
2861,73029,0,HILLMAN HIGH SCHOOL,102,6,W,F,""
2862,73030,0,M-DOT HILLMAN,102,5,W,F,""
2893,73073,0,CLIFF ANSCHUETZ CHEV - SERVICE,102,7,W,F,""
2918,73107,0,ALPENA CRTC VECHILE MAINTENANC,102,7,W,F,RETAPE 22
2942,73137,0,FIRST COMMUNITY BANK,102,6,F,W,""
8702,73260,0,TENDERCARE,102,5,F,W,""
