"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","Alpena Depot","1","","Start Depot","06:00:00","06:00:00","","0","0","0","","","","","","","False","","","False","","","","0","0","0","","120 E Herman St,, Alpena 49707 US","120 E Herman St,","","Alpena","","49707","US","-83.416387","45.0710235","3","Street Address - Automatic","120 E Herman St, Alpena MI 49707 US","120 E Herman St","","Alpena","MI","49707","US","0","0","0","0","0","0","","","","","","","","","","","","","2022/03/01 15:37","-11","-115","","-1","-5770"
"2","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","LAFARGE MIDWEST INC OFFICE","2","1","Route Stop","06:01:04","08:43:37","","162.55","428.89","0","","2966","","","","","True","06:00","17:00","False","","","No Priority","0","0","0","","1435 FORD AVE, ALPENA MI 49707 US","1435 FORD AVE","","ALPENA","MI","49707","US","-83.409056","45.0707383","3","Street Address - Automatic","1435 Ford Ave, Alpena MI 49707 US","1435 Ford Ave","","Alpena","MI","49707","US","667.786707237201","0.667786707237201","0.414943427620028","667.786707237201","0","1.07002318277955","73162","0","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5134","","-6332"
"3","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","THE BOAT HOUSE","3","2","Route Stop","08:49:36","08:59:17","","9.68357462141488","125.46","5","","10295","","","","","True","07:00","17:00","False","","","No Priority","0","0","0","","2015 HAMILTON RD, ALPENA MI 49707 US","2015 HAMILTON RD","","ALPENA","MI","49707","US","-83.45018","45.1045967","3","Street Address - Automatic","2015 Hamilton Rd, Alpena MI 49707 US","2015 Hamilton Rd","","Alpena","MI","49707","US","7193.92840275775","7.19392840275775","4.47009992433567","0","7193.92840275775","5.98464991524816","73365","0","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5131","","-6333"
"4","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","CLIFF ANSCHUETZ CHEV - SERVICE","4","3","Route Stop","09:01:15","09:40:17","","39.025","243.36","58","","2912","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","1074 US - 23 NORTH, ALPENA MI 49707 US","1074 US - 23 NORTH","","ALPENA","MI","49707","US","-83.455893","45.08653","3","Street Address - Automatic","1074 US-23 N, Alpena MI 49707 US","1074 US-23 N","","Alpena","MI","49707","US","2418.80042229128","2.41880042229128","1.50297292095964","0","2418.80042229128","1.97466358356178","73099","0","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5132","","-6334"
"5","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","MI STOP","5","4","Route Stop","09:42:59","10:01:15","","18.275","231.86","0","","11250","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","1124 US 23 N, ALPENA MI 49707 US","1124 US 23 N","","ALPENA","MI","49707","US","-83.4453207400244","45.0722108287274","3","Street Address - Automatic","1124 US-23 N, Alpena MI 49707 US","1124 US-23 N","","Alpena","MI","49707","US","2009.16744867762","2.00916744867762","1.24843878858575","0","2009.16744867762","2.71030991896987","73407","0","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5130","","-6335"
"6","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","B CUBED","6","5","Route Stop","10:02:44","10:10:56","","8.2","200.34","12","","14044","","","","","True","07:00","17:00","False","","","No Priority","0","0","0","","666 MCKINLEY AVE, ALPENA MI 49707 US","666 MCKINLEY AVE","","ALPENA","MI","49707","US","-83.4491633","45.0669067","3","Street Address - Automatic","666 McKinley Ave, Alpena MI 49707 US","666 McKinley Ave","","Alpena","MI","49707","US","947.820485611868","0.947820485611868","0.588948352529229","0","947.820485611868","1.47073207050562","73506","0","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5133","","-6336"
"7","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","ADMIRAL #5866","7","6","Route Stop","10:12:30","10:19:15","","6.75833333333333","23.46","0","","13595","","","","","True","06:00","17:00","False","","","No Priority","0","0","0","","906 W WASHINGTON AVE, ALPENA MI 49707 US","906 W WASHINGTON AVE","","ALPENA","MI","49707","US","-83.452418","45.06144","3","Street Address - Automatic","906 W Washington Ave, Alpena MI 49707 US","906 W Washington Ave","","Alpena","MI","49707","US","881.717675742627","0.881717675742627","0.547873970237407","0","881.717675742627","1.55888146534562","99103","6","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5128","","-6337"
"8","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","ADMIRAL #5867","8","7","Route Stop","10:23:32","10:35:14","","11.6916666666667","15.9","0","","13596","","","","","True","06:00","17:00","False","","","No Priority","0","0","0","","2520 US HIGWAY 23 S, ALPENA MI 49707 US","2520 US HIGWAY 23 S","","ALPENA","MI","49707","US","-83.4636246","45.0382746","3","Street Address - Automatic","2520 US Highway 23 S, Alpena MI 49707 US","2520 US Highway 23 S","","Alpena","MI","49707","US","3019.75093191966","3.01975093191966","1.87638626026804","0","3019.75093191966","4.28614886105061","99103","7","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5129","","-6338"
"9","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","ABEND BROTHERS COLLISION","9","8","Route Stop","10:44:03","10:53:44","","9.68357462141488","15.23","0","","2971","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","10130 US 23 SOUTH, OSSINEKE MI 49766 US","10130 US 23 SOUTH","","OSSINEKE","MI","49766","US","-83.436572","44.931034","3","Street Address - Automatic","10130 US-23 S, Ossineke MI 49766 US","10130 US-23 S","","Ossineke","MI","49766","US","12538.8992570527","12.5388992570527","7.79131087803392","0","12538.8992570527","8.82626194320619","73168","0","R","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5528","","-6339"
"10","Alpena Solution 1","Rt 101","FreqOpt_Week1_Monday","","","Ossineke Industries","10","9","Route Stop","10:55:16","11:04:57","","9.68357462141488","33.32","0","","2196","","","","","True","06:00","17:00","False","","","No Priority","0","0","0","","10401 Piper Rd. P.O. Box 376, Ossineke MI 49766 US","10401 Piper Rd.","P.O. Box 376","Ossineke","MI","49766","US","-83.4424178","44.9287363","3","Street Address - Automatic","10401 Piper Rd, Ossineke MI 49766 US","10401 Piper Rd","","Ossineke","MI","49766","US","1619.95187380879","1.61995187380879","1.00659143977082","0","1619.95187380879","1.52785705961287","70766","0","MTWRF","No","","","0","","","3/1/2022 3:37:00 PM","3/1/2022 3:37:00 PM","","2022/03/01 15:37","-11","-115","-5548","","-6340"
