Acct #	Cust #	Week #	New Rt	New Delivery Day	New Stop	Customer Name	DisplayAddressFull	X_Longitude	Y_Latitude
73401	0	Week1	101	F	1	CHINA BUFFET OF EAST TAWAS	734 E. BAY ST, EAST TAWAS MI 48730 US	-83.4815617	44.2805717
99058	4	Week1	101	F	2	Forward #17 (Tawas)	309 Lake St. 219 N. Front St., Tawas MI 48763 US	-83.508981	44.274202
73505	0	Week1	101	F	3	TAWAS PIZZA COMPANY	115 E. LAKE ST., TAWAS CITY MI 48763 US	-83.511516	44.272543
73468	0	Week1	101	F	4	AUGIES ON THE BAY	175 W. LAKE ST PO BOX 147, TAWAS CITY MI 48764 US	-83.512123	44.271247
70997	1	Week1	101	F	5	NEIMAN'S FAMILY MKT-MEAT DEPT.	220 LAKE ST, TAWAS CITY MI 48763 US	-83.51384	44.270974
70997	0	Week1	101	F	6	NEIMAN'S FAMILY MARKET-GENERAL	220 W LAKE ST, TAWAS CITY MI 48763 US	-83.51384	44.270974
73090	0	Week1	101	F	7	NEIMAN'S FAMLY MRKT - DELI	220 W Lake St, TAWAS CITY MI 48763 US	-83.51384	44.270974
73089	0	Week1	101	F	8	NEIMAN'S FAMILY MRKT - BAKERY	220 LAKE ST., TAWAS CITY MI 48763 US	-83.51384	44.270974
70976	0	Week1	101	F	9	Sav-Mor Super Drugs	306 W. Lake St., Tawas City MI 48763 US	-83.51463	44.270626
73471	105	Week1	101	F	10	BOATHOUSE BEER CO & BOZERY	450 W. LAKE ST., TAWAS CITY MI 48763 US	-83.518035	44.267584
70991	0	Week1	101	F	11	FREEL'S MARKET	1139 W Lake Street, Tawas City MI 48763 US	-83.53728	44.252794
73169	00000	Week1	101	F	12	SOUTHSIDE SERVICE	1210 S US 23, TAWAS CITY MI 48763 US	-83.542991	44.2499082
70993	0	Week1	101	F	13	BURESH FUNERAL HOME INC	416 WHITTEMORE ST, TAWAS CITY MI 48763 US	-83.523257	44.268053
73500	0	Week1	101	F	14	DEAN ARBOUR	55 W. M-55, TAWAS CITY MI 48763 US	-83.522922	44.278769
73431	2	Week1	101	F	15	HURON COMMUNITY BANK-TAWAS CIT	401 E. LAKE, TAWAS CITY MI 48763 US	-83.507931	44.274645
99103	3	Week1	101	F	16	ADMIRAL #5838	512 E LAKE ST, TAWAS CITY MI 48763 US	-83.506051	44.275237
70744	0	Week1	101	F	17	Tawas Bay Insurance Agency	108 W. State St. PO BOX 432, East Tawas MI 48730 US	-83.491687	44.281742
73468	1	Week1	101	F	18	THE LAZY TOASTER	221 NEWMAN STREET, EAST TAWAS MI 48763 US	-83.491077	44.281299
70969	0	Week1	101	F	19	Klenow's Market	201 Newman St., East Tawas MI 48730 US	-83.49105	44.280866
73157	0	Week1	101	F	20	G'S PIZZA	115 BAY, EAST TAWAS MI 48730 US	-83.489557	44.279861
		Week1	101	F		Alpena Depot	120 E Herman St,, Alpena 49707 US	-83.416387	45.0710235
73162	0	Week1	101	M	1	LAFARGE MIDWEST INC OFFICE	1435 FORD AVE, ALPENA MI 49707 US	-83.409056	45.0707383
73365	0	Week1	101	M	2	THE BOAT HOUSE	2015 HAMILTON RD, ALPENA MI 49707 US	-83.45018	45.1045967
73099	0	Week1	101	M	3	CLIFF ANSCHUETZ CHEV - SERVICE	1074 US - 23 NORTH, ALPENA MI 49707 US	-83.455893	45.08653
73407	0	Week1	101	M	4	MI STOP	1124 US 23 N, ALPENA MI 49707 US	-83.4453207400244	45.0722108287274
73506	0	Week1	101	M	5	B CUBED	666 MCKINLEY AVE, ALPENA MI 49707 US	-83.4491633	45.0669067
99103	6	Week1	101	M	6	ADMIRAL #5866	906 W WASHINGTON AVE, ALPENA MI 49707 US	-83.452418	45.06144
99103	7	Week1	101	M	7	ADMIRAL #5867	2520 US HIGWAY 23 S, ALPENA MI 49707 US	-83.4636246	45.0382746
73168	0	Week1	101	M	8	ABEND BROTHERS COLLISION	10130 US 23 SOUTH, OSSINEKE MI 49766 US	-83.436572	44.931034
70766	0	Week1	101	M	9	Ossineke Industries	10401 Piper Rd. P.O. Box 376, Ossineke MI 49766 US	-83.4424178	44.9287363
70780	0	Week1	101	M	10	Connie's Cafe	11585 US-23 South, Ossineke MI 49766 US	-83.442377	44.908148
99047	1	Week1	101	M	11	Alp-Alcona C.U. (Ossineke)	11829 US-23 South P.O. Box 515, Ossineke MI 49766 US	-83.442369	44.904732
70768	0	Week1	101	M	12	Ossineke Pharmacy	11897 US-23 South, Ossineke MI 49766 US	-83.442495	44.9036017
70763	0	Week1	101	M	13	Ossineke Health Center	11745 US 23 S PO Box 83, Ossineke MI 49766 US	-83.442202	44.905986
73545	0	Week1	101	M	14	OSSINEKE HARDWARE/BLDG SUPPLY	11925 US-23, OSSINEKE ME 49766 US	-83.44155	44.90288
73426	0	Week1	101	M	15	STONE BAR & GRILL	7002 HURBERT RD, HUBBARD LAKE MI 49747 US	-83.587519	44.859347
70790	1	Week1	101	M	16	Natural Gas Compression	1563 W HURBERT RD, HUBBARD LAKE MI 49747 US	-83.5891263	44.8588142
99046	14	Week1	101	M	17	QUICK & CONVENIENT STORE	7120 HURBERT RD, HUBBARD LAKE MI 49747 US	-83.58996	44.859335
71061	0	Week1	101	M	18	North End Restaruant	1575 Hubert Rd P.O. Box 131, Hubbard Lake MI 49747 US	-83.59025	44.85878
70776	0	Week1	101	M	19	Eagles	6848 US-23 North, Spruce MI 48762 US	-83.4204422	44.8560247
70762	0	Week1	101	M	20	Rosa's Lookout Inn	6808 US-23 South, Spruce MI 48762 US	-83.418689	44.854673
73327	0	Week1	101	M	21	MOUNTAIN FOOD SERVICE	5495 US 23 N, BLACK RIVER MI 48721 US	-83.3568901094524	44.8139621425122
70784	0	Week1	101	M	22	CHIPPEWA POINT	6575 US 23, SPRUCE MI 48762 US	-83.406732	44.845368
71016	0	Week1	101	M	23	DeRocher Masonry	12272 US-23 South, Ossineke MI 49766 US	-83.4409362	44.8973358
99052	4	Week1	101	M	24	APS SANBORN ELEMENTARY SCHOOL	12170 US-23 South, Ossineke MI 49766 US	-83.442794	44.899742
70769	0	Week1	101	M	25	Francis Service	11923 US-23 SOUTH COMPANY 159, Ossineke MI 49766 US	-83.442621	44.903046
99031	57	Week1	101	M	26	BLARNEY CASTLE #736	11596 US 23 SO, OSSINEKE MI 49766 US	-83.44357	44.908698
73532	0	Week1	101	M	27	WAGON WHEEL BAR & GRILL	2030 E. NICHOLSON HILL RD, OSSINEKE MI 49766 US	-83.44428	44.902672
		Week1	101	M		Alpena Depot	120 E Herman St,, Alpena 49707 US	-83.416387	45.0710235
99046	13	Week1	101	R	1	Alpena Oil - Oscoda	235 Water St., Oscoda MI 48750 US	-83.3280597561316	44.4234168963529
99054	30	Week1	101	R	2	CHARTER COMMUNICATION OSCODA	345 S. STATE ST., OSCODA MI 48750 US	-83.33206	44.408121
70031	0	Week1	101	R	3	SANDCASTLE BEACH RESORT	3354 US 23, OSCODA MI 48750 US	-83.3325614	44.37745
73133	0	Week1	101	R	4	DEAN ARBOUR CHEVROLET	1859 N US 23 PO BOX 191, EAST TAWAS MI 48730 US	-83.447606	44.293687
70966	0	Week1	101	R	5	Clearview Car Wash & Lube	1748 N. US-23, East Tawas MI 48730 US	-83.4529115	44.2909663
70981	0	Week1	101	R	6	Big Boy - East Tawas	1222 N. US 23, East Tawas MI 48730 US	-83.472731	44.28203
70982	0	Week1	101	R	7	Northwoods Steakhouse	1222 N. US 23, East Tawas MI 48730 US	-83.472731	44.28203
70971	0	Week1	101	R	8	Jay's RV Center	1552 US-23 N, East Tawas MI 48730 US	-83.458266	44.288495
73469	1	Week1	101	R	9	IOSCO TRANSIT CORP	1036 N. AULERICH, E TAWAS MI 48730 US	-83.4218235	44.3092987
73469	0	Week1	101	R	10	IOSCO TRANSIT CORP	1036 N. AULERICH, E TAWAS MI 48730 US	-83.4218235	44.3092987
71218	0	Week1	101	R	11	Mama's Country Kitchen	384 S. State Street, Oscoda MI 48750 US	-83.3259177	44.4110612
73548	0	Week1	101	R	12	AUSABLE INN RESTAURANT	600 S STATE STREET, OSCODA MI 48750 US	-83.329723	44.415054
73288	0	Week1	101	R	13	TUBE FORMING	4614 INDUSTRIAL ROW, OSCODA MI 48750 US	-83.347132	44.413248
73091	0	Week1	101	R	14	SUNRISE DISPOSAL	4775 SUNSET STREET, OSCODA MI 48750 US	-83.348111	44.418244
99103	45	Week1	101	R	15	ADMIRAL #5774	405 N. STATE ST, OSCODA MI 48750-1742 US	-83.330541	44.423715
		Week1	101	R		Alpena Depot	120 E Herman St,, Alpena 49707 US	-83.416387	45.0710235
73528	0	Week1	101	T	1	DAVE'S CUSTOM TILLAGE, INC.	289 E. SWEDE ROAD, SPRUCE MI 48762 US	-83.5140333	44.8295012
71177	0	Week1	101	T	2	White Pine Golf	3450 N.Hubbard Lake Rd., Spruce MI 48762 US	-83.525289	44.754415
73420	0	Week1	101	T	3	LOST LAKE WOODS	4243 LOST LAKE TRAIL, LINCOLN MI 48742 US	-83.433946	44.778513
71193	0	Week1	101	T	4	Alcona County Road	301 N LAKE ST PO BOX 40, LINCOLN MI 48742 US	-83.414273	44.687208
71185	0	Week1	101	T	5	Viking Energy of Lincoln	509 W. State St., Lincoln MI 48742 US	-83.4185533	44.6801583
71183	0	Week1	101	T	6	Northern Precision	601 South Lake St, Lincoln MI 48742 US	-83.4129063	44.6790728
70486	0	Week1	101	T	7	Alcona Motors, Inc.	313 S. Second Lincoln P.O. Box 130, Lincoln MI 48742 US	-83.411042	44.681911
71191	0	Week1	101	T	8	Snyder's Lincoln Pharmacy	301 Second St P.O. Box 237, Lincoln MI 48742 US	-83.411411	44.68257
71181	0	Week1	101	T	9	Lincoln Outdoor Center	300 S SECOND ST, LINCOLN MI 48742 US	-83.412004	44.682569
73511	00000	Week1	101	T	10	ROX'S FAMILY DINER	210 S. SECOND ST., LINCOLN MI 48742 US	-83.4117066381005	44.6836474194424
73457	0	Week1	101	T	11	JACKS GARAGE	324 E HAWLEY, LINCOLN MI 48742 US	-83.407024	44.6825785
73314	0	Week1	101	T	12	MARATHON	921 N BARLOW, LINCOLN MI 48742 US	-83.403769	44.68212
71190	0	Week1	101	T	13	Kris Mart	863 N. Barlow Rd., Lincoln MI 48742 US	-83.404028	44.681067
99152	5	Week1	101	T	14	ALPENA GENERAL HOSP.-LINCOLN	177 N. BARLOW ROAD, LINCOLN MI 48742 US	-83.403719	44.661088
99152	4	Week1	101	T	15	ALPENA GENERAL HOSP.-OSCODA	177 N. BARLOW ROAD, LINCOLN MI 48742 US	-83.403719	44.661088
