""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"417"	"99046.0"	"5.0"	"Week1"	"103.0"	"F"	"1.0"	"DIAMOND SHELL OIL"	"235 WATER ST, ALPENA MI 49707 US"	"-83.4293885"	"45.0615955"
"418"	"70483.0"	"0.0"	"Week1"	"103.0"	"F"	"2.0"	"Alpena City Garage-uniforms"	"208 N. First St., Alpena MI 49707 US"	"-83.431224"	"45.06168"
"419"	"70483.0"	"1.0"	"Week1"	"103.0"	"F"	"3.0"	"ALPENA CITY GARAGE-MATS"	"208 N. FIRST STREET, ALPENA MI 49707 US"	"-83.431224"	"45.06168"
"420"	"73492.0"	"0.0"	"Week2"	"103.0"	"F"	"3.0"	"DAIRY QUEEN"	"600 W. CHISOLM, ALPENA MI 49707 US"	"-83.439417"	"45.067113"
"421"	"70483.0"	"2.0"	"Week1"	"103.0"	"F"	"4.0"	"ALPENA PUBLIC SAFETY"	"208 N. FIRST STREET, ALPENA MI 49707 US"	"-83.431224"	"45.06168"
"422"	"70483.0"	"3.0"	"Week1"	"103.0"	"F"	"5.0"	"ALPENA CITY HALL"	"208 N. FIRST STREET, ALPENA MI 49707 US"	"-83.431224"	"45.06168"
"423"	"73140.0"	"0.0"	"Week1"	"103.0"	"F"	"6.0"	"SPECIFICATIONS STONE PRODUCTS"	"1009 LONG LAKE AVE, ALPENA MI 49707 US"	"-83.4258967"	"45.081886"
"424"	"70608.0"	"1.0"	"Week1"	"103.0"	"F"	"7.0"	"BESSER 23 NORTH"	"801 JOHNSON ST, ALPENA MI 49707 US"	"-83.4385059"	"45.078044"
"425"	"70608.0"	"0.0"	"Week1"	"103.0"	"F"	"8.0"	"Besser Company"	"801 Johnson St., Alpena MI 49707 US"	"-83.4385059"	"45.078044"
"426"	"73152.0"	"0.0"	"Week1"	"103.0"	"F"	"9.0"	"ALPENA COLLEGE - PAPER ACCT"	"666 JOHNSON STREET, ALPENA MI 49707 US"	"-83.4451563"	"45.0810807"
"427"	"70519.0"	"0.0"	"Week2"	"103.0"	"F"	"9.0"	"Northern Foot & Ankle Center"	"321 long rapids plaza, Alpena MI 49707 US"	"-83.464187"	"45.078609"
"428"	"73063.0"	"0.0"	"Week1"	"103.0"	"F"	"10.0"	"ALPENA SERVICES"	"1185 US - 23 NORTH, ALPENA MI 49707 US"	"-83.458447"	"45.091083"
"429"	"73063.0"	"1.0"	"Week1"	"103.0"	"F"	"11.0"	"DENTAL SERVICES"	"1185 US - 23 NORTH, ALPENA MI 49707 US"	"-83.458447"	"45.091083"
"430"	"70552.0"	"0.0"	"Week1"	"103.0"	"F"	"12.0"	"Larry's Collision"	"1212 US-23 North, Alpena MI 49707 US"	"-83.456777"	"45.092603"
