""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"591"	"73470.0"	"0.0"	"Week1"	"105.0"	"F"	"1.0"	"BIGGBY COFFEE"	"224 E. CHISHOLM STREET, ALPENA MI 49707 US"	"-83.432013"	"45.060696"
"592"	"73452.0"	"0.0"	"Week1"	"105.0"	"F"	"2.0"	"SHERWIN WILLIAMS"	"119 E. CHISHOLM ST, ALPENA MI 49707 US"	"-83.432502"	"45.061877"
"593"	"99152.0"	"8.0"	"Week1"	"105.0"	"F"	"3.0"	"ALPENA REGIONAL MEDICAL CENTER"	"1501 W. Chisholm, Alpena MI 49707 US"	"-83.449542"	"45.077664"
"594"	"99052.0"	"1.0"	"Week1"	"105.0"	"F"	"4.0"	"APS BESSER ELEMENTARY SCHOOL"	"375 WILSON ST, Alpena MI 49707 US"	"-83.452565"	"45.084634"
"595"	"99053.0"	"5.0"	"Week1"	"105.0"	"F"	"5.0"	"NORTHWOOD SOLUTIONS INC"	"4040 US - 23 North, Alpena MI 49707 US"	"-83.4531537"	"45.1066202"
"596"	"73529.0"	"0.0"	"Week2"	"105.0"	"F"	"5.0"	"TOTALLY KIDS DAYCARE"	"2884 M-32 WEST, ALPENA MI 49707 US"	"-83.5103946427018"	"45.06146178497"
"597"	"73430.0"	"0.0"	"Week3"	"105.0"	"F"	"5.0"	"NORTHERN HEARING SERVICES"	"111 SOUTH 13TH, ALPENA MI 49707 US"	"-83.4471167"	"45.0728067"
"598"	"99052.0"	"7.0"	"Week4"	"105.0"	"F"	"5.0"	"Wilson School"	"2373 Gordon Rd., Lachine MI 49753 US"	"-83.645867"	"45.004963"
"599"	"99152.0"	"7.0"	"Week1"	"105.0"	"F"	"6.0"	"LONG RAPIDS FAMILY CARE"	"393 LONG RAPIDS RD, ALPENA MI 49707 US"	"-83.4642847"	"45.0774857"
"600"	"70487.0"	"0.0"	"Week1"	"105.0"	"F"	"7.0"	"HARBOR NORTH DENTAL ASSOCIATES"	"320 Long Rapids Plaza, Alpena MI 49707 US"	"-83.4646768"	"45.0791837"
"601"	"99053.0"	"15.0"	"Week2"	"105.0"	"F"	"7.0"	"REN-TECH"	"181 N. INDUSTRIAL HWY, ALPENA MI 49707 US"	"-83.45867"	"45.1050133"
"602"	"70517.0"	"0.0"	"Week3"	"105.0"	"F"	"7.0"	"Alpena Youth Center"	"511 Long Rapids Plaza, Alpena MI 49707 US"	"-83.4623887"	"45.0808288"
"603"	"99152.0"	"10.0"	"Week1"	"105.0"	"F"	"8.0"	"Alpena Orthopaedic Assoc."	"401 Long Rapids Plaza, Alpena MI 49707 US"	"-83.463378"	"45.078962"
"604"	"70477.0"	"0.0"	"Week1"	"105.0"	"F"	"9.0"	"Brett's Auto"	"1249 W. Chisholm St., Alpena MI 49707 US"	"-83.446906"	"45.074074"
