""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"158"	"99161.0"	"106.0"	"Week1"	"102.0"	"F"	"1.0"	"SPT. FAM FARE #1504 FIRST AID"	"992 S. MAIN, CHEBOYGAN MI 49721 US"	"-84.482395"	"45.628502"
"159"	"70822.0"	"0.0"	"Week1"	"102.0"	"F"	"2.0"	"Cadillac Products"	"4858 Williams Rd., Rogers City MI 49779 US"	"-83.7418683"	"45.3504617"
"160"	"99103.0"	"1.0"	"Week1"	"102.0"	"F"	"3.0"	"NEXT DOOR STR #5018"	"309 E STATE ST, CHEBOYGAN MI 49721 US"	"-84.469687"	"45.644919"
"161"	"99031.0"	"91.0"	"Week1"	"102.0"	"F"	"4.0"	"BLARNEY CASTLE #808"	"912 S. MAIN ST, CHEBOYGAN MI 49721 US"	"-84.479809"	"45.629203"
"162"	"99061.0"	"106.0"	"Week1"	"102.0"	"F"	"5.0"	"SPT. FAMILY FARE #1504"	"992 S. MAIN 992 S MAIN ST, CHEBOYGAN MI 49721 US"	"-84.482395"	"45.628502"
"163"	"70870.0"	"0.0"	"Week1"	"102.0"	"F"	"6.0"	"BIG BOY RESTAURANT"	"861 S MAIN ST, Cheboygan MI 49721 US"	"-84.479049"	"45.630255"
"164"	"99046.0"	"16.0"	"Week1"	"102.0"	"F"	"7.0"	"Louie's Fresh Market - Cheboyg"	"604 Main St. 235 Water St., Cheboygan MI 49721 US"	"-84.482614"	"45.635723"
"165"	"99138.0"	"7.0"	"Week1"	"102.0"	"F"	"8.0"	"BREWS & BURGERS"	"918 SOUTH HURON, MACKINAW CITY MI 49760 US"	"-84.726499"	"45.76908"
"166"	"70845.0"	"0.0"	"Week1"	"102.0"	"F"	"9.0"	"American Legion Post 159"	"106 South Huron, Mackinaw City MI 49701 US"	"-84.725823"	"45.7809195"
"167"	"73525.0"	"0.0"	"Week2"	"102.0"	"F"	"9.0"	"STEP INN RESTAURANT"	"325 N MAIN STREET, CHEBOYGAN MI 49721 US"	"-84.476249"	"45.645734"
"168"	"99138.0"	"2.0"	"Week1"	"102.0"	"F"	"10.0"	"Dixie Saloon Food & Spirits"	"401 E. Central, Mackinaw City MI 49701 US"	"-84.7252007"	"45.7819027"
"169"	"73389.0"	"0.0"	"Week1"	"102.0"	"F"	"11.0"	"SHEPLER FERRY-MACKINAW"	"556 EAST CENTUZL, MACKINAW CITY MI 49701 US"	"-84.722255"	"45.781478"
"170"	"71366.0"	"0.0"	"Week1"	"102.0"	"F"	"12.0"	"Marshall's Fudge"	"308 E. Central Ave., Mackinaw City MI 49701 US"	"-84.726712"	"45.781181"
"171"	"99138.0"	"0.0"	"Week1"	"102.0"	"F"	"13.0"	"NONNA LISA"	"312 S. HURON, MACKINAW CITY MI 49701 US"	"-84.726742"	"45.778344"
"172"	"99138.0"	"5.0"	"Week1"	"102.0"	"F"	"14.0"	"THE HOOK"	"201 S. HURON, MACKINAW CITY MI 49701 US"	"-84.724594"	"45.779733"
"173"	"70011.0"	"0.0"	"Week1"	"102.0"	"F"	"15.0"	"JOANN'S FUDGE - MAC. CITY"	"303 E. CENTRAL AVE., MACKINAW CITY MI 49701 US"	"-84.7269835"	"45.7818955"
"174"	"70846.0"	"0.0"	"Week1"	"102.0"	"F"	"16.0"	"Key Hole Bar"	"323 Central Ave., Mackinaw City MI 49701 US"	"-84.7389210339216"	"45.7816024359122"
"175"	"99138.0"	"8.0"	"Week1"	"102.0"	"F"	"17.0"	"WIENERLICIOUS"	"102 E. CENTRAL, MACKINAW CITY MI 49701 US"	"-84.731856"	"45.781227"
"176"	"99103.0"	"0.0"	"Week1"	"102.0"	"F"	"18.0"	"NEXT DOOR STR #5017"	"308 S NICOLET ST, MACKINAW CITY MI 49701 US"	"-84.73254"	"45.778651"
"177"	"73425.0"	"0.0"	"Week1"	"102.0"	"F"	"19.0"	"KILWINS/MACKINAW CITY"	"226 E. CENTRAL AVE, MACKINAW CITY MI 49701 US"	"-84.728128"	"45.78108"
"178"	"73394.0"	"0.0"	"Week1"	"102.0"	"F"	"20.0"	"MACKINAW CITY POPCORN FACTORY"	"301 E. CENTRAL, MACKINAW MI 49701 US"	"-84.727024"	"45.781831"
