""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"561"	"73341.0"	"0.0"	"Week1"	"105.0"	"F"	"1.0"	"NEMROC"	"800 BOLTON, ALPENA MI 49707 US"	"-83.4216"	"45.07438"
"562"	"70487.0"	"0.0"	"Week1"	"105.0"	"F"	"10.0"	"HARBOR NORTH DENTAL ASSOCIATES"	"320 Long Rapids Plaza, Alpena MI 49707 US"	"-83.4646768"	"45.0791837"
"563"	"70517.0"	"0.0"	"Week3"	"105.0"	"F"	"10.0"	"Alpena Youth Center"	"511 Long Rapids Plaza, Alpena MI 49707 US"	"-83.4623887"	"45.0808288"
"564"	"99152.0"	"10.0"	"Week1"	"105.0"	"F"	"11.0"	"Alpena Orthopaedic Assoc."	"401 Long Rapids Plaza, Alpena MI 49707 US"	"-83.463378"	"45.078962"
"565"	"73461.0"	"0.0"	"Week2"	"105.0"	"F"	"11.0"	"ALPENA COMMUNITY CREDIT UNION"	"710 WEST MILLER, ALPENA MI 49707 US"	"-83.435596"	"45.072215"
"566"	"70477.0"	"0.0"	"Week1"	"105.0"	"F"	"12.0"	"Brett's Auto"	"1249 W. Chisholm St., Alpena MI 49707 US"	"-83.446906"	"45.074074"
"567"	"73348.0"	"0.0"	"Week1"	"105.0"	"F"	"13.0"	"QSR OUTDOOR PRODUCTS"	"600 W CAMPBELL, ALPENA MI 49707 US"	"-83.4534"	"45.05957"
"568"	"73529.0"	"0.0"	"Week2"	"105.0"	"F"	"13.0"	"TOTALLY KIDS DAYCARE"	"2884 M-32 WEST, ALPENA MI 49707 US"	"-83.5103946427018"	"45.06146178497"
"569"	"70957.0"	"0.0"	"Week4"	"105.0"	"F"	"13.0"	"ALPENA EVENTS COMPLEX"	"701 Woodward Ave., Alpena MI 49707 US"	"-83.4399283"	"45.080535"
"570"	"70636.0"	"0.0"	"Week1"	"105.0"	"F"	"14.0"	"BENJEY WELDING SHOP"	"2238 WERTH RD, ALPENA MI 49707 US"	"-83.4672413"	"45.0396995"
