""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"324"	"70524.0"	"0.0"	"Week1"	"105.0"	"F"	"1.0"	"J & J Bar & Grille"	"411 N. Second, Alpena MI 49707 US, Alpena MI 49707 US"	"-83.429562"	"45.064784"
"325"	"99152.0"	"8.0"	"Week1"	"105.0"	"F"	"2.0"	"ALPENA REGIONAL MEDICAL CENTER"	"1501 W. Chisholm, Alpena MI 49707 US, Alpena MI 49707 US"	"-83.449542"	"45.077664"
"326"	"99052.0"	"1.0"	"Week1"	"105.0"	"F"	"3.0"	"APS BESSER ELEMENTARY SCHOOL"	"375 WILSON ST, Alpena MI 49707 US, Alpena MI 49707 US"	"-83.452565"	"45.084634"
"327"	"99053.0"	"2.0"	"Week1"	"105.0"	"F"	"4.0"	"VP 4150, LLC"	"4150 US 23 N, ALPENA MI 49707 US, ALPENA MI 49707 US"	"-83.452195"	"45.1089713"
"328"	"99053.0"	"15.0"	"Week2"	"105.0"	"F"	"4.0"	"REN-TECH"	"181 N. INDUSTRIAL HWY, ALPENA MI 49707 US, ALPENA MI 49707 US"	"-83.45867"	"45.1050133"
"329"	"99053.0"	"5.0"	"Week1"	"105.0"	"F"	"5.0"	"NORTHWOOD SOLUTIONS INC"	"4040 US - 23 North, Alpena MI 49707 US, Alpena MI 49707 US"	"-83.4531537"	"45.1066202"
"330"	"70497.0"	"0.0"	"Week2"	"105.0"	"F"	"5.0"	"Sally's Care Home - St.Onge"	"740 St. Onge 1400 US 23 S., Alpena MI 49707 US 1400 US 23 S., Alpena MI 49707 US"	"-83.457022"	"45.08327"
"331"	"70517.0"	"0.0"	"Week3"	"105.0"	"F"	"5.0"	"Alpena Youth Center"	"511 Long Rapids Plaza, Alpena MI 49707 US, Alpena MI 49707 US"	"-83.4623887"	"45.0808288"
"332"	"99152.0"	"10.0"	"Week1"	"105.0"	"F"	"6.0"	"Alpena Orthopaedic Assoc."	"401 Long Rapids Plaza, Alpena MI 49707 US, Alpena MI 49707 US"	"-83.463378"	"45.078962"
"333"	"73560.0"	"0.0"	"Week2"	"105.0"	"F"	"6.0"	"GREAT LAKES EAR, NOSE & THROAT"	"101 OXBOW DRIVE, ALPENA MI 49707 US"	"-83.467038"	"45.081253"
"334"	"99152.0"	"7.0"	"Week1"	"105.0"	"F"	"7.0"	"LONG RAPIDS FAMILY CARE"	"393 LONG RAPIDS RD, ALPENA MI 49707 US, ALPENA MI 49707 US"	"-83.4642847"	"45.0774857"
"335"	"70487.0"	"0.0"	"Week2"	"105.0"	"F"	"7.0"	"HARBOR NORTH DENTAL ASSOCIATES"	"320 Long Rapids Plaza, Alpena MI 49707 US, Alpena MI 49707 US"	"-83.4646768"	"45.0791837"
