"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Monday","","","CRYSTAL MTN-SPA","2","1","Route Stop","06:40:02","08:00:02","","80","0","0","","4613M","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MT RD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MT RD","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","3","Street Address - Automatic","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","58138.5855428135","58.1385855428135","36.1256426650407","58138.5855428135","0","40.0357378853363","299010","00023","","MTWRF","35","","10","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-1","-18","","-2"
"2","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Monday","","","CRYSTAL INN BASEMENT","3","2","Route Stop","08:00:02","09:20:02","","80","0","0","","4532M","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MTN ROAD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MTN ROAD","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","3","Street Address - Automatic","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0","0","0","0","0","0","299010","00022","","MTWRF","35","","20","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-1","-17","","-3"
"3","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Monday","","","CRYSTAL-FACILITIES","4","3","Route Stop","09:20:02","09:21:02","","1","0","0","","4874M","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MNT ROAD","","THOMPSONVILLE","MI","49683","US","-85.990923","44.519409","5","Street Address - Manual","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0.657739915237471","0.000657739915237471","0.000408700640419006","0","0.657739915237471","0","299010","00015","","","35","","30","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-1","-46","","-4"
"4","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Monday","","","CRYSTAL-FUNCTION JUNCTION","5","4","Route Stop","09:21:02","10:41:02","","80","82.2776556776557","1133.49157509158","","4458M","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MTN. DRIVE","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","3","Street Address - Automatic","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0.657739915259299","0.000657739915259299","0.000408700640432569","0","0.657739915259299","0","299010","00033","","MTWRF","35","","30","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-1","-19","","-5"
"5","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Monday","","","Cadillac Depot","6","","End Depot","11:22:58","11:22:58","","0","0","0","","","","","","","False","","","False","","","","0","0","0","","1539 Plett Rd, Cadillac, MI 49601, Cadillac MI 49601 US","1539 Plett Rd, Cadillac, MI 49601","","Cadillac","MI","49601","US","-85.3974019","44.27324","3","Street Address - Automatic","1539 Plett Rd, Cadillac MI 49601 US","1539 Plett Rd","","Cadillac","MI","49601","US","58137.5899068272","58.1375899068272","36.1250240055131","58137.5899068272","0","41.934980108943","","","","","","","","","","","","2024/03/11 07:46","2024/03/11 07:46","-1","-1","","-1","-6"
"6","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL-FUNCTION JUNCTION MATS","2","1","Route Stop","06:40:02","07:04:02","","24","11.75","11.75","","14911","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MTN. DRIVE","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","3","Street Address - Automatic","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","58138.5855428135","58.1385855428135","36.1256426650407","58138.5855428135","0","40.0357378853363","299010","00042","","MTWRF","35","","10","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-30","","-8"
"7","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL-FACILITIES","3","2","Route Stop","07:04:02","07:05:02","","1","0","0","","4874T","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MNT ROAD","","THOMPSONVILLE","MI","49683","US","-85.990923","44.519409","5","Street Address - Manual","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0.657739915237471","0.000657739915237471","0.000408700640419006","0","0.657739915237471","0","299010","00015","","","35","","30","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-48","","-9"
"8","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL-NORDIC TENT","4","3","Route Stop","07:05:02","07:29:02","","24","0","18.7333333333333","","16220","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MNT. ROAD","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","5","Street Address - Manual","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0.657739915259299","0.000657739915259299","0.000408700640432569","0","0.657739915259299","0","299010","00046","","MTWRF","35","","30","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-31","","-10"
"9","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL-PEAK","5","4","Route Stop","07:29:02","07:53:02","","24","0","1841.63192307692","","4867","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MNT ROAD","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","5","Street Address - Manual","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0","0","0","0","0","0","299010","00008","","MTWRF","35","","40","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-24","","-11"
"10","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL MTN-SPA","6","5","Route Stop","07:53:02","08:17:02","","24","0","787.417582417582","","4613T","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MT RD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MT RD","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","3","Street Address - Automatic","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0","0","0","0","0","0","299010","00023","","MTWRF","35","","50","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-27","","-12"
"11","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL INN BASEMENT","7","6","Route Stop","08:17:02","08:41:02","","24","10.6713017751479","12.5856213017751","","4532T","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MTN ROAD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MTN ROAD","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","3","Street Address - Automatic","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0","0","0","0","0","0","299010","00022","","MTWRF","35","","60","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-26","","-13"
"12","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL-FUNCTION JUNCTION","8","7","Route Stop","08:41:02","09:05:02","","24","401.775","1255.17884615385","","4458T","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MTN. DRIVE","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","3","Street Address - Automatic","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0","0","0","0","0","0","299010","00033","","MTWRF","35","","70","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-28","","-14"
"13","Cadillac 2024 seventh route","Crystal_35","FreqOpt_Week1_Tuesday","","","CRYSTAL-THE INN","9","8","Route Stop","09:05:02","09:29:02","","24","12.01","12.01","","4861","","","","","False","","","False","","","No Priority","0","0","0","","12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US","12500 CRYSTAL MNT ROAD","","THOMPSONVILLE","MI","49683","US","-85.990933","44.519406","5","Street Address - Manual","12500 Crystal Mountain Dr, Thompsonville MI 49683 US","12500 Crystal Mountain Dr","","Thompsonville","MI","49683","US","0","0","0","0","0","0","299010","00002","","MTWRF","35","","80","","","3/11/2024 7:46:21 AM","3/11/2024 7:54:52 AM","2024/03/11 07:46","2024/03/11 07:46","-1","-2","-23","","-15"
