"cu_id"	"Account"	"Customer"	"New Delivery Day"	"Alliant Sequence"	"Customer Name"	"Address"	"X_Longitude"	"Y_Latitude"
"12403"	"299010"	"00037"	"T"	"90"	"CRYSTAL MTN MARKET"	"12500 CRYSTAL MTN DRIVE, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"14303"	"299010"	"00038"	"F"	"40"	"CRYSTAL MTN-WARMING HUT"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"14336"	"299010"	"00039"	"F"	"60"	"CRYSTAL-BACKUP MATS"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"14772"	"299010"	"00040"	"F"	"110"	"CRYSTAL-BETSIE RIVER PIZZA"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"14911"	"299010"	"00042"	"T"	"10"	"CRYSTAL-FUNCTION JUNCTION MATS"	"12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 U"	"-85.990933"	"44.519406"
"16013"	"299010"	"00044"	"F"	"20"	"CRYSTAL-LIFT OPS AT OM"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"16220"	"299010"	"00046"	"T"	"30"	"CRYSTAL-NORDIC TENT"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"16719"	"299010"	"00047"	"W"	""	"CRYSTAL-PAVILLION"	"12500 CRYSTAL MTN. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990923"	"44.519409"
"4252"	"299010"	"00025"	"F"	"50"	"CRYSTAL-THISTLE               "	"12500 CRYSTAL MT DR, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4254"	"299010"	"00043"	"W"	"100"	"CRYSTAL-KINLOCHEN             "	"12500 CRYSTAL MNT DR, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4427"	"299010"	"00034"	"F"	"160"	"CRYSTAL-BEACH HOUSE           "	"12500 CRYSTAL MOUNTAIN, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4438"	"299010"	"00029"	"F"	"10"	"PAW  LOCKER ROOM       "	"12500 CRYSTAL MNT RD, THOMPSONSVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4458F"	"299010"	"00033"	"F"	"130"	"CRYSTAL-FUNCTION JUNCTION     "	"12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 U"	"-85.990933"	"44.519406"
"4458M"	"299010"	"00033"	"M"	"30"	"CRYSTAL-FUNCTION JUNCTION     "	"12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 U"	"-85.990933"	"44.519406"
"4458R"	"299010"	"00033"	"R"	"30"	"CRYSTAL-FUNCTION JUNCTION     "	"12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 U"	"-85.990933"	"44.519406"
"4458T"	"299010"	"00033"	"T"	"70"	"CRYSTAL-FUNCTION JUNCTION     "	"12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 U"	"-85.990933"	"44.519406"
"4458W"	"299010"	"00033"	"W"	"70"	"CRYSTAL-FUNCTION JUNCTION     "	"12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 U"	"-85.990933"	"44.519406"
"4460"	"299010"	"00030"	"W"	"90"	"CRYSTAL-PRO SHOP              "	"12500 CRYSTAL MT. DRIVE, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4532F"	"299010"	"00022"	"F"	"100"	"CRYSTAL INN BASEMENT          "	"12500 CRYSTAL MTN ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4532M"	"299010"	"00022"	"M"	"20"	"CRYSTAL INN BASEMENT          "	"12500 CRYSTAL MTN ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
