"cu_id"	"Account"	"Customer"	"New Delivery Day"	"Alliant Sequence"	"Customer Name"	"Address"	"X_Longitude"	"Y_Latitude"
"10060"	"231079"	"00000"	"T"	"210"	"NMCAA MANTON HS"	"110 5TH STREET, MANTON MI 49663 US"	"-85.3968603"	"44.4054588"
"10188"	"231191"	"00000"	"R"	"180"	"HABITAT RESTORE"	"7545 E 34 RD, CADILLAC MI 49601 US"	"-85.426494"	"44.281678"
"10420"	"231382"	"00000"	"T"	"140"	"MAHNKE MACHINE"	"661 R.W. HARRIS DRIVE, MANTON MI 49663 US"	"-85.3914"	"44.4207167"
"11827"	"233496"	"00001"	"M"	""	"CADILLAC AUTO & TRUCK SERVICE"	"211 ROBERTS ST, CADILLAC MI 49601 US"	"-85.399875"	"44.275736"
"12108"	"232381"	"00000"	"T"	"130"	"FREEMANS CUSTOM BODY"	"9470 E 14 1/4 RD, MANTON MI 49663 US"	"-85.389155"	"44.4209883"
"12403"	"299010"	"00037"	"T"	"90"	"CRYSTAL MTN MARKET"	"12500 CRYSTAL MTN DRIVE, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"12461"	"232564"	"00000"	"M"	"220"	"MERRILL'S/BOOLMAN INC."	"817 BELL AVE, CADILLAC MI 49601 US"	"-85.397503"	"44.274577"
"12912"	"232811"	"00000"	"M"	"90"	"DEAN'S BODY SHOP"	"6931 E 34 RD, CADILLAC MI 49601 US"	"-85.438912"	"44.281608"
"13714"	"99104"	"00007"	"M"	"80"	"AUNT MILLIE'S CADILLAC OUTLET"	"7701 E. 34 ROAD, CADILLAC MI 49601 US"	"-85.423289"	"44.281721"
"14286"	"233138"	"00000"	"R"	"130"	"LAKE CADILLAC RESORT"	"PO BOX 329, CADILLAC MI 49601 US"	"-85.449688"	"44.233633"
"14303"	"299010"	"00038"	"F"	"40"	"CRYSTAL MTN-WARMING HUT"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"14336"	"299010"	"00039"	"F"	"60"	"CRYSTAL-BACKUP MATS"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"14337"	"233165"	"00000"	"R"	"120"	"LAKE CADILLAC PARTY STORE"	"PO BOX 329, CADILLAC MI 49601 US"	"-85.449688"	"44.233633"
"14449"	"233223"	"00000"	"R"	"60"	"BC PIZZA OF CADILLAC"	"6184 E M-55, CADILLAC MI 49601 US"	"-85.45422"	"44.235959"
"14469"	"99130"	"00004"	"T"	"160"	"FOREST AREA FEDERAL CU"	"314 W MAIN ST, MANTON MI 49633 US"	"-85.400982"	"44.411047"
"14618"	"99140"	"00006"	"M"	"170"	"ARBY'S CADILLAC"	"1714 N MITCHELL ST, CADILLAC MI 49601 US"	"-85.406169"	"44.275717"
"14639"	"233293"	"00000"	"T"	"190"	"BOSTICK'S DRUG STORE"	"117 W. MAIN STREET, MANTON MI 49663 US"	"-85.399109"	"44.410611"
"14772"	"299010"	"00040"	"F"	"110"	"CRYSTAL-BETSIE RIVER PIZZA"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"14829"	"233367"	"00000"	"R"	"70"	"MICHIGAN COFFEE CO"	"6184 E M-115, CADILLAC MI 49601 US"	"-85.454213"	"44.235835"
"14846"	"99031"	"00163"	"R"	"140"	"BLARNEY CASTLE EZ MART 631"	"6183 E. M-115, CADILLAC MI 49601 US"	"-85.452606"	"44.23603"
"14911"	"299010"	"00042"	"T"	"10"	"CRYSTAL-FUNCTION JUNCTION MATS"	"12500 CRYSTAL MTN. DRIVE, THOMPSONVILLE MI 49683 U"	"-85.990933"	"44.519406"
"15771"	"233424"	"00001"	"T"	"150"	"CAST IRON KITCHEN OF MANTON"	"110 W MAIN ST, MANTON MI 49663 US"	"-85.39884"	"44.4111"
"15810"	"233512"	"00000"	"R"	"160"	"THE TIMBERS RESTAURANT"	"5535 M-115, CADILLAC MI 49601 US"	"-85.466531"	"44.264248"
"15923"	"99167"	"00000"	"M"	"50"	"ASPEN DENTAL"	"9075 34 RD, CADILLAC MI 49601 US"	"-85.395285"	"44.282333"
"15925"	"99167"	"00001"	"M"	"40"	"WELL NOW"	"9065 E 34TH RD, CADILLAC MI 49601 US"	"-85.395886"	"44.282296"
"16013"	"299010"	"00044"	"F"	"20"	"CRYSTAL-LIFT OPS AT OM"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"16111"	"233654"	"00000"	"T"	"110"	"TRACTOR HAVEN"	"8290 W. CUTCHEON, MANTON MI 49633 US"	"-85.2636127"	"44.4119567"
"16184"	"233697"	"00000"	"T"	"220"	"LONGSTREET FORESTRY"	"8237 EAST 16 1/2 RD, MANTON MI 49663 US"	"-85.414038"	"44.404304"
"16220"	"299010"	"00046"	"T"	"30"	"CRYSTAL-NORDIC TENT"	"12500 CRYSTAL MNT. ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"16453"	"233820"	"00000"	"R"	""	"LITTLE MEXICO II"	"6080 MICHIGAN 115, CADILLAC MI 49601 US"	"-85.456741"	"44.241681"
"16460"	"233827"	"00000"	"T"	""	"DOUG'S REPAIR"	"11340 MIKE AND TONY ROAD, MANTON MI 49663 US"	"-85.323771"	"44.404491"
"3924"	"99087"	"00000"	"M"	"160"	"WEST MICHIGAN CREDIT UNION    "	"215 BELL AVE, CADILLAC MI 49601 US"	"-85.40452"	"44.274584"
"3968"	"210625"	"00000"	"M"	"190"	"HOLMES AUTO REPAIR"	"100 WORKS, CADILLAC MI 49601 US"	"-85.404398"	"44.277494"
"3976"	"211385"	"00000"	"T"	"180"	"MANTON MINI MART              "	"305 W. MAIN, MANTON MI 49663 US"	"-85.400672"	"44.410586"
