"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","MATSON'S BIG MANISTEE RIVER","2","1","Route Stop","06:51:14","07:01:14","","10","0","121.4","","13572","","","","","True","06:00","17:00","False","","","Highest Priority","0","0","0","","2680 BIALIK RD, MANISTEE MI 49660 US","2680 BIALIK RD","","MANISTEE","MI","49660","US","-86.159705","44.282705","3","Street Address - Automatic","2680 Bialik Rd, Manistee MI 49660 US","2680 Bialik Rd","","Manistee","MI","49660","US","73767.4400884648","73.7674400884648","45.8369627686975","73767.4400884648","0","51.2378439597361","232947","00000","13","13","13","13","10","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-6091","","-6348"
"2","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","DEAN TRANSPORTATION-MANISTEE","3","2","Route Stop","07:18:57","07:18:57","","0","0","0","","16931","","","","","False","","","False","","","Highest Priority","0","0","0","","602 E. PARKDALE AVE, MANISTEE MI 48190 US","602 E. PARKDALE AVE","","MANISTEE","MI","48190","US","-86.291513","44.270504","3","Street Address - Automatic","602 E Parkdale Ave, Manistee MI 49660 US","602 E Parkdale Ave","","Manistee","MI","49660","US","20300.5931255755","20.3005931255755","12.6142039111506","0","20300.5931255755","17.7129122135323","99169","00032","13","","13","13","230","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5954","","-6349"
"3","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","PARKDALE AUTO SALES & SERVICE","4","3","Route Stop","07:19:17","07:19:17","","0","0","0","","16921","","","","","False","","","False","","","Highest Priority","0","0","0","","855 EAST PARKDALE AVENUE, MANISTEE MI 49660 US","855 EAST PARKDALE AVENUE","","MANISTEE","MI","49660","US","-86.285642","44.269923","3","Street Address - Automatic","855 E Parkdale Ave, Manistee MI 49660 US","855 E Parkdale Ave","","Manistee","MI","49660","US","460.808677930589","0.460808677930589","0.286333241176144","0","460.808677930589","0.344525451712826","234038","00000","13","","13","13","220","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5898","","-6350"
"4","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","LRC-RIVER ROCK BAR & GRILL 280","5","4","Route Stop","07:23:33","07:28:33","","5","62.1622485207101","72.8962130177515","","11464","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","2700 ORCHARD HWY, MANISTEE MI 49660 US","2700 ORCHARD HWY","","MANISTEE","MI","49660","US","-86.24776","44.285855","3","Street Address - Automatic","2700 Orchard Hwy, Manistee MI 49660 US","2700 Orchard Hwy","","Manistee","MI","49660","US","4121.64194808798","4.12164194808798","2.56106960325377","0","4121.64194808798","4.2702102931115","231873","00010","13","13","13","13","50","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5910","","-6351"
"5","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","LRC-RAPIDS 200","6","5","Route Stop","07:28:33","07:33:33","","5","91.2608875739645","117.41449704142","","11259","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","2700 ORCHARD HWY, MANISTEE MI 49660 US","2700 ORCHARD HWY","","MANISTEE","MI","49660","US","-86.24776","44.285855","3","Street Address - Automatic","2700 Orchard Hwy, Manistee MI 49660 US","2700 Orchard Hwy","","Manistee","MI","49660","US","0","0","0","0","0","0","231873","00001","13","13","13","13","30","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5911","","-6352"
"6","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","LRC-MAINTENANCE","7","6","Route Stop","07:33:33","07:38:33","","5","63.8689940828402","71.1063905325444","","11265","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","2700 ORCHARD HWY, MANISTEE MI 49660 US","2700 ORCHARD HWY","","MANISTEE","MI","49660","US","-86.24776","44.285855","3","Street Address - Automatic","2700 Orchard Hwy, Manistee MI 49660 US","2700 Orchard Hwy","","Manistee","MI","49660","US","0","0","0","0","0","0","231873","00007","13","13","13","13","120","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5912","","-6353"
"7","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","LRC-GROUNDS","8","7","Route Stop","07:38:33","07:43:33","","5","36.5521301775148","43.9847928994083","","11266","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","2700 ORCHARD HWY, MANISTEE MI 49660 US","2700 ORCHARD HWY","","MANISTEE","MI","49660","US","-86.24776","44.285855","3","Street Address - Automatic","2700 Orchard Hwy, Manistee MI 49660 US","2700 Orchard Hwy","","Manistee","MI","49660","US","0","0","0","0","0","0","231873","00008","13","13","13","13","110","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5913","","-6354"
"8","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","LRC-BANQUETS 240","9","8","Route Stop","07:43:33","07:48:33","","5","14.47","14.47","","11262","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","2700 ORCHARD HWY, MANISTEE MI 49660 US","2700 ORCHARD HWY","","MANISTEE","MI","49660","US","-86.24776","44.285855","3","Street Address - Automatic","2700 Orchard Hwy, Manistee MI 49660 US","2700 Orchard Hwy","","Manistee","MI","49660","US","0","0","0","0","0","0","231873","00004","13","13","13","13","70","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5914","","-6355"
"9","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","LRC-ADM 260","10","9","Route Stop","07:48:33","07:53:33","","5","0","0","","11264","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","2700 ORCHARD HWY, MANISTEE MI 49660 US","2700 ORCHARD HWY","","MANISTEE","MI","49660","US","-86.24776","44.285855","3","Street Address - Automatic","2700 Orchard Hwy, Manistee MI 49660 US","2700 Orchard Hwy","","Manistee","MI","49660","US","0","0","0","0","0","0","231873","00006","13","13","13","13","90","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5915","","-6356"
"10","Cadillac 2024 Seventh RT ECHO","echo_13","FreqOpt_Week1_Monday","","","LRC SLOTS 110","11","10","Route Stop","07:53:33","07:58:33","","5","17.26","17.26","","14563","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","2700 ORCHARD HWY, MANISTEE MI 49660 US","2700 ORCHARD HWY","","MANISTEE","MI","49660","US","-86.24776","44.285855","3","Street Address - Automatic","2700 Orchard Hwy, Manistee MI 49660 US","2700 Orchard Hwy","","Manistee","MI","49660","US","0","0","0","0","0","0","231873","00011","13","13","13","13","80","","","8/22/2024 8:55:01 AM","8/22/2024 8:55:01 AM","2024/08/22 08:55","2024/08/28 15:45","-13","-233","-5916","","-6357"
