Acct #	Cust #	Week #	New Rt	New Delivery Day	New Stop	Customer Name	DisplayAddressFull	X_Longitude	Y_Latitude	Custom
232038	0	Week1	32	F	1	CADILLAC PARTY BAR	516 N. MITCHELL, CADILLAC MI 49601 US,   US	-85.402473	44.254561	
231585	0	Week3	32	F	1	HOSPICE OF CADILLAC	932 N. MITCHELL, CADILLAC MI 49601 US,   US	-85.404809	44.26063	3
220011	0	Week1	32	F	2	BLUE HERON	304 N. MITCHELL, CADILLAC MI 49061 US,   US	-85.400668	44.25241	
224415	0	Week1	32	F	3	FOCUS ON MASSAGE - NORTH	124 N. MITCHELL SUITE #107, CADILLAC MI 49601 US,   US	-85.399875	44.251178	
229050	0	Week1	32	F	4	CADILLAC NEWS	130 N MITCHELL, CADILLAC MI 49601 US,   US	-85.3996	44.25083	1
232236	0	Week1	32	F	5	CLAM LAKE BEER CO LLC	106 S. MITCHELL, CADILLAC MI 49601 US,   US	-85.399454	44.249915	
219993	0	Week1	32	F	6	FAMILY PRACTICE OF CADILLAC	827 E. DIVISION, CADILLAC MI 49601 US,   US	-85.384744	44.252873	
231079	4	Week1	32	F	7	NMCAA LINCOLN AVE	716 LINCOLN AVE, CADILLAC MI 49601 US,   US	-85.391212	44.254295	2
208011	0	Week2	32	F	7	CADILLAC PRINTING CO	214 S. MITCHELL ST., CADILLAC MI 49601 US,   US	-85.398614	44.248659	1
233284	0	Week1	32	F	8	JIMMY JOHN'S	207 S. MITCHELL ST A, CADILLAC MI 49601 US,   US	-85.398057	44.249146	
207920	0	Week4	32	F	8	APPLE VALLEY NATURAL FOODS	211 SOUTH MITCHELL, CADILLAC MI 49601 US,   US	-85.3976883	44.2486817	4
226234	0	Week1	32	F	9	G & D LIQUOR STORE	223 S MITCHELL ST, CADILLAC MI 49601 US,   US	-85.397691	44.248698	
208042	0	Week2	32	F	9	FIRST BAPTIST CHURCH	125 STIMSON, CADILLAC MI 49601 US,   US	-85.396463	44.248253	4
99054	16	Week1	32	F	10	CHARTER COMMUNICATIONS	614 S. MITCHELL ST, CADILLAC MI 49601 US,   US	-85.398053	44.245613	2
228110	0	Week1	32	F	11	HERRADURAS BAR & GRILL	1700 S MITCHELL ST, CADILLAC MI 49601 US,   US	-85.397126	44.234304	1
214914	0	Week1	32	F	12	MEEKOFF TIRE OF CADILLAC	7296 U.S. 131, CADILLAC MI 49601 US,   US	-85.3967533	44.2332333	
232969	0	Week2	32	F	12	MAPLE RIDGE LIVING CENTER	9072 S. MACKINAW TRAIL, CADILLAC MI 49601 US,   US	-85.405951013786	44.2164198159521	2
232714	0	Week1	32	F	13	HIGHPOINT AUTO & TRUCK	7555 US 131 SOUTH, CADILLAC MI 49601 US,   US	-85.395225	44.229475	
230412	0	Week2	32	F	13	RESURRECTION LIFE CHURCH	9127 E 44 1/2 ROAD, CADILLAC MI 49601 US,   US	-85.392012	44.217175	2
229456	0	Week1	32	F	14	SALISBURY INC	12547 20 MILE RD, TUSTIN MI 49688 US,   US	-85.3369172	44.1011363	
208058	0	Week1	32	F	15	MCQUESTION, DJ & SON	17708 18 MILE RD., LEROY MI 49655 US,   US	-85.439803	44.074021	
211119	0	Week1	32	F	16	LEROY TOOL & DIE	17951 180TH AVENUE, LEROY MI 49655 US,   US	-85.444478	44.073269	
211119	1	Week1	32	F	17	LEROY TOOL & DIE/TEC MOLDING	17951 180TH AVE, LEROY MI 49655 US,   US	-85.444478	44.073269	
231976	0	Week1	32	F	18	ADVANCED MECHANICAL ELECTRICAL	19466 18 MILE ROAD, LEROY MI 49655 US,   US	-85.47132	44.075489	
228660	1	Week1	32	F	19	PINE RIVER AREA SCHOOL-KITCHEN	17445 PINE RIVER RD, LEROY MI 49655 US,   US	-85.488912	44.064836	2
228660	0	Week1	32	F	20	PINE RIVER AREA SCHOOLS	17445 PINE RIVER RD, LEROY MI 49655 US,   US	-85.488912	44.064836	2
225992	0	Week1	32	F	21	TRAVLER'S BAR & GRILL	3699 N MACKINAW, LEROY MI 49655 US,   US	-85.4569607318992	44.0344051621239	
233397	0	Week1	32	F	22	DYER'S SAWMILL	17688 15 MILE ROAD, LEROY MI 49655 US,   US	-85.4387211	44.0309937	
208958	0	Week2	32	F	22	SWICK MEAT COMPANY	19197 19 MILE RD., TUSTIN MI 49688 US,   US	-85.4661598	44.0878885	2
208147	0	Week1	32	F	23	VILLAGE MARKET	3770 N. MACKINAW TRAIL, LEROY MI 49655 US,   US	-85.44441	44.04255	
224417	0	Week2	32	F	23	VILLAGE GRILL	112 CHURCH ST, TUSTIN MI 48688 US,   US	-85.458075	44.102377	1
99031	74	Week1	32	F	24	BLARNEY CASTLE #888	20027 180TH AVE., TUSTIN MI 49688 US,   US	-85.444523	44.1029	
226231	0	Week1	32	F	25	MINERAL SPRINGS BAR	21257 MACKINAW TRAIL, TUSTIN MI 49688 US,   US	-85.440611	44.120886	
212732	0	Week1	32	F	26	THOMAS FLINT & SON	10213 S. 39 MILE, CADILLAC MI 49601 US,   US	-85.4356592	44.1908337	
233184	0	Week1	32	F	27	DOCKSIDE INN	2404 Sunnyside Dr, Cadillac, MI 49601, CADILLAC MI,   US	-85.449688	44.233633	
224350	0	Week1	32	F	28	HERMANN'S	2404 Sunnyside Dr, Cadillac MI 49601 US, CADILLAC,   US	-85.449688	44.233633	
226257	0	Week1	32	F	29	BURKE'S WATERFRONT INN	2403 SUNNYSIDE DR, CADILLAC MI 49601 US,   US	-85.450252	44.232991	
233512	0	Week1	32	F	30	THE TIMBERS RESTAURANT	5535 M-115, CADILLAC MI 49601 US,   US	-85.466531	44.264248	
232564	0	Week1	32	M	1	MERRILL'S/BOOLMAN INC.	817 BELL AVE, CADILLAC MI 49601 US,   US	-85.397503	44.274577	
232225	0	Week1	32	M	2	STEVE'S AUTO	211 ROBERTS ST, CADILLAC MI 49601 US,   US	-85.399875	44.275736	
99087	0	Week3	32	M	2	WEST MICHIGAN CREDIT UNION	215 BELL AVE, CADILLAC MI 49601 US,   US	-85.40452	44.274584	3
228162	0	Week1	32	M	3	AFFORDABLE AUTO REPAIR	1699 PLETT RD, CADILLAC MI 49601 US,   US	-85.3971967	44.2763867	
210625	0	Week1	32	M	4	HOLMES AUTO REPAIR	100 WORKS, CADILLAC MI 49601 US,   US	-85.404398	44.277494	
220935	0	Week1	32	M	5	KOUNTRY KITCHEN	1920 N. MITCHELL, CADILLAC MI 49601 US,   US	-85.406256	44.278098	
230604	0	Week3	32	M	5	44 NORTH	1406 N MITCHEL, CADILLAC MI 49601 US,   US	-85.404351	44.271142	3
99031	75	Week1	32	M	6	BLARNEY CASTLE MDCO	1947 N Mitchell St, Cadillac MI 49601 US, CADILLAC,   US	-85.408155	44.27846	
99140	6	Week2	32	M	6	ARBY'S CADILLAC	1714 N MITCHELL ST, CADILLAC MI 49601 US,   US	-85.406169	44.275717	2
227803	0	Week2	32	M	7	PETERSON, MCGREGOR OF CADILLAC	1573 N. MITCHELL, CADILLAC MI 49601 US,   US	-85.406963	44.27369	2
