""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"0"	"99161.0"	"92.0"	"Week1"	"3.0"	"F"	"20.0"	"SPT FAM FARE #1513 FIRST AID"	"784 S. CEDAR POB 940, KALKASKA MI 49646 US,  US,   US"	"-85.187699"	"44.721748"
"1"	"99061.0"	"92.0"	"Week1"	"3.0"	"F"	"10.0"	"SPT FAMILY FARE #1513"	"784 S. CEDAR POB 940, KALKASKA MI 49646 US,  US,   US"	"-85.187699"	"44.721748"
"2"	"221713.0"	"0.0"	"Week3"	"3.0"	"F"	"30.0"	"B & B TENT RENTAL"	"109 EAST 4TH STREET, KALKASKA MI 49646 US,  US,   US"	"-85.17864"	"44.732175"
"3"	"209574.0"	"0.0"	"Week1"	"3.0"	"F"	"40.0"	"MCLEAN HARDWARE"	"109 EAST 4TH STREET, KALKASKA MI 49646 US,  US,   US"	"-85.17864"	"44.732175"
"4"	"99103.0"	"2.0"	"Week1"	"3.0"	"F"	"50.0"	"NEXT DOOR STR #5019"	"111 S CEDAR ST BOX 1416, KALKASKA MI 49646 US,  U,   US"	"-85.17476"	"44.734728"
"5"	"99046.0"	"1.0"	"Week1"	"3.0"	"F"	"60.0"	"KALKASKA SELF SERVE"	"809 N. CEDAR, KALKASKA MI 49646 US,  US,   US"	"-85.174876"	"44.742313"
"6"	"231031.0"	"0.0"	"Week1"	"3.0"	"F"	"70.0"	"C.C. POWER"	"3850 BEEBE RD, KALKASKA MI 49646 US,  US,   US"	"-85.173365"	"44.769755"
"7"	"99031.0"	"11.0"	"Week1"	"3.0"	"F"	"80.0"	"BLARNEY CASTLE #656"	"608 S WILLIAM ST, MANCELONA MI 49659 US,  US,   US"	"-85.068981"	"44.89496"
"8"	"222513.0"	"0.0"	"Week1"	"3.0"	"F"	"90.0"	"BO JACKS"	"102 W. STATE ST., MANCELONA MI 49659 US,  US,   US"	"-85.061543"	"44.902642"
"9"	"99161.0"	"91.0"	"Week1"	"3.0"	"F"	"120.0"	"SPT FAMILY FARE #1507 FIRST AI"	"619 N. WILLIAMS, MANCELONA MI 49659 US,  US,   US"	"-85.055444"	"44.908607"
