"RowID","WorkspaceName","CustomerName","CustomerNumber","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","DisplayAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MatchedAddressFull","Latitude","Longitude","MatchType","MatchTypeCode","Phone","Email","Website","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments","FrequencyCycleText","FrequencyCycleCode","FrequencyDays","Capacity1","Capacity2","ServiceMinutes","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","DateAdded","DateModified"
"-1","My Workspace 1","ALLIANCE BEVERAGE DISTRIBUTING","12288","525 W. COMMERCE","","TRAVERSE CITY","MI","49685","US","525 W. COMMERCE, TRAVERSE CITY MI 49685 US","2325 Sybrant Rd","","Traverse City","MI","49684","US","2325 Sybrant Rd, Traverse City MI 49684 US","44.734868","-85.622396","Street Address - Automatic","3","","","","232475","","","","","","0","Monthly Monthly - Week 2","2","T","0","1066.82","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-2","My Workspace 1","AM VETS","4113","1959 WEST 24TH ST","","BALDWIN","MI","49304","US","1959 WEST 24TH ST, BALDWIN MI 49304 US","1959 W 24th St","","Baldwin","MI","49304","US","1959 W 24th St, Baldwin MI 49304 US","43.943209","-85.841238","Street Address - Automatic","3","","","","218971","","","","","","0","Bi-Weekly Even Cycle Weeks (2,4)","Bi-Weekly Even","T","0","5788.74","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-3","My Workspace 1","ASHTON GENERAL STORE","9133","10989 210TH AVE","","ASHTON","MI","49677","US","10989 210TH AVE, ASHTON MI 49677 US","10989 210th Ave","","Reed City","MI","49677","US","10989 210th Ave, Reed City MI 49677 US","43.972822","-85.503332","Street Address - Automatic","3","","","","230321","","","","","","0","Bi-Weekly Even Cycle Weeks (2,4)","Bi-Weekly Even","T","0","3428.47","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-4","My Workspace 1","ADVANCED FOOT & ANKLE","4535","8805 PINE RIDGE DR","","CADILLAC","MI","49601","US","8805 PINE RIDGE DR, CADILLAC MI 49601 US","8805 Pine Ridge Dr","","Cadillac","MI","49601","US","8805 Pine Ridge Dr, Cadillac MI 49601 US","44.225406","-85.399737","Street Address - Automatic","3","","","","227617","","","","","","0","Bi-Weekly Odd Cycle Weeks (1,3)","Bi-Weekly Odd","R","0","1363.3","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-5","My Workspace 1","TCFF","15721","181 E. GRANDVIEW PKWY","BIJOU BY THE BAY THEATER","TRAVERSE CITY","MI","49684","US","181 E. GRANDVIEW PKWY BIJOU BY THE BAY THEATER, TRAVERSE CITY MI 49684 US","181 E Grandview Pkwy","","Traverse City","MI","49684","US","181 E Grandview Pkwy, Traverse City MI 49684 US","44.765958","-85.620314","Street Address - Automatic","3","","","","233476","","","","","","0","Weekly","Weekly","R","0","0","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-6","My Workspace 1","13TH STREET MARKET","11675","3075 W. 13TH STREET","","CADILLAC","MI","49601","US","3075 W. 13TH STREET, CADILLAC MI 49601 US","3075 W 13th St","","Cadillac","MI","49601","US","3075 W 13th St, Cadillac MI 49601 US","44.268295","-85.46863","Street Address - Automatic","3","","","","232158","","","","","","0","Weekly","Weekly","M","0","3867.85","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-7","My Workspace 1","TCFF","15711","233 E FRONT ST","","TRAVERSE CITY","MI","49684","US","233 E FRONT ST, TRAVERSE CITY MI 49684 US","233 E Front St","","Traverse City","MI","49684","US","233 E Front St, Traverse City MI 49684 US","44.764387","-85.619492","Street Address - Automatic","3","","","","233476","","","","","","0","Weekly","Weekly","W","0","0","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-8","My Workspace 1","MORSELS","15644","321 E. FRONT ST.","","TRAVERSE CITY","MI","49684","US","321 E. FRONT ST., TRAVERSE CITY MI 49684 US","321 E Front St","","Traverse City","MI","49684","US","321 E Front St, Traverse City MI 49684 US","44.764264","-85.616918","Street Address - Automatic","3","","","","233452","","","","","","0","Weekly","Weekly","R","0","2253.02","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-9","My Workspace 1","POLAR PARLOR","15643","303 W. HIGGINS LAKE DR.","","ROSCOMMON","MI","48653","US","303 W. HIGGINS LAKE DR., ROSCOMMON MI 48653 US","303 W Higgins Lake Dr","","Roscommon","MI","48653","US","303 W Higgins Lake Dr, Roscommon MI 48653 US","44.420982","-84.690461","Street Address - Automatic","3","","","","232410","","","","","","0","Weekly","Weekly","W","0","1042.78","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
"-10","My Workspace 1","MOTOR MART ENGINE REBUILDING","15623","1750 W. HOUGHTON LAKE DR","","PRUDENVILLE","MI","48651","US","1750 W. HOUGHTON LAKE DR, PRUDENVILLE MI 48651 US","1750 W Houghton Lake Dr","","Prudenville","MI","48651","US","1750 W Houghton Lake Dr, Prudenville MI 48651 US","44.298932","-84.672349","Street Address - Automatic","3","","","","233448","","","","","","0","Weekly","Weekly","M","0","300","13","","False","","","False","","","NoPriority","1/25/2022 6:06:15 PM","1/17/2023 8:36:35 AM"
