""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"180"	"533341.0"	"0.0"	"Week1"	"12"	"F"	"1.0"	"HOLLAND HOME"	"2121 RAYBROOK, GRAND RAPIDS MI 49546 US"	"-85.588843"	"42.922687"
"181"	"526653.0"	"2.0"	"Week2"	"12"	"F"	"2.0"	"SOUTH GODWIN HEAD START"	"28 BELLEVUE SW, WYOMING MI 49548 US"	"-85.6636183"	"42.8881223"
"182"	"99097.0"	"60.0"	"Week1"	"12"	"F"	"2.0"	"JOHNNY'S MARKET #4830"	"2363 28TH ST SE, GRAND RAPIDS MI 49508 US"	"-85.608838"	"42.913024"
"183"	"99161.0"	"60.0"	"Week1"	"12"	"F"	"3.0"	"D&W 1586 PRODUCE FIRST AID"	"4325 BRETON ROAD SE, GR. RAPIDS MI 49512 US"	"-85.60798"	"42.885912"
"184"	"532360.0"	"0.0"	"Week1"	"12"	"F"	"4.0"	"TASTY GYRO & CONEY ISLAND"	"2269 44TH STREET SE, GRAND RAPIDS MI 49021 US"	"-85.609433"	"42.884469"
"185"	"533124.0"	"0.0"	"Week3"	"12"	"F"	"4.0"	"SHANIS SALON"	"2120 44th Street SE STE 103, GRAND RAPIDS MI 49508 US"	"-85.61357"	"42.883263"
"186"	"532009.0"	"0.0"	"Week1"	"12"	"F"	"5.0"	"CURRY LEAF INDIAN CUISINE"	"2222 44TH ST SE, KENTWOOD MI 49508 US"	"-85.610247"	"42.883379"
"187"	"499014.0"	"26.0"	"Week3"	"12"	"F"	"6.0"	"RX OPTICAL- KW290"	"2350 44TH ST. S.E., KENTWOOD MI 49508 US"	"-85.607726"	"42.88342"
"188"	"523798.0"	"0.0"	"Week1"	"12"	"F"	"6.0"	"DESI SPICE"	"4445 D BRETON RD SE, KENTWOOD MI 49508 US"	"-85.608223"	"42.881437"
"189"	"533100.0"	"0.0"	"Week2"	"12"	"F"	"7.0"	"MITHU INDIAN CUISINE"	"4309 KALAMAZOO AVE SE, GRAND RAPIDS MI 49508 US"	"-85.626446"	"42.885153"
"190"	"530609.0"	"0.0"	"Week1"	"12"	"F"	"7.0"	"BRANDS LLC"	"2021 44TH ST SE, KENTWOOD MI 49512 US"	"-85.615941"	"42.884201"
"191"	"99059.0"	"4.0"	"Week1"	"12"	"F"	"8.0"	"MR BURGER #3"	"1750 44TH STREET, KENTWOOD MI 49508 US"	"-85.622129"	"42.883364"
"192"	"525341.0"	"0.0"	"Week1"	"12"	"F"	"9.0"	"FLORENTINE'S PIZZERIA & RESTOR"	"4261 KALAMAZOO AVE. S.E., GRAND RAPIDS MI 49508 US"	"-85.626743"	"42.885558"
"193"	"99169.0"	"2.0"	"Week1"	"12"	"F"	"10.0"	"DEAN TRANSPORTATION"	"4155 TRADE DRIVE, GRAND RAPIDS MI 49508 US"	"-85.6366368"	"42.8882767"
"194"	"99033.0"	"184.0"	"Week1"	"12"	"F"	"11.0"	"EUREST-STEELCASE BUS CTR 22108"	"901 44TH ST SE, GRAND RAPIDS MI 49508 US"	"-85.643491"	"42.884914"
"195"	"99033.0"	"185.0"	"Week1"	"12"	"F"	"12.0"	"EUREST-STEELCASE LEARN 22108"	"601 44TH ST SE, GRAND RAPIDS MI 49508 US"	"-85.650445"	"42.884138"
