""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"1251"	"99117.0"	"19.0"	"Week1"	"8010"	"F"	"1.0"	"WESCO #49"	"1675 E. APPLE RD., MUSKEGON MI 49442 US"	"-86.202208"	"43.233984"
"1252"	"808642.0"	"0.0"	"Week1"	"8010"	"F"	"10.0"	"MR SCRIBS PIZZA 4"	"1251 WITHAM, WHITEHALL MI 49445-2419 US"	"-86.26216"	"43.275064"
"1253"	"805400.0"	"0.0"	"Week1"	"8010"	"F"	"11.0"	"NORTHSHORE DENTAL ASSOCIATES"	"1179 WHITEHALL ROAD, N MUSKEGON MI 49445 US"	"-86.260525"	"43.273932"
"1254"	"99062.0"	"77.0"	"Week1"	"8010"	"F"	"12.0"	"HARDINGS #165-DELI"	"520 WHITEHALL ROAD, MUSKEGON MI 49445 US"	"-86.251361"	"43.26894"
"1255"	"99062.0"	"76.0"	"Week1"	"8010"	"F"	"13.0"	"HARDINGS #165-PRODUCE"	"520 WHITEHALL ROAD, MUSKEGON MI 49445 US"	"-86.251361"	"43.26894"
"1256"	"99062.0"	"75.0"	"Week1"	"8010"	"F"	"14.0"	"HARDINGS #165-BAKERY"	"520 WHITEHALL ROAD, MUSKEGON MI 49445 US"	"-86.251361"	"43.26894"
"1257"	"99062.0"	"78.0"	"Week1"	"8010"	"F"	"15.0"	"HARDINGS #165-MEAT"	"520 WHITEHALL ROAD, MUSKEGON MI 49445 US"	"-86.251361"	"43.26894"
"1258"	"99062.0"	"73.0"	"Week1"	"8010"	"F"	"16.0"	"HARDINGS #165-NORTH MUSKEGON"	"520 WHITEHALL ROAD, MUSKEGON MI 49445 US"	"-86.251361"	"43.26894"
"1259"	"99161.0"	"73.0"	"Week1"	"8010"	"F"	"17.0"	"HARDINGS #165 N. MUSKEGON F.A."	"520 WHITEHALL ROAD, MUSKEGON MI 49445 US"	"-86.251361"	"43.26894"
"1260"	"804300.0"	"0.0"	"Week1"	"8010"	"F"	"18.0"	"NORTHSHORE CHIROPRACTIC"	"485 WHITEHALL RD, N MUSKEGON MI 49445 US"	"-86.252443"	"43.267371"
"1261"	"804796.0"	"0.0"	"Week1"	"8010"	"F"	"19.0"	"LITTLE CAESARS PIZZA - N MUSK"	"485 N WHITEHALL RD, N MUSKEGON MI 49445 US"	"-86.252443"	"43.267371"
"1262"	"99117.0"	"20.0"	"Week1"	"8010"	"F"	"2.0"	"WESCO #31"	"1819 EAST APPLE AVENUE, MUSKEGON MI 49422 US"	"-86.198672"	"43.234057"
"1263"	"532861.0"	"0.0"	"Week2"	"8010"	"F"	"2.0"	"BIG APPLE BAGELS MUSKEGON"	"1970 E. APPLE AVE, MUSKEGON MI 49442 US"	"-86.194978"	"43.234683"
"1264"	"99135.0"	"0.0"	"Week1"	"8010"	"F"	"20.0"	"FIREHOUSE SUBS-APPLE"	"1701 E APPLE AVE, MUSKEGON MI 49440 US"	"-86.201173"	"43.233885"
"1265"	"804594.0"	"0.0"	"Week2"	"8010"	"F"	"21.0"	"RUSTY SPOKE LLC"	"2411 HALL RD, MUSKEGON MI 49442 US"	"-86.181959"	"43.24836"
"1266"	"884502.0"	"7777.0"	"Week1"	"8010"	"F"	"21.0"	"MUSKEGON RESCUE MISSION-MATS"	"2735 E. APPLE, MUSKEGON MI 49442 US"	"-86.1760327"	"43.2332013"
"1267"	"801772.0"	"0.0"	"Week1"	"8010"	"F"	"22.0"	"M46 BAR - B MATHIS ENT. INC."	"3015 E. APPLE AVE, MUSKEGON MI 49442 US"	"-86.168905"	"43.234006"
"1268"	"885970.0"	"5970.0"	"Week3"	"8010"	"F"	"23.0"	"GLO SUN AND SHADES"	"2279 E APPLE AVE, MUSKEGON MI 49442 US"	"-86.187188"	"43.2338575"
"1269"	"886208.0"	"4559.0"	"Week1"	"8010"	"F"	"23.0"	"G & L CHILI DOGS"	"2510 APPLE AVE, MUSKEGON MI 49442 US"	"-86.181325"	"43.234817"
"1270"	"803780.0"	"0.0"	"Week1"	"8010"	"F"	"24.0"	"PRENGER JEWELRY CLINIC"	"2264 E. APPLE AVE, MUSKEGON MI 49442 US"	"-86.187345"	"43.234527"
"1271"	"804569.0"	"0.0"	"Week2"	"8010"	"F"	"24.0"	"AUTO WORLD"	"2286 APPLE AVE, MUSKEGON MI 49442 US"	"-86.186569"	"43.234699"
"1272"	"803761.0"	"0.0"	"Week1"	"8010"	"F"	"25.0"	"ENTITY TATTOO STUDIO"	"2233 E APPLE AVE, MUSKEGON MI 49442 US"	"-86.1885"	"43.233966"
"1273"	"499014.0"	"28.0"	"Week2"	"8010"	"F"	"26.0"	"RX OPTICAL"	"2159 APPLE AVE, MUSKEGON MI 49442 US"	"-86.189963"	"43.233934"
"1274"	"804795.0"	"0.0"	"Week1"	"8010"	"F"	"26.0"	"LITTLE CAESARS PIZZA - APPLE"	"2199 APPLE AVE, MUSKEGON MI 49442 US"	"-86.189462"	"43.2338321"
"1275"	"804510.0"	"0.0"	"Week1"	"8010"	"F"	"27.0"	"THE PITA PLACE"	"2039 E APPLE AVE, MUSKEGON MI 49442 US"	"-86.193319"	"43.23384"
"1276"	"882543.0"	"2543.0"	"Week2"	"8010"	"F"	"28.0"	"MUSKEGON CHARTER TOWNSHIP HALL"	"1990 E APPLE, MUSKEGON MI 49442 US"	"-86.19492"	"43.235156"
"1277"	"884502.0"	"4502.0"	"Week1"	"8010"	"F"	"28.0"	"MUSK RES MISSION STORE - MATS"	"2019 APPLE AVE, MUSKEGON MI 49442 US"	"-86.193748"	"43.233482"
"1278"	"882543.0"	"2542.0"	"Week1"	"8010"	"F"	"29.0"	"MUSKEGON CHARTER TOWNSHIP DPW"	"QUARTERLINE RD., MUSKEGON MI 49442 US"	"-86.19419815"	"43.23279885"
"1279"	"886809.0"	"2541.0"	"Week2"	"8010"	"F"	"29.0"	"MUSKEGON AREA DISTRICT LIBRARY"	"1910 APPLE, MUSKEGON MI 49442 US"	"-86.197413"	"43.234798"
"1280"	"804577.0"	"0.0"	"Week1"	"8010"	"F"	"3.0"	"MR B'S PANCAKE HOUSE"	"1910 E APPLE AVE SUITE A, MUSKEGON MI 49442 US"	"-86.197413"	"43.234798"
"1281"	"806350.0"	"0.0"	"Week1"	"8010"	"F"	"30.0"	"NORTHWAY LANES"	"1751 EVANSTON AVE, MUSKEGON MI 49441 US"	"-86.201213"	"43.220931"
"1282"	"806014.0"	"0.0"	"Week1"	"8010"	"F"	"31.0"	"EAST RIVER MACHINE CO"	"1710 Wierengo Dr., MUSKEGON MI 49442 US"	"-86.1919417"	"43.221525"
"1283"	"533302.0"	"0.0"	"Week1"	"8010"	"F"	"32.0"	"MIDWEST PRODUCT SPECIALTIES"	"2190 AURORA, MUSKEGON MI 49442 US"	"-86.1898106"	"43.222422"
"1284"	"806011.0"	"0.0"	"Week1"	"8010"	"F"	"33.0"	"STEWART ENGINEERING & SALES"	"2140 AURORA, MUSKEGON MI 49442 US"	"-86.191165"	"43.222212"
