""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"716"	"99061"	"129"	"W1"	"51"	"F"	"1"	"SPARTAN WHSE COMPUTER AREA"	"850 76TH ST., GRAND RAPIDS MI 49500 US"	"-85.65016423"	"42.82619117"
"717"	"99061"	"121"	"W1"	"51"	"F"	"2"	"SPARTAN WHSE PACKING"	"850 76TH STREET, GRAND RAPIDS MI 49500 US"	"-85.65016423"	"42.82619117"
"718"	"99061"	"124"	"W1"	"51"	"F"	"3"	"SPARTAN STORES PERISHABLES MAT"	"850 76TH ST, GRAND RAPIDS MI 49518 US"	"-85.65016423"	"42.82619117"
"719"	"99061"	"140"	"W1"	"51"	"F"	"4"	"SPARTAN GM-CAFE"	"850 76TH STREET, GRAND RAPIDS MI 49518 US"	"-85.65016423"	"42.82619117"
"720"	"99061"	"131"	"W1"	"51"	"F"	"5"	"SPARTAN STORES"	"537 76TH ST., GRAND RAPIDS MI 49426 US"	"-85.6539317"	"42.8264917"
"721"	"99161"	"131"	"W1"	"51"	"F"	"6"	"SPARTAN STORES FIRST AID"	"537 76TH ST., GRAND RAPIDS MI 49426 US"	"-85.6539317"	"42.8264917"
"722"	"99161"	"481"	"W1"	"51"	"F"	"7"	"SPARTANNASH-GR EAST FIRST AID"	"7610 CLYDE PARK SW, BYRON CENTER MI 49315 US"	"-85.682965"	"42.82566"
"723"	"99161"	"463"	"W1"	"51"	"F"	"8"	"SPTNASH TRANSPORT FIRST AID"	"850 76TH ST S.W., GRAND RAPIDS MI 49518 US"	"-85.684844"	"42.825297"
"724"	"99061"	"125"	"W1"	"51"	"F"	"9"	"SPARTAN STORES SOUTH GUARD SHA"	"850 76TH ST. S.W., GRAND RAPIDS MI 49518 US"	"-85.684844"	"42.825297"
"725"	"99061"	"123"	"W1"	"51"	"F"	"10"	"SPARTAN WHSE PERISHA"	"850 76TH STREET S.W., GRAND RAPIDS MI 49508 US"	"-85.684844"	"42.825297"
"726"	"99061"	"130"	"W1"	"51"	"F"	"11"	"SPARTAN STORES GARAGE"	"850 76TH ST. S.W., GRAND RAPIDS MI 49518 US"	"-85.684844"	"42.825297"
"727"	"99061"	"126"	"W1"	"51"	"F"	"12"	"SPARTAN STORES GROCERY"	"850 76TH ST. S.W., GRAND RAPIDS MI 49518 US"	"-85.684844"	"42.825297"
"728"	"99061"	"122"	"W1"	"51"	"F"	"13"	"SPARTAN WHSE SALVAGE"	"850 76TH STREET S.W., GRAND RAPIDS MI 49508 US"	"-85.684844"	"42.825297"
