""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"1452"	"526653"	"0"	"Week1"	"8040"	"F"	"1"	"MICHIGAN FAMILY RESOURCES"	"2626 WALKER AVE NW, WALKER MI 49544 US"	"-85.7211558"	"43.0119063"
"1453"	"528158"	"0"	"Week1"	"8040"	"F"	"2"	"BISSELL"	"2345 WALKER AVE, WALKER MI 49544 US"	"-85.723918"	"43.007413"
"1454"	"830002"	"0"	"Week1"	"8040"	"F"	"3"	"MICHIGAN PAIN CONSULTANTS"	"1675 E MOUNT GARFIELD SUITE 13, MUSKEGON HEIGHTS MI 49444 US"	"-86.204273"	"43.146272"
"1455"	"885730"	"5728"	"Week1"	"8040"	"F"	"4"	"MUSK SURG-DOWNSTAIRS-PATRIOT"	"1675 PATRIOT, MUSKEGON MI  US"	"-86.204053"	"43.158058"
"1456"	"885730"	"5726"	"Week1"	"8040"	"F"	"5"	"MUSK SURG-UPSTAIRS-PATRIOT"	"1675 PATRIOT, MUSKEGON MI  US"	"-86.204053"	"43.158058"
"1457"	"533472"	"0"	"Week1"	"8040"	"F"	"6"	"CHICK-FIL-A"	"356 WILSON AVE NORTHWEST, WALKER MI 49534 US"	"-85.775676"	"42.972049"
"1458"	"599000"	"16"	"Week1"	"8040"	"F"	"7"	"NEW BEGINNINGS RESTAURANT"	"4735 LAKE MICHIGAN DRIVE, STANDALE MI 49534 US"	"-85.783127"	"42.972728"
"1459"	"99051"	"52"	"Week1"	"8040"	"F"	"8"	"JET'S PIZZA MI-141"	"4482 LAKE MICHIGAN DR, WALKER MI 49534 US"	"-85.77885"	"42.971808"
"1460"	"99100"	"3"	"Week1"	"8040"	"F"	"9"	"AAC CU-STANDALE"	"177 WILSON NW, GRAND RAPIDS MI 49534 US"	"-85.776937"	"42.968071"
"1461"	"532514"	"0"	"Week1"	"8040"	"F"	"10"	"TAQUERIA MANRIQUEZ-GR"	"411 WILSON NW, GRAND RAPIDS MI 49534 US"	"-85.776779"	"42.973437"
"1462"	"27828"	"3"	"Week1"	"8040"	"F"	"11"	"PEPPINOS PIZZA 1"	"4170 LAKE MICHIGAN DRIVE, GRAND RAPIDS MI 49534 US"	"-85.770316"	"42.971853"
"1463"	"521739"	"0"	"Week1"	"8040"	"F"	"12"	"SICILIANOS MARKET"	"2840 LAKE MICHIGAN DR N.W., GRAND RAPIDS MI 49504 US"	"-85.737826"	"42.97149"
"1464"	"99061"	"334"	"Week1"	"8040"	"F"	"13"	"SPT. FAMILY FARE FRONT 339"	"2755 LAKE MI DR. NW, GR. RAPIDS MI 49504 US"	"-85.735992"	"42.972554"
"1465"	"99161"	"334"	"Week1"	"8040"	"F"	"14"	"SPT. FAMILY FARE 339 FIRST AID"	"2755 LAKE MI DR. NW, GR. RAPIDS MI 49504 US"	"-85.735992"	"42.972554"
