"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","SPT CHERRY HILL MKT","2","1","Route Stop","08:00:00","08:12:48","","12.8","65.14532544","107.6977515","","6621","","","","","True","08:00","17:00","False","","","No Priority","3.6","0","0","","424 NORTH STATE STRE, SHELBY MI 49455 US","424 NORTH STATE STRE","","SHELBY","MI","49455","US","-86.357494","43.616532","24","Lat/Lon - Automatic","","","","","","","","100846.260062093","100.846260062093","62.6629616302948","100846.260062093","0","56.3874374573683","501498","0","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-86","","-2"
"2","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","WESCO #53","3","2","Route Stop","08:13:23","08:21:33","","8.17","61.83402367","63.05674556","","14198","","","","","False","","","False","","","No Priority","0","0","0","","241 N STATE ST, SHELBY MI 49455 US","241 N STATE ST","","SHELBY","MI","49455","US","-86.360398","43.61307","24","Lat/Lon - Automatic","","","","","","","","466.709576747671","0.466709576747671","0.289999889755192","0","466.709576747671","0.595068160557702","99117","62","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-62","","-3"
"3","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","NORTHWEST MI HEALTH SVC-SHELBY","4","3","Route Stop","08:22:18","08:28:08","","5.84","192.8862722","321.827574","","11307","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","115 S. STATE ST, SHELBY MI 49455 US","115 S. STATE ST","","SHELBY","MI","49455","US","-86.3640249","43.60850606","24","Lat/Lon - Automatic","","","","","","","","596.806783689113","0.596806783689113","0.370838547349045","0","596.806783689113","0.742810751857448","99077","0","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-44","","-4"
"4","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","LAKESHORE MEDICAL-SHELBY","5","4","Route Stop","08:28:34","08:31:46","","3.2","35","35","","6837","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","71 BEVIER ST, SHELBY MI 49455 US","71 BEVIER ST","","SHELBY","MI","49455","US","-86.365623","43.607125","24","Lat/Lon - Automatic","","","","","","","","206.11755004873","0.20611755004873","0.128075509414839","0","206.11755004873","0.422670216554081","521127","0","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-23","","-5"
"5","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","WESCO #17","6","5","Route Stop","08:37:46","08:52:33","","14.78","109.2936095","110.3586982","","14195","","","","","False","","","False","","","No Priority","0","0","0","","4667 1ST STREET, NEW ERA MI 49446 US","4667 1ST STREET","","NEW ERA","MI","49446","US","-86.345549","43.559921","24","Lat/Lon - Automatic","","","","","","","","6307.45392845344","6.30745392845344","3.91927021646783","0","6307.45392845344","5.99975834925638","99117","59","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-93","","-6"
"6","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","WESCO #51","7","6","Route Stop","08:57:20","09:05:57","","8.61","44.67994505","60.51851648","","14196","","","","","False","","","False","","","No Priority","0","0","0","","7588 S MICHIGAN AVE, ROTHBURY MI 49452 US","7588 S MICHIGAN AVE","","ROTHBURY","MI","49452","US","-86.347254","43.507096","24","Lat/Lon - Automatic","","","","","","","","5988.73439506438","5.98873439506438","3.72122707754243","0","5988.73439506438","4.79121855484308","99117","60","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-65","","-7"
"7","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","KING ADULT FOSTER CARE","8","7","Route Stop","09:06:50","09:10:34","","3.74","26.37333333","27.70666667","","15194","","","","","False","","","False","","","No Priority","0","0","0","","7212 S MICHIGAN, ROTHBURY MI 49437 US","7212 S MICHIGAN","","ROTHBURY","MI","49437","US","-86.3460667","43.5142817","24","Lat/Lon - Automatic","","","","","","","","950.430080002654","0.950430080002654","0.590569879327345","0","950.430080002654","0.89101676156001","806241","0","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-223","","-8"
"8","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","GREENSCAPE LAWNS","9","8","Route Stop","09:16:50","09:23:55","","7.08","0","0","","15908","","","","","False","","","False","","","No Priority","0","0","0","","9841 US-31 BUS., MONTAGUE MI 49437 US","9841 US-31 BUS.","","MONTAGUE","MI","49437","US","-86.346771","43.437041","24","Lat/Lon - Automatic","","","","","","","","8684.97531100835","8.68497531100835","5.39659353097163","0","8684.97531100835","6.25398572820896","433589","0","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-243","","-9"
"9","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","ADVANCED DIESEL SYSTEMS INC","10","9","Route Stop","09:23:58","09:31:45","","7.78","78.28360947","79.34869822","","15172","","","","","True","09:00","17:00","False","","","No Priority","0","0","0","","9790 US 31, MONTAGUE MI 49437 US","9790 US 31","","MONTAGUE","MI","49437","US","-86.34562","43.436426","24","Lat/Lon - Automatic","","","","","","","","67.6013972130895","0.0676013972130895","0.0420055613079741","0","67.6013972130895","0.0526461532780615","806222","0","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-58","","-10"
"10","Gr Reroute Solution Hotel","Fox 8010","8010_W1_Wednesday","","","WEESIES BROS FARM-OFFICE","11","10","Route Stop","09:34:36","09:42:13","","7.61","23.24693878","26.26734694","","15647","","","","","True","07:00","17:00","False","","","No Priority","0","0","0","","10126 WALSH RD, MONTAGUE MI 49437 US","10126 WALSH RD","","MONTAGUE","MI","49437","US","-86.323389","43.439355","24","Lat/Lon - Automatic","","","","","","","","3240.79465989863","3.24079465989863","2.0137364667748","0","3240.79465989863","2.86077754889294","886245","6245","","Rt 8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","9/9/2022 11:32:14 AM","2022/09/01 14:01","2022/10/06 16:39","-1","-1","-247","","-11"
