"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","MUSKEGON COUNTY ROAD COMMISSIO","2","1","Route Stop","06:37:30","06:37:30","","0","6.39390532544379","12.1122485207101","","15477","","","","","False","","","False","","","No Priority","0","0","0","","5333 HOLTON RD, TWIN LAKE MI 49457 US","5333 HOLTON RD","","TWIN LAKE","MI","49457","US","-86.1682313","43.3514094","3","Street Address - Automatic","5333 Holton Rd, Twin Lake MI 49457 US","5333 Holton Rd","","Twin Lake","MI","49457","US","64686.9649176589","64.6869649176589","40.1946170152436","64686.9649176589","0","37.5152815859765","884524","08276","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22528","","-31340"
"2","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","HALLSTROM CASTLE ASSISTED LVNG","3","2","Route Stop","06:37:57","06:37:57","","0","98.3448520710059","136.04899408284","","15122","","","","","False","","","False","","","No Priority","0","0","0","","5638 HOLTON RD, TWIN LAKE MI 49457 US","5638 HOLTON RD","","TWIN LAKE","MI","49457","US","-86.164954","43.357164","3","Street Address - Automatic","5638 Holton Rd, Twin Lake MI 49457 US","5638 Holton Rd","","Twin Lake","MI","49457","US","640.244589261058","0.640244589261058","0.397829548722651","0","640.244589261058","0.43597068823874","808252","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22523","","-31341"
"3","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","TWIN LAKE AUTO & TIRE","4","3","Route Stop","06:38:39","06:38:39","","0","31.3089940828402","42.6940828402367","","15125","","","","","False","","","False","","","No Priority","0","0","0","","3190 4TH STREET, TWIN LAKE MI 49457 US","3190 4TH STREET","","TWIN LAKE","MI","49457","US","-86.162782","43.363063","3","Street Address - Automatic","3190 4th St, Twin Lake MI 49457 US","3190 4th St","","Twin Lake","MI","49457","US","842.497059737549","0.842497059737549","0.523503409005592","0","842.497059737549","0.713356889784336","808278","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22524","","-31342"
"4","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","THE PIZZA MILL","5","4","Route Stop","06:44:50","06:44:50","","0","66.3860355029586","90.5308875739645","","15127","","","","","False","","","False","","","No Priority","0","0","0","","8485 HOLTON RD, HOLTON MI 49425 US","8485 HOLTON RD","","HOLTON","MI","49425","US","-86.083233","43.408099","3","Street Address - Automatic","8485 Holton Rd, Holton MI 49425 US","8485 Holton Rd","","Holton","MI","49425","US","8853.0980177707","8.8530980177707","5.5010601390198","0","8853.0980177707","6.17558615095913","808400","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22526","","-31343"
"5","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","NORTHLAND COLLISION","6","5","Route Stop","06:44:51","06:44:51","","0","35","35","","11338","","","","","False","","","False","","","No Priority","0","0","0","","8480 HOLTON RD, HOLTON MI 49425 US","8480 HOLTON RD","","HOLTON","MI","49425","US","-86.082405","43.407738","3","Street Address - Automatic","8480 Holton Rd, Holton MI 49425 US","8480 Holton Rd","","Holton","MI","49425","US","36.5059535325304","0.0365059535325304","0.0226837481536526","0","36.5059535325304","0.0264289863407612","531928","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22518","","-31344"
"6","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","HOLTON AUTOMOTIVE INC","7","6","Route Stop","06:45:22","06:45:22","","0","55.4514792899408","62.4100591715976","","15126","","","","","False","","","False","","","No Priority","0","0","0","","8640 HOLTON RD, HOLTON MI 49425 US","8640 HOLTON RD","","HOLTON","MI","49425","US","-86.0791226","43.4106235","3","Street Address - Automatic","8640 Holton Rd, Holton MI 49425 US","8640 Holton Rd","","Holton","MI","49425","US","516.146505009358","0.516146505009358","0.320718573193471","0","516.146505009358","0.516262169927359","808281","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22525","","-31345"
"7","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","MOON DANCE CAFE","8","7","Route Stop","06:54:52","06:54:52","","0","57.4163313609468","74.8390532544379","","15716","","","","","False","","","False","","","No Priority","0","0","0","","7143 W. 48TH STREET, FREEMONT MI 49412 US","7143 W. 48TH STREET","","FREEMONT","MI","49412","US","-85.977252","43.467787","3","Street Address - Automatic","7143 W 48th St, Fremont MI 49412 US","7143 W 48th St","","Fremont","MI","49412","US","13487.430419558","13.487430419558","8.38070082471728","0","13487.430419558","9.49223450571299","533482","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22521","","-31346"
"8","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","LITTLE CAESARS PIZZA - FREMONT","9","8","Route Stop","06:54:58","06:54:58","","0","23.7302366863905","26.3574556213018","","15167","","","","","False","","","False","","","No Priority","0","0","0","","7153 W 48TH, FREMONT MI 49412 US","7153 W 48TH","","FREMONT","MI","49412","US","-85.978238","43.467818","3","Street Address - Automatic","7153 W 48th St, Fremont MI 49412 US","7153 W 48th St","","Fremont","MI","49412","US","79.7788147923429","0.0797788147923429","0.0495722578820958","0","79.7788147923429","0.0930905733257532","804793","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22522","","-31347"
"9","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","ED'S ORCHARD MARKET","10","9","Route Stop","07:07:14","07:07:14","","0","330.870355029586","348.731183431953","","11347","","","","","False","","","False","","","No Priority","0","0","0","","75 W. MICHIGAN AVE, HESPERIA MI 49421 US","75 W. MICHIGAN AVE","","HESPERIA","MI","49421","US","-86.040664","43.572109","3","Street Address - Automatic","75 W Michigan Ave, Hesperia MI 49421 US","75 W Michigan Ave","","Hesperia","MI","49421","US","16592.5144201163","16.5925144201163","10.310110596245","0","16592.5144201163","12.2765358071774","531934","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22519","","-31348"
"10","Grand Rapids Reroute Init","10Rts 8010","FreqOpt_Week1_Monday","","","ANGELO & RICARDOS","11","10","Route Stop","07:07:36","07:07:36","","0","46.3768047337278","94.2078106508875","","7188","","","","","False","","","False","","","No Priority","0","0","0","","161 N. DIVISION ST., HESPERIA MI 49421 US","161 N. DIVISION ST.","","HESPERIA","MI","49421","US","-86.040035","43.571079","3","Street Address - Automatic","161 N Division St, Hesperia MI 49421 US","161 N Division St","","Hesperia","MI","49421","US","144.980824507589","0.144980824507589","0.0900869089012702","0","144.980824507589","0.365933438763022","527712","00000","MTWRF","51","Rt2","Rt4","0","","","6/22/2022 4:32:01 PM","6/22/2022 4:32:01 PM","","2022/06/22 16:33","-76","-731","-22517","","-31349"
