""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"1549"	"99033.0"	"3039.0"	"Week1"	"8040"	"M"	"1.0"	"CHARTWELLS-MUSK MS"	"1150AMITY, MUSKEGON MI 49441 US,   US"	"-86.216171"	"43.237059"
"1550"	"99033.0"	"30405.0"	"Week1"	"8040"	"M"	"2.0"	"CHARTWELLS-OAKVIEW"	"1420 MADISON, MUSKEGON MI 49442 US,   US"	"-86.219041"	"43.22682"
"1551"	"99033.0"	"30406.0"	"Week1"	"8040"	"M"	"3.0"	"CHARTWELLS-MOON"	"1458 5TH STREET, MUSKEGON MI 49441 US,   US"	"-86.24824273"	"43.22589803"
"1552"	""	""	"Week2"	"8040"	"M"	"3.0"	"SEABROOK RESOURCES INC"	"1869 LINDBERG, MUSKEGON MI 49441 US,   US"	"-86.290008"	"43.204276"
"1553"	"99033.0"	"30402.0"	"Week1"	"8040"	"M"	"4.0"	"CHARTWELLS (MUSKEGON H.S.)"	"80 W. SOUTHERN, MUSKEGON MI 49441 US,   US"	"-86.2462"	"43.22471"
"1554"	"803071.0"	"0.0"	"Week1"	"8040"	"M"	"5.0"	"GETTY STREET GRILL"	"1572 GETTY, MUSKEGON MI 49442 US,   US"	"-86.224169"	"43.223569"
"1555"	"882351.0"	"2350.0"	"Week1"	"8040"	"M"	"7.0"	"MUSKEGON COMMUNITY COLLEGE"	"981 THIRD ST, MUSKEGON MI 49440 US,   US"	"-86.252688"	"43.234642"
"1556"	"804666.0"	"0.0"	"Week1"	"8040"	"M"	"8.0"	"GUNTER ACCOUNTING"	"880 JEFFERSON SUITE A, MUSKEGON MI 49440 US,   US"	"-86.2479677"	"43.2366578"
"1557"	"882664.0"	"6194.0"	"Week1"	"8040"	"M"	"9.0"	"SYTSEMA FUNERAL HOME"	"737 APPLE AVENUE, MUSKEGON MI 49442-3696 US,   US"	"-86.225577"	"43.233841"
"1558"	"804701.0"	"0.0"	"Week1"	"8040"	"M"	"10.0"	"CAMPBELL'S AUTO & 24 HR TOWING"	"796 E APPLE AVE, MUSKEGON MI 49442 US,   US"	"-86.224502"	"43.234388"
"1559"	"804390.0"	"0.0"	"Week1"	"8040"	"M"	"11.0"	"GINMAN TIRE"	"665 WEST CLAY AVE, MUSKEGON MI 49440 US,   US"	"-86.259481"	"43.229748"
"1560"	"804370.0"	"0.0"	"Week1"	"8040"	"M"	"12.0"	"RELIABLE TOWING INC"	"1288 9TH STREET, MUSKEGON MI 49440 US,   US"	"-86.259286"	"43.229423"
"1561"	"804747.0"	"0.0"	"Week1"	"8040"	"M"	"13.0"	"US31 BBQ"	"151 W. MUSKEGON, MUSKEGON MI 49440 US,   US"	"-86.247267"	"43.234914"
