""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"238"	"99084"	"1"	"W1"	"56"	"T"	"1"	"BURNIPS EQUIPMENT CO"	"7353 STATE RD, COOPERSVILLE MI 49404 US"	"-85.970371"	"43.065282"
"239"	"99031"	"55"	"W1"	"56"	"T"	"3"	"BLARNEY CASTLE 728"	"11956 CLEVELAND, NUNICA MI 49448 US"	"-86.085317"	"43.073708"
"240"	"513087"	"0"	"W1"	"56"	"T"	"2"	"TURKS INN INC."	"11139 CLEVELAND ROAD, NUNICA MI 49448 US"	"-86.065572"	"43.074696"
"278"	"803781"	"0"	"W1"	"56"	"M"	"18"	"TODD HUNT, DDS"	"3579 HENRY STREET, MUSKEGON MI 49441 US"	"-86.265294"	"43.189615"
"279"	"883712"	"3712"	"W1"	"56"	"M"	"17"	"DOMINO'S PIZZA-HENRY STREET"	"3275 HENRY ST., MUSKEGON MI 49441 US"	"-86.264001"	"43.192947"
"280"	"806013"	"0"	"W1"	"56"	"M"	"16"	"MICHIGAN INSURANCE GROUP"	"3271 HENRY ST, MUSKEGON MI 49441 US"	"-86.26401"	"43.193069"
"281"	"803840"	"0"	"W1"	"56"	"M"	"19"	"PARK PLACE OF ROOSEVELT PARK"	"950 W NORTON, MUSKEGON MI 49441 US"	"-86.266861"	"43.191476"
"282"	"886085"	"6091"	"W1"	"56"	"M"	"22"	"GOODWILL ROOSEVELT PARK #242"	"950 W. NORTON, MUSKEGON MI 49441 US"	"-86.266861"	"43.191476"
"283"	"99051"	"41"	"W1"	"56"	"M"	"21"	"JET'S PIZZA MI-139"	"950 W NORTON AVE, MUSKEGON MI 49441 US"	"-86.266861"	"43.191476"
"284"	"803841"	"0"	"W1"	"56"	"M"	"20"	"PARK PLACE CONDOMINIUMS"	"950 W. NORTON, MUSKEGON MI 49441 US"	"-86.266861"	"43.191476"
"285"	"887717"	"4616"	"W1"	"56"	"M"	"11"	"MR SCRIB'S #2"	"3044 HENRY, MUSKEGON MI 49441-4016 US"	"-86.262761"	"43.197358"
"286"	"802605"	"0"	"W1"	"56"	"M"	"10"	"TAN & TONE FINISHING TOUCH"	"865 W. SUMMIT, MUSKEGON MI 49441 US"	"-86.264999"	"43.19743"
"287"	"804797"	"0"	"W1"	"56"	"M"	"9"	"LITTLE CAESARS PIZZA - HENRY"	"2958 HENRY, MUSKEGON MI 49441 US"	"-86.262777"	"43.198854"
"288"	"803856"	"0"	"W1"	"56"	"M"	"12"	"PIZZA & SUB SHOP PELLET ENT."	"733 W SUMMIT, MUSKEGON MI 49441 US"	"-86.261758"	"43.197854"
"289"	"804578"	"0"	"W1"	"56"	"M"	"15"	"MR. B'S BRUNCH HOUSE"	"3065 HENRY, MUSKEGON MI 49441 US"	"-86.263884"	"43.196453"
"290"	"803870"	"0"	"W1"	"56"	"M"	"14"	"HEALTH HUTT, DBA NATURAL HEALT"	"3112 HENRY ST, MUSKEGON MI 49441 US"	"-86.26279"	"43.195809"
"291"	"803875"	"0"	"W1"	"56"	"M"	"13"	"SHORELINE STAFFING"	"3036 SHEFFIELD, SUITE C, MUSKEGON MI 49441 US"	"-86.261453"	"43.197138"
"292"	"803580"	"0"	"W1"	"56"	"M"	"23"	"THE REEF"	"525 W. NORTON, MUSKEGON MI 49444 US"	"-86.258057"	"43.19047"
"293"	"803800"	"0"	"W1"	"56"	"M"	"30"	"SHORELINE NEPHROLOGY"	"557 SEMINOLE, NORTON SHORES MI 49444 US"	"-86.257777"	"43.186965"
"295"	"803810"	"0"	"W1"	"56"	"M"	"29"	"LIFE CIRCLES"	"560 SEMINOLE RD., MUSKEGON MI 49441 US"	"-86.25977327"	"43.18710033"
"296"	"803802"	"0"	"W1"	"56"	"M"	"31"	"EVOLVE HAIR SALON & SPA LLC"	"255 SEMINOLE, MUSKEGON MI 49444 US"	"-86.250601"	"43.188853"
"297"	"884654"	"4653"	"W1"	"56"	"M"	"32"	"HACKLEY COMMUNITY CARE CENTER"	"255 SEMINOLE, MUSKEGON MI 49441 US"	"-86.250601"	"43.188853"
"299"	"99031"	"31"	"W1"	"56"	"M"	"26"	"BLARNEY CASTLE 720"	"3416 HENRY ST, MUSKEGON MI 49441 US"	"-86.263052"	"43.190556"
"300"	"809442"	"0"	"W1"	"56"	"M"	"25"	"HEARTHSTONE RESTAURANT"	"3350 GLADE, MUSKEGON MI 49444 US"	"-86.259375"	"43.191741"
"301"	"803570"	"0"	"W1"	"56"	"M"	"24"	"NEXT I.T. 4 R'S PROPERTY MGMT"	"423 W. NORTON, MUSKEGON HTS. MI 49444 US"	"-86.25566"	"43.19023"
"303"	"803801"	"0"	"W1"	"56"	"M"	"28"	"NORTON SHORES DENTAL PROPERTY"	"755 SEMINOLE RD., MUSKEGON MI 49441 US"	"-86.262203"	"43.186461"
"305"	"531541"	"0"	"W1"	"56"	"M"	"27"	"LEXES OBSTETRICS & GYNECOLOGY"	"953 SEMINOLE ROAD, MUSKEGON MI 49441 US"	"-86.267424"	"43.186877"
"306"	"804425"	"0"	"W1"	"56"	"T"	"10"	"FRUITPORT ANIMAL HOSPITAL"	"3692 PONTALUNA ROAD, FRUITPORT MI 49415 US"	"-86.15352"	"43.1324667"
"307"	"806200"	"0"	"W1"	"56"	"T"	"9"	"VILLAGE INN"	"340 N THIRD, FRUITPORT MI 49415 US"	"-86.154841"	"43.130512"
"312"	"804431"	"0"	"W1"	"56"	"T"	"11"	"ORCHARD MARKET - FRUITPORT"	"6530 AIRLINE ROAD, FRUITPORT MI 49415 US"	"-86.153923"	"43.133332"
"313"	"531485"	"4"	"W1"	"56"	"T"	"5"	"TED'S"	"14977 CLEVELAND STREET, SPRING LAKE MI 49546 US"	"-86.160496"	"43.074788"
"315"	"807701"	"0"	"W1"	"56"	"T"	"4"	"FALCON CORPORATION"	"14510 CLEVELAND (M104), SPRING LAKE MI 49456 US"	"-86.14857"	"43.073267"
"316"	"804442"	"0"	"W1"	"56"	"T"	"6"	"ORCHARD MARKET - SPRING LAKE"	"17026 LLOYDS BAYOU DRIVE, SPRING LAKE MI 49456 US"	"-86.172333"	"43.077615"
"317"	"804450"	"0"	"W1"	"56"	"T"	"8"	"FUR CRAZY PET SALON"	"19130 N FRUITPORT RD, SPRING LAKE MI 49456 US"	"-86.1565042"	"43.1160807"
"318"	"804449"	"0"	"W1"	"56"	"T"	"7"	"THE GLEASON CENTER"	"19084 FRUITPORT RD, SPRING LAKE MI 49456 US"	"-86.157381"	"43.115543"
"320"	"99117"	"32"	"W1"	"56"	"T"	"12"	"WESCO #21"	"6440 AIRLINE RD, FRUITPORT MI 49415 US"	"-86.154875"	"43.134829"
"321"	"804626"	"0"	"W1"	"56"	"M"	"4"	"SHORELINE INSURANCE AGENCY"	"875 W. BROADWAY AVE, MUSKEGON MI 49441 US"	"-86.265317"	"43.200951"
"322"	"888998"	"8998"	"W1"	"56"	"M"	"3"	"KAYDON CORP, PLANT 1"	"2860 ESTES, MUSKEGON MI 49441 US"	"-86.29179"	"43.1999367"
"323"	"802452"	"0"	"W1"	"56"	"M"	"2"	"GLENPARK ANIMAL HOSPITAL"	"1550 W SHERMAN, MUSKEGON MI 49441 US"	"-86.282023"	"43.205851"
"324"	"802453"	"0"	"W1"	"56"	"M"	"5"	"NEXES REALTY, INC."	"880 W. BROADWAY, MUSKEGON MI 49441 US"	"-86.26512"	"43.201442"
"325"	"808051"	"0"	"W1"	"56"	"M"	"8"	"LOMBARDO'S PIZZERIA"	"1697 W SHERMAN, MUSKEGON MI 49441 US"	"-86.285344"	"43.205456"
"326"	"882664"	"2664"	"W1"	"56"	"M"	"7"	"SYTSEMA FUNERAL HOME, WALBURN"	"1547 W SHERMAN, MUSKEGON MI 49441-3542 US"	"-86.282152"	"43.204938"
"327"	"803917"	"0"	"W1"	"56"	"M"	"6"	"THE STATION GRILL"	"910 W BROADWAY, MUSKEGON MI 49441 US"	"-86.266121"	"43.20163"
"328"	"533206"	"0"	"W1"	"56"	"T"	"15"	"APOLLO TOOL & ENGINEERING"	"3020 WILSON DR. NW, GRAND RAPIDS MI 49534 US"	"-85.781146"	"43.021241"
"329"	"806559"	"0"	"W1"	"56"	"T"	"14"	"SHORELINE SALES GARY'S AUTO BO"	"3700 FARR RD, FRUITPORT MI 49415 US"	"-86.1534774"	"43.1395787"
"330"	"99117"	"31"	"W1"	"56"	"T"	"13"	"WESCO #5"	"6419 AIRLINE HWY, FRUITPORT MI 49415 US"	"-86.155952"	"43.135348"
"331"	"532078"	"0"	"W1"	"56"	"T"	"16"	"IRONWOOD BAR & GRILL"	"2501 WILSON DR. NW, WALKER MI 49534 US"	"-85.77815014"	"43.01613946"
"332"	"99117"	"18"	"W1"	"56"	"M"	"1"	"WESCO #3"	"1385 W. SHERMAN, MUSKEGON MI 49441 US"	"-86.277839"	"43.205211"
"333"	"532726"	"0"	"W1"	"56"	"T"	"17"	"FREDRICKSON SUPPLY"	"3901 3 MILE RD NW, GRAND RAPIDS MI 49534 US"	"-85.765533"	"43.016319"
"904"	"512548"	"0"	"W1"	"56"	"F"	"11"	"AUTOMATIC SPRING PRO"	"803 TAYLOR AVE., GRAND HAVEN MI 49417 US"	"-86.222429"	"43.052462"
"912"	"512583"	"0"	"W1"	"56"	"F"	"12"	"TRI CITIES CREDIT UN"	"905 PENNOYER, GRAND HAVEN MI 49417 US"	"-86.220368"	"43.059373"
"923"	"99054"	"44"	"W1"	"56"	"F"	"9"	"CHARTER COMMUNICATIONS"	"315 DAVIS STREET, GRAND HAVEN MI 48417 US"	"-86.222733"	"43.057519"
"931"	"99045"	"27"	"W1"	"56"	"F"	"10"	"CONSUMERS CREDIT UNION"	"901 SOUTH BEACON BLVD, GRAND HAVEN MI 49417 US"	"-86.2210052"	"43.0527067"
"934"	"529558"	"0"	"W1"	"56"	"F"	"14"	"STANZ CAFE"	"1118 WASHINGTON AVE, GRAND HAVEN MI 49417 US"	"-86.214809"	"43.060727"
"939"	"807616"	"0"	"W1"	"56"	"F"	"15"	"BODHI TREE JUICE CO. LLC"	"1115 WASHINGTON, GRAND HAVEN MI 49417 US"	"-86.214904"	"43.061191"
