"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","WESCO #53","2","1","Route Stop","07:55:53","08:04:03","","8.17","61.83402367","63.05674556","","14198","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","241 N STATE ST, SHELBY MI 49455 US","241 N STATE ST","","SHELBY","MI","49455","US","-86.360398","43.61307","24","Lat/Lon - Automatic","","","","","","","","100400.288719936","100.400288719936","62.3858478822531","100400.288719936","0","55.8849409959406","99117","62","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-66","","-2"
"2","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","SPT CHERRY HILL MKT","3","2","Route Stop","08:04:39","08:17:27","","12.8","65.14532544","107.6977515","","6621","","","","Week1M","True","08:00","17:00","False","","","Highest Priority","0","0","0","","424 NORTH STATE STRE, SHELBY MI 49455 US","424 NORTH STATE STRE","","SHELBY","MI","49455","US","-86.357494","43.616532","24","Lat/Lon - Automatic","","","","","","","","466.709576747657","0.466709576747657","0.289999889755184","0","466.709576747657","0.609510173344752","501498","0","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-93","","-3"
"3","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","NORTHWEST MI HEALTH SVC-SHELBY","4","3","Route Stop","08:18:42","08:24:32","","5.84","192.8862722","321.827574","","11307","","","","Week1M","True","08:00","17:00","False","","","Highest Priority","0","0","0","","115 S. STATE ST, SHELBY MI 49455 US","115 S. STATE ST","","SHELBY","MI","49455","US","-86.3640249","43.60850606","24","Lat/Lon - Automatic","","","","","","","","1042.77812584629","1.04277812584629","0.64795229539086","0","1042.77812584629","1.24476047518414","99077","0","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-48","","-4"
"4","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","LAKESHORE MEDICAL-SHELBY","5","4","Route Stop","08:24:58","08:28:10","","3.2","35","35","","6837","","","","Week1M","True","08:00","17:00","False","","","Highest Priority","0","0","0","","71 BEVIER ST, SHELBY MI 49455 US","71 BEVIER ST","","SHELBY","MI","49455","US","-86.365623","43.607125","24","Lat/Lon - Automatic","","","","","","","","206.11755004873","0.20611755004873","0.128075509414839","0","206.11755004873","0.422670216554096","521127","0","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-25","","-5"
"5","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","WESCO #17","6","5","Route Stop","08:34:08","08:48:55","","14.78","109.2936095","110.3586982","","14195","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","4667 1ST STREET, NEW ERA MI 49446 US","4667 1ST STREET","","NEW ERA","MI","49446","US","-86.345549","43.559921","24","Lat/Lon - Automatic","","","","","","","","6307.45392845344","6.30745392845344","3.91927021646783","0","6307.45392845344","5.96493030059362","99117","59","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-101","","-6"
"6","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","KING ADULT FOSTER CARE","7","6","Route Stop","08:53:23","08:57:07","","3.74","26.37333333","27.70666667","","15194","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","7212 S MICHIGAN, ROTHBURY MI 49437 US","7212 S MICHIGAN","","ROTHBURY","MI","49437","US","-86.3460667","43.5142817","24","Lat/Lon - Automatic","","","","","","","","5664.80801403744","5.66480801403744","3.51994855345206","0","5664.80801403744","4.4742736996873","806241","0","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-249","","-7"
"7","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","WESCO #51","8","7","Route Stop","08:57:52","09:06:29","","8.61","44.67994505","60.51851648","","14196","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","7588 S MICHIGAN AVE, ROTHBURY MI 49452 US","7588 S MICHIGAN AVE","","ROTHBURY","MI","49452","US","-86.347254","43.507096","24","Lat/Lon - Automatic","","","","","","","","950.430080002683","0.950430080002683","0.590569879327363","0","950.430080002683","0.736695565977172","99117","60","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-69","","-8"
"8","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","GREENSCAPE LAWNS","9","8","Route Stop","09:12:01","09:19:06","","7.08","0","0","","15908","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","9841 US-31 BUS., MONTAGUE MI 49437 US","9841 US-31 BUS.","","MONTAGUE","MI","49437","US","-86.346771","43.437041","24","Lat/Lon - Automatic","","","","","","","","7804.60939467199","7.80460939467199","4.84955950509861","0","7804.60939467199","5.54256242082229","433589","0","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-270","","-9"
"9","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","ADVANCED DIESEL SYSTEMS INC","10","9","Route Stop","09:19:09","09:26:56","","7.78","78.28360947","79.34869822","","15172","","","","Week1M","True","09:00","17:00","False","","","Highest Priority","0","0","0","","9790 US 31, MONTAGUE MI 49437 US","9790 US 31","","MONTAGUE","MI","49437","US","-86.34562","43.436426","24","Lat/Lon - Automatic","","","","","","","","67.6013972130895","0.0676013972130895","0.0420055613079741","0","67.6013972130895","0.0526461532780615","806222","0","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-62","","-10"
"10","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","WEESIES BROS FARM-OFFICE","11","10","Route Stop","09:29:46","09:37:23","","7.61","23.24693878","26.26734694","","15647","","","","Week1M","True","07:00","17:00","False","","","Highest Priority","0","0","0","","10126 WALSH RD, MONTAGUE MI 49437 US","10126 WALSH RD","","MONTAGUE","MI","49437","US","-86.323389","43.439355","24","Lat/Lon - Automatic","","","","","","","","3240.79465989863","3.24079465989863","2.0137364667748","0","3240.79465989863","2.84354274519407","886245","6245","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-274","","-11"
"11","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","WEESIES BROS FARM-GREENHOUSE","12","11","Route Stop","09:37:29","09:42:48","","5.31","21.14693878","24.16734694","","15646","","","","Week1M","True","07:00","17:00","False","","","Highest Priority","0","0","0","","10022 WALSH RD, MONTAGUE MI 49437 US","10022 WALSH RD","","MONTAGUE","MI","49437","US","-86.3252967","43.4389567","24","Lat/Lon - Automatic","","","","","","","","165.246178110683","0.165246178110683","0.102679215988049","0","165.246178110683","0.111409916529112","886244","6244","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-257","","-12"
"12","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","VFW POST 3256","13","12","Route Stop","09:44:12","09:49:24","","5.2","35.2564497","55.3712426","","15175","","","","Week1M","True","09:00","17:00","False","","","Highest Priority","0","0","0","","9370 WALSH RD, MONTAGUE MI 49437 US","9370 WALSH RD","","MONTAGUE","MI","49437","US","-86.3453793","43.428401","24","Lat/Lon - Automatic","","","","","","","","2044.14022204497","2.04414022204497","1.27016986274035","0","2044.14022204497","1.39947433149024","806238","15","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-40","","-13"
"13","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","WESCO #48","14","13","Route Stop","09:50:36","09:57:13","","6.61","55.72632653","56.95081633","","14201","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","8973 WATER ST, MONTAGUE MI 49437 US","8973 WATER ST","","MONTAGUE","MI","49437","US","-86.352692","43.421773","24","Lat/Lon - Automatic","","","","","","","","984.835646004154","0.984835646004154","0.611948507160376","0","984.835646004154","1.1927441943871","99117","25","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-268","","-14"
"14","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","MONTAGUE SCHOOLS","15","14","Route Stop","10:00:01","10:06:57","","6.93","25.95360947","27.01869822","","15186","","","","Week1M","True","07:00","17:00","False","","","Highest Priority","0","0","0","","4855 EILERS RD, MONTAGUE MI 49437 US","4855 EILERS RD","","MONTAGUE","MI","49437","US","-86.3624455","43.4291475","24","Lat/Lon - Automatic","","","","","","","","1601.1436205826","1.6011436205826","0.994904532893755","0","1601.1436205826","2.81449888500839","808244","0","","56","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-53","","-15"
"15","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","OLD CHANNEL INN","16","15","Route Stop","10:15:21","10:25:21","","10","48.67833333","109.5483333","","15661","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","6905 N. OLD CHANNEL TRAIL, MONTAGUE MI 49437 US","6905 N. OLD CHANNEL TRAIL","","MONTAGUE","MI","49437","US","-86.427414","43.385106","24","Lat/Lon - Automatic","","","","","","","","10620.2871396238","10.6202871396238","6.59914056429261","0","10620.2871396238","8.40104568363913","808270","0","","8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-269","","-16"
"16","Test 8040 Solution Cuatro","4WEEKS_Rt 8010","8010_W1_Wednesday","","","JIMMY'S PUB- JCA ENTERPRISES","17","16","Route Stop","10:34:26","10:43:37","","9.18","18.46863905","29.49443787","","15178","","","","Week1M","True","08:00","23:00","False","","","Highest Priority","0","0","0","","8720 FERRY, MONTAGUE MI 49437 US","8720 FERRY","","MONTAGUE","MI","49437","US","-86.35528","43.416948","24","Lat/Lon - Automatic","","","","","","","","10050.4382656931","10.0504382656931","6.24505288567964","0","10050.4382656931","9.07963676057258","806267","0","","8010","Rt 8010","Rt 8010","0","","","8/4/2022 5:08:54 PM","8/4/2022 5:08:54 PM","2022/08/09 23:09","2022/08/09 23:09","-1","-1","-71","","-17"
