"cu_id"	"Account"	"Customer"	"New Delivery Day"	"Alliant Sequence"	"Customer Name"	"Address"	"X_Longitude"	"Y_Latitude"
"10"	"626"	"00000"	"M"	""	"B.M. WALTON INC."	"3235 WEST WALTON BLV, WATERFORD MI 48328 US"	"-83.35292"	"42.68863"
"10141"	"31151"	"00000"	"T"	""	"DRUMMOND PRESS"	"143 NORTHPOINTE DRIVE, LAKE ORION MI 48359 US"	"-83.239294"	"42.71461"
"10163"	"31169"	"00000"	"F"	""	"SHEILA'S BAKERY"	"800 N PERRY STREET, PONTIAC MI 48342 US"	"-83.278695"	"42.654259"
"10179F"	"31183"	"00000"	"F"	""	"5TH TAVERN"	"2262 S TELEGRAPH RD, BLOOMFIELD HILLS MI 48302 US"	"-83.29714"	"42.605905"
"10179T"	"31183"	"00000"	"T"	""	"5TH TAVERN"	"2262 S TELEGRAPH RD, BLOOMFIELD HILLS MI 48302 US"	"-83.29714"	"42.605905"
"10240"	"31237"	"00000"	"M"	""	"SILVER LAKE GOLF CLUB"	"2602 W WALTON BLVD, WATERFORD MI 48329 US"	"-83.335113"	"42.684397"
"1025"	"26759"	"00000"	"M"	""	"GREEN APPLE RESTAURANT        "	"4780 DIXIE HWY, WATERFORD MI 48329 US"	"-83.383782"	"42.689019"
"10284"	"31278"	"00000"	"T"	""	"DERMATOLOGY CENTER OF LAKE ORI"	"1261 S LAPEER, LAKE ORION MI 48360 US"	"-83.241263"	"42.763331"
"10360"	"29076"	"00008"	"R"	""	"AUBURN HILLS-FIELDSTONE GC"	"1984 TAYLOR, AUBURN HILLS MI 48326 US"	"-83.25625"	"42.688149"
"1039"	"99048"	"00017"	"R"	""	"OLGA'S 605 AUBURN SQUARE"	"2580 N SQUIRREL RD, AUBURN HILLS MI 48326 US"	"-83.219942"	"42.680022"
"10679"	"31577"	"00000"	"T"	""	"WOODCHIPS EXPRESS"	"40 N. WASHINGTON STREET, OXFORD MI 48371 US"	"-83.265487"	"42.825862"
"10952"	"99033"	"00083"	"W"	""	"CONTINENTAL NORTH 21713"	"1 CONTINENTAL DR, AUBURN HILLS MI 48326 US"	"-83.280347"	"42.702544"
"11021"	"99033"	"00116"	"R"	""	"OAKLAND UNIV CATERING 11734"	"312 MEADOWBROOK RD, ROCHESTER MI 48309 US"	"-83.216648"	"42.674294"
"11022"	"99033"	"00117"	"R"	""	"OAKLAND UNIV VANDENBURG 11734"	"502 MEADOWBROOK RD, ROCHESTER MI 48309 US"	"-83.2180206190257"	"42.6774872472412"
"11023"	"99033"	"00118"	"R"	""	"OAKLAND UNIV CENTER 11734"	"312 MEADOWBROOK RD, ROCHESTER MI 48309 US"	"-83.216648"	"42.674294"
"11124"	"31780"	"00000"	"R"	""	"ALTADONA CONEY ISLAND"	"1035 N. PERRY STREET, PONTIAC MI 48340 US"	"-83.272984"	"42.659819"
"11205"	"31916"	"00000"	"F"	""	"TROPICAL SMOOTHIE CAFE"	"2510 S TELEGRAPH RD, BLOOMFIELD HILLS MI 48302 US"	"-83.290616"	"42.602445"
"11312"	"31906"	"00000"	"F"	""	"CHINA JADE"	"1070 W. HURON, WATERFORD MI 48328 US"	"-83.332245"	"42.635459"
"11319"	"31912"	"00000"	"M"	""	"DEB'S CLASSIC CONEY"	"6678 DIXIE HWY SUITE 101, CLARKSTON MI 48346 US"	"-83.416346"	"42.719386"
"11623"	"99033"	"00144"	"R"	""	"NOTRE DAME PREP SCHOOL 40009"	"1300 GIDDINGS ROAD, PONTIAC MI 48340 US"	"-83.258237"	"42.673535"
"11666"	"32152"	"00000"	"W"	""	"CLARKSON IMAGING CENTER"	"7210 N. MAIN STREET SUITE 211, CLARKSTON MI 48346 "	"-83.418385"	"42.743427"
"11719"	"32183"	"00000"	"F"	""	"MARVIN TAYLOR DDS"	"1101 W. HURON STREET, WATERFORD MI 48302 US"	"-83.333649"	"42.634655"
"1217"	"99051"	"00024"	"T"	""	"JET'S PIZZA MI-050 (BLK)"	"204 S WASHINGTON, OXFORD MI 48371 US"	"-83.257072"	"42.818095"
"12272"	"22640"	"00001"	"M"	""	"REMAX ENCORE                  "	"5811 SOUTH MAIN ST, CLARKSTON MI 48436 US"	"-83.419523"	"42.722495"
"12454"	"99121"	"00000"	"T"	""	"G'S PIZZERIA"	"2775 S. LAPEER ROAD, LAKE ORION MI 48360 US"	"-83.244687"	"42.741009"
"12473"	"29076"	"00010"	"R"	""	"AUBURN HILLS-FIRE STATION 3"	"3253 JOSLYN, AUBURN HILLS MI 48326 US"	"-83.279825"	"42.689582"
"1271"	"99048"	"00022"	"F"	""	"OLGA'S 600 BLOOMFIELD"	"2075 TELEGRAPH RD, BLOOMFIELD TWNSHP MI 48302 US"	"-83.299828"	"42.608948"
"12718"	"99033"	"00219"	"R"	""	"OAKLAND UNIV DINING 2 42533"	"273 GRIZZLY LANE, ROCHESTER MI 48309 US"	"-83.212367"	"42.670334"
"12808"	"32781"	"00000"	"W"	""	"COMPLETE AUTOMATION"	"1776 W. CLARKSTON, LAKE ORION MI 48362 US"	"-83.2809263634481"	"42.7662851358101"
"12898M"	"99033"	"00229"	"M"	""	"CANTERBURY ON THE LAKE"	"5601 HATCHERY ROAD, WATERFORD MI 48329 US"	"-83.399734"	"42.673667"
"12898W"	"99033"	"00229"	"W"	""	"CANTERBURY ON THE LAKE"	"5601 HATCHERY ROAD, WATERFORD MI 48329 US"	"-83.399734"	"42.673667"
"1313"	"28073"	"00000"	"F"	""	"THOMPSON OIL CO.              "	"95 W PIKE STREET, PONTIAC MI 48341 US"	"-83.295139"	"42.635514"
"13340"	"99051"	"00062"	"R"	""	"JETS PIZZA-AUB HILLS 32 (BLK)"	"3429 FIVE POINTS, AUBURN HILLS MI 48326 US"	"-83.222712"	"42.678054"
"13950"	"32992"	"00000"	"F"	""	"SHARPERTEK"	"486 S OPDYKE RD, PONTIAC MI 48341 US"	"-83.250948"	"42.624942"
"14039"	"99033"	"00244"	"R"	""	"EUREST AT GUARDIAN 50591"	"2300 HARMON ROAD, AUBURN HILLS MI 48326 US"	"-83.249242"	"42.698999"
"14073"	"99112"	"00001"	"F"	""	"INTIMATE IDEAS-WATERFORD"	"3101 W. HURON STREET, WATERFORD MI 48328 US"	"-83.348842"	"42.636973"
"14102"	"433067"	"00001"	"W"	""	"CMF CLARKSTON 2"	"1776 W. CLARKSTON #2, LAKE ORION MI 48362 US"	"-83.2809263634481"	"42.7662851358101"
"14103"	"433067"	"00002"	"W"	""	"CMF INDIANWOOD RD"	"2910 INDIANWOOD RD, LAKE ORION MI 48362 US"	"-83.3058787"	"42.78677"
"1419"	"28452"	"00000"	"F"	""	"CITYSCAPE DELI                "	"877 W LONG LAKE RD, BLOOMFIELD HILLS MI 48302 US"	"-83.279289"	"42.580978"
"14192"	"33104"	"00000"	"T"	""	"ANITA'S KITCHEN"	"45 W. FLINT STREET, LAKE ORION MI 48362 US"	"-83.240597"	"42.78449"
"14307"	"33151"	"00000"	"T"	""	"LEGGERA TECHNOLOGIES"	"87 NORTHPOINT DRIVE, LAKE ORION MI 48359 US"	"-83.239986"	"42.71444"
"14381"	"33199"	"00000"	"W"	""	"DR. GARY M. FITENY, D.D.S. P.C"	"5635 SASHABAW ROAD, CLARKSTON MI 48346 US"	"-83.379996"	"42.722028"
"14516"	"33241"	"00000"	"T"	""	"CULVERS LAKE ORION"	"4963 INERPARK DR. NORTH, LAKE ORION MI 48359 US"	"-83.241625"	"42.709552"
