"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","TURRIS ITALIAN FOOD","2","1","Route Stop","06:34:56","06:59:01","","24.08148148","0","363.314021237304","","730M","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","16695 COMMON RD, ROSEVILLE MI 48066 US","16695 COMMON RD","","ROSEVILLE","MI","48066","US","-82.949375","42.517461","3","Street Address - Automatic","16695 Common Rd, Roseville MI 48066 US","16695 Common Rd","","Roseville","MI","48066","US","50425.10345692","50.42510345692","31.3327070451505","50425.10345692","0","34.9470339305699","24873","00000","Rt 8","Rt 8","8","","8","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34399","","-51637"
"2","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","HIGH GRADE MATERIALS-PT HURON","3","2","Route Stop","07:43:35","07:44:26","","0.858333333333333","73.0727810650887","96.176449704142","","13735","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","5288 LAPEER RD, KIMBALL MI 48074 US","5288 LAPEER RD","","KIMBALL","MI","48074","US","-82.535522","42.987183","3","Street Address - Automatic","5288 Lapeer Rd, Kimball MI 48074 US","5288 Lapeer Rd","","Kimball","MI","48074","US","75355.5390553401","75.35553905534","46.8237617294635","0","75355.5390553401","44.5685745999217","32978","00000","Rt 8","Rt 8","8","","7","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34375","","-51638"
"3","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","LAKE HURON WOODS","4","3","Route Stop","07:57:56","08:03:29","","5.54166666666667","214.820414201183","216.418047337278","","9277","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","5221 LAKE SHORE RD, FORT GRATIOT MI 48059 US","5221 LAKE SHORE RD","","FORT GRATIOT","MI","48059","US","-82.463265","43.059848","3","Street Address - Automatic","5221 Lakeshore Rd, Fort Gratiot MI 48059 US","5221 Lakeshore Rd","","Fort Gratiot","MI","48059","US","14623.6524473383","14.6236524473383","9.08671646958555","0","14623.6524473383","13.4877820573747","99115","00004","Rt 8","Rt 8","8","","7","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34378","","-51639"
"4","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","THE RIVER GARAGE","5","4","Route Stop","08:15:24","08:23:42","","8.3","44.5636686390532","60.7686390532544","","14236","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","17 17TH STREET, PORT HURON MI 48060 US","17 17TH STREET","","PORT HURON","MI","48060","US","-82.443751","42.983422","3","Street Address - Automatic","17 17th St, Port Huron MI 48060 US","17 17th St","","Port Huron","MI","48060","US","10080.7204504269","10.0807204504269","6.26386936314627","0","10080.7204504269","11.9244514312595","33111","00000","Rt 8","Rt 8","8","","7","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34374","","-51640"
"5","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","SAV-A-LOT","6","5","Route Stop","08:27:18","08:29:07","","1.81041666666667","34.9472781065089","35.1773372781065","","1057","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","657 24TH STREET, PORT HURON MI 48064 US","657 24TH STREET","","PORT HURON","MI","48064","US","-82.455419","42.975802","3","Street Address - Automatic","657 24th St, Port Huron MI 48060 US","657 24th St","","Port Huron","MI","48060","US","1818.39320166172","1.81839320166172","1.12989716578839","0","1818.39320166172","3.60444101318717","99110","00001","Rt 8","Rt 8","8","","7","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34371","","-51641"
"6","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","JOWETT FUNERAL HOME","7","6","Route Stop","08:32:23","08:38:30","","6.12083333333333","28.0210743801653","95.2716528925619","","15831","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","1634 LAPEER AVE, PORT HURON MI 48060 US","1634 LAPEER AVE","","PORT HURON","MI","48060","US","-82.444045","42.9768837","3","Street Address - Automatic","1634 Lapeer Ave, Port Huron MI 48060 US","1634 Lapeer Ave","","Port Huron","MI","48060","US","1290.43213272442","1.29043213272443","0.801837362829535","0","1290.43213272442","3.27501392364502","33525","00000","Rt 8","Rt 8","8","","7","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34376","","-51642"
"7","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","MFIA - ST. CLAIR CO.","8","7","Route Stop","08:42:51","08:53:58","","11.1125","55.7071875","92.8453125","","168","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","220 FORT STREET, PORT HURON MI 48060 US","220 FORT STREET","","PORT HURON","MI","48060","US","-82.421905","42.976653","3","Street Address - Automatic","220 Fort St, Port Huron MI 48060 US","220 Fort St","","Port Huron","MI","48060","US","2320.82778762655","2.32082778762655","1.44209554739086","0","2320.82778762655","4.34137680195272","19344","00000","Rt 8","Rt 8","8","","5","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34496","","-51643"
"8","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","SPERRY MOVIEHOUSE","9","8","Route Stop","08:54:56","09:13:07","","18.1895833333333","325.092485207101","346.010591715976","","11853","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","301 HURON AVE, PORT HURON MI 48060 US","301 HURON AVE","","PORT HURON","MI","48060","US","-82.424844","42.97757","3","Street Address - Automatic","301 Huron Ave, Port Huron MI 48060 US","301 Huron Ave","","Port Huron","MI","48060","US","321.555797793268","0.321555797793268","0.19980551194176","0","321.555797793268","0.971345096826553","32244","00000","Rt 8","Rt 8","8","","7","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34380","","-51644"
"9","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","CITY FLATS HOTEL-PORT HURON","10","9","Route Stop","09:13:51","09:25:19","","11.471875","176.178673469388","680.799897959184","","12752","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","405 WATER STREET, PORT HURON MI 48060 US","405 WATER STREET","","PORT HURON","MI","48060","US","-82.424178","42.975087","3","Street Address - Automatic","405 Water St, Port Huron MI 48060 US","405 Water St","","Port Huron","MI","48060","US","345.861297335829","0.345861297335829","0.214908249359121","0","345.861297335829","0.720207970589399","32244","00001","Rt 8","Rt 8","8","","7","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34379","","-51645"
"10","Livonia Solution B","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","DALIANOS","11","10","Route Stop","09:37:30","09:38:35","","1.08333333333333","74.6110204081633","76.5375510204081","","1242","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","3150 GRATIOT, MARYSVILLE MI 48040 US","3150 GRATIOT","","MARYSVILLE","MI","48040","US","-82.496786","42.912369","3","Street Address - Automatic","3150 Gratiot Blvd, Marysville MI 48040 US","3150 Gratiot Blvd","","Marysville","MI","48040","US","10134.5303737221","10.1345303737221","6.29730529975615","0","10134.5303737221","12.1747734602541","27769","00000","Rt 8","Rt 8","8","","5","","","8/15/2022 10:37:12 AM","8/15/2022 10:38:58 AM","","2022/08/15 10:38","-181","-1501","-34495","","-51646"
