""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"108"	"8053.0"	"0.0"	"Week1"	"9.0"	"F"	"1.0"	"FAIRLINE FOOD-MEAT"	"16520 WEST WARREN, DETROIT MI 48228 US"	"-83.207706"	"42.343768"
"109"	"31240.0"	"0.0"	"Week1"	"9.0"	"F"	"2.0"	"PAPAYA FRUIT MARKET"	"16322 W WARREN, DETROIT MI 48228 US"	"-83.205181"	"42.343785"
"110"	"20857.0"	"0.0"	"Week1"	"9.0"	"F"	"3.0"	"AMANA MEAT MARKET"	"15242 WARREN, DEARBORN MI 48126 US"	"-83.193903"	"42.343928"
"111"	"32482.0"	"1.0"	"Week1"	"9.0"	"F"	"4.0"	"AL TAYEB DEARBORN"	"15010 W. WARREN AVENUE, DEARBORN MI 48126 US"	"-83.191284"	"42.343964"
"112"	"29000.0"	"0.0"	"Week1"	"9.0"	"F"	"5.0"	"PAPAYA FRUIT MKT-MEAT DEPT"	"14615 W WARREN, DEARBORN MI 48126 US"	"-83.187142"	"42.343199"
"113"	"29501.0"	"0.0"	"Week2"	"9.0"	"F"	"5.0"	"GIFT WAREHOUSE"	"14411 W WARREN, DEARBORN MI 48126 US"	"-83.184432"	"42.343631"
"114"	"24330.0"	"0.0"	"Week1"	"9.0"	"F"	"6.0"	"SHATILA BAKERY"	"14300 W WARREN, DEARBORN MI 48126 US"	"-83.183207"	"42.344156"
"115"	"28943.0"	"0.0"	"Week1"	"9.0"	"F"	"7.0"	"NEW YASMEEN BAKERY"	"13900 W WARREN, DEARBORN MI 48126 US"	"-83.180819"	"42.344215"
"116"	"28720.0"	"0.0"	"Week1"	"9.0"	"F"	"8.0"	"LE ROI"	"7038 SCHAEFER ROAD, DEARBORN MI 48126 US"	"-83.176406"	"42.342878"
"117"	"26502.0"	"0.0"	"Week1"	"9.0"	"F"	"9.0"	"AL-GHADEER MEAT MARKET"	"6550 SCHAEFER, DEARBORN MI 48126 US"	"-83.176146"	"42.339313"
"118"	"32212.0"	"0.0"	"Week3"	"9.0"	"F"	"9.0"	"BLOSSOMS FRUIT ARRANGEMENTS"	"6914 Schaefer Rd, DEARBORN MI 48126 US"	"-83.176384"	"42.341488"
"119"	"29550.0"	"0.0"	"Week1"	"9.0"	"F"	"10.0"	"HABIBS 2"	"6220 MILLER RD, DEARBORN MI 48126 US"	"-83.166111"	"42.33626"
"120"	"32701.0"	"4.0"	"Week1"	"9.0"	"F"	"11.0"	"DEARBORN-HOUSING TT"	"7000 FREDA ST, DEARBORN MI 48216 US"	"-83.159154"	"42.343092"
"121"	"30606.0"	"0.0"	"Week1"	"9.0"	"F"	"12.0"	"MIKE'S AUTO TECH"	"10001 TIREMAN, DEARBORN MI 48126 US"	"-83.157683"	"42.35141"
"122"	"31135.0"	"0.0"	"Week1"	"9.0"	"F"	"13.0"	"MANDARIN SUPER MART"	"10394 W WARREN, DEARBORN MI 48126 US"	"-83.162276"	"42.3447184"
"123"	"32418.0"	"0.0"	"Week1"	"9.0"	"F"	"14.0"	"THE PRINCE'S BAKERY"	"10622 W. WARREN AVENUE, DEARBORN MI 48126 US"	"-83.165198"	"42.344539"
"124"	"32563.0"	"0.0"	"Week2"	"9.0"	"F"	"14.0"	"UNITED 2 LIQUOR"	"7551 WYOMING, DEARBORN MI 48126 US"	"-83.157777"	"42.347935"
"125"	"31862.0"	"0.0"	"Week1"	"9.0"	"F"	"15.0"	"AL-BASHA"	"10626 W. WARREN AVE, DEARBORN MI 48126 US"	"-83.165367"	"42.344567"
"126"	"28950.0"	"0.0"	"Week1"	"9.0"	"F"	"16.0"	"SALAM FOOD CENTER"	"12922 W WARREN AVE, DEARBORN MI 48126 US"	"-83.17024"	"42.3444"
"127"	"27460.0"	"0.0"	"Week1"	"9.0"	"F"	"17.0"	"BLUE SKY INVESTMENTS GROUP"	"13201 WARREN STE 1, DEARBORN MI 48126 US"	"-83.173434"	"42.343887"
