"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","TURRIS ITALIAN FOOD","2","1","Route Stop","06:33:43","06:57:48","","24.08148148","62.1478106508876","63.947573964497","","730M","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","16695 COMMON RD, ROSEVILLE MI 48066 US","16695 COMMON RD","","ROSEVILLE","MI","48066","US","-82.949375","42.517461","24","Lat/Lon - Automatic","","","","","","","","50425.0996422228","50.4250996422228","31.3327046748076","50425.0996422228","0","33.7238585271918","24873","0","Rt 8","Rt 8","8","","8","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-58","","-2"
"2","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","BBQUICKS","3","2","Route Stop","07:41:29","07:47:26","","5.94666955493513","0","0","","16117","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","5433 LAPEER ROAD, KIMBLE MI 48074 US","5433 LAPEER ROAD","","KIMBLE","MI","48074","US","-82.541211","42.987755","3","Street Address - Automatic","5433 Lapeer Rd, Kimball MI 48074 US","5433 Lapeer Rd","","Kimball","MI","48074","US","73938.9076021135","73.9389076021135","45.9435077434144","0","73938.9076021135","43.69293232222","33656","0","Rt 8","","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-72","","-3"
"3","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","HIGH GRADE MATERIALS-PT HURON","4","3","Route Stop","07:48:05","07:48:56","","0.858333333333333","90.5294674556213","111.452071005917","","13735","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","5288 LAPEER RD, KIMBALL MI 48074 US","5288 LAPEER RD","","KIMBALL","MI","48074","US","-82.535522","42.987183","24","Lat/Lon - Automatic","","","","","","","","472.032776677195","0.472032776677195","0.293307572883241","0","472.032776677195","0.640533394578881","32978","0","Rt 8","Rt 8","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-35","","-4"
"4","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","LAKE HURON WOODS","5","4","Route Stop","08:02:23","08:07:56","","5.54166666666667","217.186686390533","218.928698224852","","9277","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","5221 LAKE SHORE RD, FORT GRATIOT MI 48059 US","5221 LAKE SHORE RD","","FORT GRATIOT","MI","48059","US","-82.463265","43.059848","24","Lat/Lon - Automatic","","","","","","","","14623.6944090082","14.6236944090082","9.08674254335872","0","14623.6944090082","13.4443404674014","99115","4","Rt 8","Rt 8","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-37","","-5"
"5","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","THE RIVER GARAGE","6","5","Route Stop","08:19:36","08:27:54","","8.3","57.3954437869823","60.2091715976331","","14236","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","17 17TH STREET, PORT HURON MI 48060 US","17 17TH STREET","","PORT HURON","MI","48060","US","-82.443751","42.983422","24","Lat/Lon - Automatic","","","","","","","","10080.7700414913","10.0807700414913","6.2639001776055","0","10080.7700414913","11.6783427305805","33111","0","Rt 8","Rt 8","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-34","","-6"
"6","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","SAV-A-LOT","7","6","Route Stop","08:31:35","08:33:24","","1.81041666666667","34.9121301775148","35.2955621301775","","1057","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","657 24TH STREET, PORT HURON MI 48064 US","657 24TH STREET","","PORT HURON","MI","48064","US","-82.455419","42.975802","24","Lat/Lon - Automatic","","","","","","","","1818.36268408361","1.81836268408361","1.12987820304425","0","1818.36268408361","3.68233011991876","99110","1","Rt 8","Rt 8","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-32","","-7"
"7","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","JOWETT FUNERAL HOME","8","7","Route Stop","08:36:52","08:42:59","","6.12083333333333","85.9667455621302","88.1347928994083","","15831","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","1634 LAPEER AVE, PORT HURON MI 48060 US","1634 LAPEER AVE","","PORT HURON","MI","48060","US","-82.444045","42.9768837","24","Lat/Lon - Automatic","","","","","","","","1290.47281013077","1.29047281013077","0.801862638598329","0","1290.47281013077","3.4665000911076","33525","0","Rt 8","Rt 8","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-36","","-8"
"8","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","MFIA - ST. CLAIR CO.","9","8","Route Stop","08:47:54","08:59:01","","11.1125","87.7022222222222","90.8844444444445","","168","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","220 FORT STREET, PORT HURON MI 48060 US","220 FORT STREET","","PORT HURON","MI","48060","US","-82.421905","42.976653","24","Lat/Lon - Automatic","","","","","","","","2320.86465033566","2.32086465033566","1.44211845281665","0","2320.86465033566","4.91450843440725","19344","0","Rt 8","Rt 8","8","","5","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-172","","-9"
"9","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","SPERRY MOVIEHOUSE","10","9","Route Stop","09:00:11","09:18:22","","18.1895833333333","378.490710059172","409.341597633136","","11853","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","301 HURON AVE, PORT HURON MI 48060 US","301 HURON AVE","","PORT HURON","MI","48060","US","-82.424844","42.97757","24","Lat/Lon - Automatic","","","","","","","","321.555797793262","0.321555797793262","0.199805511941757","0","321.555797793262","1.18315394413423","32244","0","Rt 8","Rt 8","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-39","","-10"
"10","Livonia Solution Charlie","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","CITY FLATS HOTEL-PORT HURON","11","10","Route Stop","09:19:26","09:30:54","","11.471875","605.610177514793","1161.44828402367","","12752","","","","Week1M","False","","","False","","","Highest Priority","0","0","0","","405 WATER STREET, PORT HURON MI 48060 US","405 WATER STREET","","PORT HURON","MI","48060","US","-82.424178","42.975087","24","Lat/Lon - Automatic","","","","","","","","345.861297335825","0.345861297335825","0.214908249359118","0","345.861297335825","1.04783229109259","32244","1","Rt 8","Rt 8","8","","7","","","8/23/2022 9:47:20 PM","8/23/2022 9:47:20 PM","2022/08/23 21:47","2022/08/25 13:39","-1","-1","-38","","-11"
