""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"264"	"33330.0"	"0.0"	"Week1"	"34"	"M"	"4.0"	"LITTLE TONYS"	"20513 MACK AVE, GOSSE POINTE WOODS MI 48236 US"	"-82.908024"	"42.440716"
"265"	"31206.0"	"0.0"	"Week1"	"34"	"M"	"5.0"	"BIG BOY"	"20710 MACK AVE, GROSSE POINTE WOODS MI 48236 US"	"-82.906335"	"42.444295"
"266"	"24857.0"	"0.0"	"Week1"	"34"	"M"	"6.0"	"MARCHIORI CATERING"	"21800 MARTER, ST. CLAIR SHORES MI 48080 US"	"-82.888491"	"42.450922"
"267"	"31262.0"	"0.0"	"Week1"	"34"	"M"	"3.0"	"CHAMPS ROTISSERIE"	"20515 MACK AVE, GROSSE POINTE MI 48236 US"	"-82.907999"	"42.440786"
"268"	"33270.0"	"0.0"	"Week1"	"34"	"M"	"1.0"	"NOORJAHAN INDIAN CUISINE"	"20641 MACK AVENUE, GROSSE POINTE WOODS MI 48236 US"	"-82.907538"	"42.442769"
"269"	"99055.0"	"9.0"	"Week1"	"34"	"M"	"2.0"	"JET'S PIZZA MI-017"	"20643 MACK AVE, GROSSE PT WOODS MI 48236 US"	"-82.907539"	"42.442817"
"341"	"99033.0"	"174.0"	"Week1"	"34"	"W"	"25.0"	"PRESS ROOM CAFE #41127"	"615 W. LAFAYETTE BLVD, DETROIT MI 48226 US"	"-83.053811"	"42.32853"
"342"	"99033.0"	"204.0"	"Week1"	"34"	"W"	"26.0"	"EUREST AT DTE HQ #43085"	"660 PLAZA DRIVE, DETROIT MI 48226 US"	"-83.057665"	"42.333745"
"343"	"32923.0"	"0.0"	"Week1"	"34"	"W"	"27.0"	"AEG MI/MASONIC"	"500 TEMPLE STREET, DETROIT MI 48210 US"	"-83.060276"	"42.341712"
"344"	"32700.0"	"0.0"	"Week1"	"34"	"W"	"24.0"	"TOMMY'S DETROIT BAR & GRILL"	"624 THIRD STREET, DETROIT MI 48226 US"	"-83.053673"	"42.327304"
"345"	"99033.0"	"89.0"	"Week1"	"34"	"W"	"21.0"	"MARKETPLACE CAFE #30385"	"1 CAMPUS MARTIUS, DETROIT MI 48226 US"	"-83.046762"	"42.332562"
"346"	"33004.0"	"0.0"	"Week1"	"34"	"W"	"22.0"	"ARROW TRUCKS"	"2637 W FORT STREET, DETROIT MI 48216 US"	"-83.074897"	"42.31853"
"347"	"31211.0"	"0.0"	"Week1"	"34"	"W"	"23.0"	"SIZZORS SALON"	"200 RIVERFRONT DR, DETROIT MI 48226 US"	"-83.055723"	"42.324011"
"348"	"31862.0"	"2.0"	"Week1"	"34"	"W"	"32.0"	"AL-BASHA CAFE"	"5122 ANTHONY WAYNE DRIVE, DETROIT MI 48202 US"	"-83.071556"	"42.356109"
"349"	"33385.0"	"0.0"	"Week1"	"34"	"W"	"33.0"	"JOE LOUIS SOUTHERN KITCHEN"	"6549 WOODWARD AVENUE, DETROIT MI 48202 US"	"-83.073404"	"42.369701"
"350"	""	""	"Week1"	"34"	"W"	""	"Livonia Depot"	"31491 Glendale St, Livonia, MI 48150,  48150 US"	"-83.355225"	"42.376548"
"351"	"33608.0"	"0.0"	"Week1"	"34"	"W"	"31.0"	"THE POTATO PLACE"	"107 W. WARREN AVENUE, DETROIT MI 48201 US"	"-83.065951"	"42.355973"
"352"	"31546.0"	"1.0"	"Week1"	"34"	"W"	"28.0"	"8 DEGREES PLATO DETROIT"	"3409 CASS AVE, DETROIT MI 48201 US"	"-83.060431"	"42.344424"
"353"	"32221.0"	"0.0"	"Week1"	"34"	"W"	"29.0"	"MIDTOWN SHANGRI-LA"	"4710 CASS AVENUE, DETROIT MI 48201 US"	"-83.065284"	"42.354113"
"354"	"24332.0"	"0.0"	"Week1"	"34"	"W"	"30.0"	"OLYMPIC GRILL 2"	"119 W WARREN, DETROIT MI 48201 US"	"-83.066158"	"42.35586"
"355"	"429632.0"	"1.0"	"Week1"	"34"	"W"	"11.0"	"DETROIT BEER EXCHANGE"	"1260 WASHINGTON BOULEVARD, DETROIT MI 48226 US"	"-83.050439"	"42.333323"
"356"	"27964.0"	"0.0"	"Week1"	"34"	"W"	"12.0"	"AMERICAN CONEY ISLAND"	"114 W LAFAYETTE, DETROIT MI 48228 US"	"-83.048644"	"42.331471"
"357"	"99033.0"	"91.0"	"Week1"	"34"	"W"	"13.0"	"CRANES CATERING 30634"	"611 WOODWARD AVE, DETROIT MI 48226 US"	"-83.046847"	"42.330593"
"358"	"33422.0"	"0.0"	"Week1"	"34"	"W"	"10.0"	"DOWNTOWN LOUIE'S"	"30 CLIFFORD ST, DETROIT MI 48226 US"	"-83.050129"	"42.334875"
"359"	"33615.0"	"0.0"	"Week1"	"34"	"W"	"7.0"	"SIREN HOTEL"	"1509 BROADWAY STREET, DETROIT MI 48226 US"	"-83.048624"	"42.335701"
"360"	"33473.0"	"0.0"	"Week1"	"34"	"W"	"8.0"	"WRIGHT & COMPANY"	"1500 WOODWARD AVENUE, DETROIT MI 48226 US"	"-83.048931"	"42.33522"
"361"	"32778.0"	"0.0"	"Week1"	"34"	"W"	"9.0"	"CORNERSTONE BARREL HOUSE"	"1456 WOODWARD AVENUE, DETROIT MI 48226 US"	"-83.049024"	"42.334973"
"362"	"99161.0"	"58.0"	"Week1"	"34"	"W"	"18.0"	"CITY MARKET #4226 FIRST AID"	"575 BRUSH STREET, DETROIT MI 48226 US"	"-83.0420275"	"42.3315871"
