"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","TURRIS ITALIAN FOOD","2","1","Route Stop","06:34:14","06:58:19","","24.08148148","62.1738","68.7138","","730M","","","","","False","","","False","","","Highest Priority","0","0","0","","16695 COMMON RD, ROSEVILLE MI 48066 US","16695 COMMON RD","","ROSEVILLE","MI","48066","US","-82.949375","42.517461","24","Lat/Lon - Automatic","","","","","","","","50425.0424217638","50.4250424217638","31.3326691196623","50425.0424217638","0","34.2478982274906","24873","0","Rt 8","Rt 8","","Rt 8","8","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-69","","-2"
"2","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","SUNRISE #29","3","2","Route Stop","07:48:07","07:49:31","","1.39583333333333","53.2714","53.9286","","11751","","","","","False","","","False","","","Highest Priority","0","0","0","","2700 KINNEY RD, EMMIT MI 48022 US","2700 KINNEY RD","","EMMIT","MI","48022","US","-82.763117","42.976691","5","Street Address - Manual","2700 Kinney Rd, Memphis MI 48041 US","2700 Kinney Rd","","Memphis","MI","48041","US","74960.1308716678","74.9601308716678","46.5780664718853","0","74960.1308716678","49.8027136976174","99082","3","Rt 8","Rt 8","","Rt 8","6","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-176","","-3"
"3","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","HIGH GRADE MATERIALS-PT HURON","4","3","Route Stop","08:02:22","08:03:13","","0.858333333333333","80.7292","125.697","","13735","","","","","False","","","False","","","Highest Priority","0","0","0","","5288 LAPEER RD, KIMBALL MI 48074 US","5288 LAPEER RD","","KIMBALL","MI","48074","US","-82.535522","42.987183","24","Lat/Lon - Automatic","","","","","","","","20941.3113135655","20.9413113135655","13.0123277404838","0","20941.3113135655","12.8506991912822","32978","0","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-35","","-4"
"4","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","LAKE HURON WOODS","5","4","Route Stop","08:17:05","08:22:38","","5.54166666666667","216.9348","234.4928","","9277","","","","","False","","","False","","","Highest Priority","0","0","0","","5221 LAKE SHORE RD, FORT GRATIOT MI 48059 US","5221 LAKE SHORE RD","","FORT GRATIOT","MI","48059","US","-82.463265","43.059848","24","Lat/Lon - Automatic","","","","","","","","14623.4311948969","14.6234311948969","9.08657898969052","0","14623.4311948969","13.8485644552519","99115","4","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-37","","-5"
"5","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","THE RIVER GARAGE","6","5","Route Stop","08:34:41","08:42:59","","8.3","40.8954","106.9946","","14236","","","","","False","","","False","","","Highest Priority","0","0","0","","17 17TH STREET, PORT HURON MI 48060 US","17 17TH STREET","","PORT HURON","MI","48060","US","-82.443751","42.983422","24","Lat/Lon - Automatic","","","","","","","","10080.7395239132","10.0807395239132","6.26388121486137","0","10080.7395239132","12.0602920401259","33111","0","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-34","","-6"
"6","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","SAV-A-LOT","7","6","Route Stop","08:46:28","08:48:17","","1.81041666666667","33.6846","41.1678","","1057","","","","","False","","","False","","","Highest Priority","0","0","0","","657 24TH STREET, PORT HURON MI 48064 US","657 24TH STREET","","PORT HURON","MI","48064","US","-82.455419","42.975802","24","Lat/Lon - Automatic","","","","","","","","1818.4046457535","1.8184046457535","1.12990427681743","0","1818.4046457535","3.49076912913944","99110","1","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-32","","-7"
"7","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","JOWETT FUNERAL HOME","8","7","Route Stop","08:51:40","08:57:47","","6.12083333333333","87.7093","88.4461","","15831","","","","","False","","","False","","","Highest Priority","0","0","0","","1634 LAPEER AVE, PORT HURON MI 48060 US","1634 LAPEER AVE","","PORT HURON","MI","48060","US","-82.444045","42.9768837","24","Lat/Lon - Automatic","","","","","","","","1290.51477180075","1.29051477180075","0.801888712371558","0","1290.51477180075","3.38579085089052","33525","0","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-36","","-8"
"8","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","SPERRY MOVIEHOUSE","9","8","Route Stop","09:01:49","09:20:00","","18.1895833333333","430.7972","431.752","","11853","","","","","False","","","False","","","Highest Priority","0","0","0","","301 HURON AVE, PORT HURON MI 48060 US","301 HURON AVE","","PORT HURON","MI","48060","US","-82.424844","42.97757","24","Lat/Lon - Automatic","","","","","","","","1956.43518647665","1.95643518647665","1.21567247954322","0","1956.43518647665","4.03090503589669","32244","0","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-39","","-9"
"9","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","CITY FLATS HOTEL-PORT HURON","10","9","Route Stop","09:21:06","09:32:34","","11.471875","117.0315","772.9527","","12752","","","","","False","","","False","","","Highest Priority","0","0","0","","405 WATER STREET, PORT HURON MI 48060 US","405 WATER STREET","","PORT HURON","MI","48060","US","-82.424178","42.975087","24","Lat/Lon - Automatic","","","","","","","","345.853657259402","0.345853657259402","0.214903502035663","0","345.853657259402","1.09859163862583","32244","1","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-38","","-10"
"10","Livonia Solution Echo","4WEEKS_Rt 8","FreqOpt_Week1_Monday","","","DEAN TRANSPORTATION-MARYSVILLE","11","10","Route Stop","09:42:44","09:48:41","","5.94666955493513","53.0442","112.5358","","15969","","","","","False","","","False","","","Highest Priority","0","0","0","","1520 BUSHA HWY, MARYSVILLE MI 48040 US","1520 BUSHA HWY","","MARYSVILLE","MI","48040","US","-82.4774604","42.9071172","3","Street Address - Automatic","1520 Busha Hwy, Marysville MI 48040 US","1520 Busha Hwy","","Marysville","MI","48040","US","9232.10151117246","9.23210151117246","5.73656199451904","0","9232.10151117246","10.1490511860302","99169","16","Rt 8","Rt 8","","Rt 8","7","","","12/16/2022 3:31:46 PM","12/16/2022 3:31:46 PM","2023/01/04 17:13","2023/01/04 17:13","-1","-1","-63","","-11"
