""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"3"	"5176.0"	"0.0"	"Week2"	"9.0"	"R"	"37.0"	"JON'S GOODTIME"	"27553 CHERRYHILL, INKSTER MI 48141 US,   US"	"-83.312865"	"42.311402"
"10"	"10184.0"	"0.0"	"Week1"	"9.0"	"M"	"10.0"	"DANNY'S II"	"199 COLE ROAD, MONROE MI 48161 US,   US"	"-83.383392"	"41.936741"
"11"	"10185.0"	"0.0"	"Week1"	"9.0"	"M"	"14.0"	"DANNY'S FINE FOODS"	"1002 WEST ELM AVE, MONROE MI 48161 US,   US"	"-83.408074"	"41.922773"
"20"	"16380.0"	"0.0"	"Week1"	"9.0"	"W"	"33.0"	"AGEMY & SONS SUPERMA"	"14730 CHAMPAIGN, ALLEN PARK MI 48101 US,   US"	"-83.204468"	"42.245959"
"21"	"16521.0"	"0.0"	"Week1"	"9.0"	"W"	"26.0"	"CORDIAL SHOPPE, THE"	"9045 TELEGRAPH, TAYLOR MI 49002 US,   US"	"-83.268936"	"42.24229"
"42"	"18325.0"	"0.0"	"Week1"	"9.0"	"T"	"11.0"	"MIDWEST CARDIOLOGY ASSOCIATES"	"30626 FORD RD, GARDEN CITY MI 48135 US,   US"	"-83.3435368"	"42.3255825"
"99"	"23876.0"	"0.0"	"Week1"	"9.0"	"T"	"3.0"	"DEARBORN OBGYN ASSOCIATES"	"25080 MICHIGAN AVE., DEARBORN MI 48124 US,   US"	"-83.282446"	"42.298366"
"115"	"24218.0"	"0.0"	"Week1"	"9.0"	"R"	"34.0"	"AL SHALLAL"	"24402 WARREN, DEARBORN HEIGHTS MI 48126 US,   US"	"-83.277301"	"42.341647"
"166"	"25142.0"	"0.0"	"Week1"	"9.0"	"F"	"16.0"	"GATE FOUR MEDICAL A-1 QUALITY"	"3001 MILLER RD RD 4 & F DPT D14A, DEARBORN MI 4812,   US"	"-83.166708"	"42.307589"
"172"	"25160.0"	"0.0"	"Week1"	"9.0"	"T"	"17.0"	"STEVE'S CONEY ISLAND"	"5727 WAYNE RD, WAYNE MI 48184 US,   US"	"-83.388187"	"42.267275"
"174"	"25173.0"	"0.0"	"Week1"	"9.0"	"F"	"27.0"	"GOLDEN FEATHER"	"29633 FORD ROAD, GARDEN CITY MI 48135 US,   US"	"-83.334507"	"42.325137"
"175"	"25225.0"	"0.0"	"Week1"	"9.0"	"F"	"11.0"	"DONUTVILLE U.S.A."	"14829 FORD ROAD, DEARBORN MI 48126 US,   US"	"-83.188736"	"42.328945"
"177"	"25233.0"	"0.0"	"Week1"	"9.0"	"F"	"2.0"	"MEXICAN FIESTA RESTAURANT"	"24310 FORD ROAD, DEARBORN MI 48127 US,   US"	"-83.275164"	"42.327162"
"178"	"25256.0"	"0.0"	"Week1"	"9.0"	"W"	"15.0"	"SOUTHGATE DAVITA 4219"	"14752 NORTHLINE RD., SOUTHGATE MI 48195 US,   US"	"-83.204419"	"42.214249"
"179"	"25266.0"	"0.0"	"Week1"	"9.0"	"W"	"8.0"	"MOSCHECKS MEAT & PRODUCE"	"5223 ALLEN RD., ALLEN PARK MI 48101 US,   US"	"-83.201256"	"42.264309"
"180"	"25270.0"	"0.0"	"Week1"	"9.0"	"F"	"15.0"	"ROUGE COMPLEX UAW-FORD"	"3001 MILLER RD ALL A1 QUALITY, DEARBORN MI 48121 U,   US"	"-83.166708"	"42.307589"
