rl_ID,rl_Branch,rl_Route,rl_CompleteTime,ri_Prompt,ri_Response
29980,12,38,11/30/22 5:45 AM,What is the vehicle number?,12760
29980,12,38,11/30/22 5:45 AM,What is the mileage of the vehicle?,195260
29980,12,38,11/30/22 5:45 AM,Has a vehicle inspection been performed?,Yes
29980,12,38,11/30/22 5:45 AM,Is the vehicle free of engine and mechanical issues?,Yes
29980,12,38,11/30/22 5:45 AM,"If engine or mechanical issues, do you have any comments?",NULL
29980,12,38,11/30/22 5:45 AM,Have all fluid levels been checked?,Yes
29980,12,38,11/30/22 5:45 AM,Are all tires within serviceable specs?,Yes
29980,12,38,11/30/22 5:45 AM,Is the lift gate operational and safe?,Yes
29980,12,38,11/30/22 5:45 AM,Any comments?,NULL
29980,12,38,11/30/22 5:45 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29978,12,35,11/30/22 5:16 AM,What is the vehicle number?,11583
29978,12,35,11/30/22 5:16 AM,What is the mileage of the vehicle?,330550
29978,12,35,11/30/22 5:16 AM,Has a vehicle inspection been performed?,Yes
29978,12,35,11/30/22 5:16 AM,Is the vehicle free of engine and mechanical issues?,Yes
29978,12,35,11/30/22 5:16 AM,"If engine or mechanical issues, do you have any comments?",NULL
29978,12,35,11/30/22 5:16 AM,Have all fluid levels been checked?,Yes
29978,12,35,11/30/22 5:16 AM,Are all tires within serviceable specs?,Yes
29978,12,35,11/30/22 5:16 AM,Is the lift gate operational and safe?,Yes
29978,12,35,11/30/22 5:16 AM,Any comments?,NULL
29978,12,35,11/30/22 5:16 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29975,12,13,11/30/22 5:09 AM,What is the vehicle number?,12095
29975,12,13,11/30/22 5:09 AM,What is the mileage of the vehicle?,126658
29975,12,13,11/30/22 5:09 AM,Has a vehicle inspection been performed?,Yes
29975,12,13,11/30/22 5:09 AM,Is the vehicle free of engine and mechanical issues?,Yes
29975,12,13,11/30/22 5:09 AM,"If engine or mechanical issues, do you have any comments?",NULL
29975,12,13,11/30/22 5:09 AM,Have all fluid levels been checked?,Yes
29975,12,13,11/30/22 5:09 AM,Are all tires within serviceable specs?,Yes
29975,12,13,11/30/22 5:09 AM,Is the lift gate operational and safe?,Yes
29975,12,13,11/30/22 5:09 AM,Any comments?,NULL
29975,12,13,11/30/22 5:09 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29976,12,23,11/30/22 5:08 AM,What is the vehicle number?,13075
29976,12,23,11/30/22 5:08 AM,What is the mileage of the vehicle?,85090
29976,12,23,11/30/22 5:08 AM,Has a vehicle inspection been performed?,Yes
29976,12,23,11/30/22 5:08 AM,Is the vehicle free of engine and mechanical issues?,Yes
29976,12,23,11/30/22 5:08 AM,"If engine or mechanical issues, do you have any comments?",no
29976,12,23,11/30/22 5:08 AM,Have all fluid levels been checked?,Yes
29976,12,23,11/30/22 5:08 AM,Are all tires within serviceable specs?,Yes
29976,12,23,11/30/22 5:08 AM,Is the lift gate operational and safe?,Yes
29976,12,23,11/30/22 5:08 AM,Any comments?,no
29976,12,23,11/30/22 5:08 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29974,12,3,11/30/22 3:47 AM,What is the vehicle number?,112096
29974,12,3,11/30/22 3:47 AM,What is the mileage of the vehicle?,138096
29974,12,3,11/30/22 3:47 AM,Has a vehicle inspection been performed?,Yes
29974,12,3,11/30/22 3:47 AM,Is the vehicle free of engine and mechanical issues?,Yes
29974,12,3,11/30/22 3:47 AM,"If engine or mechanical issues, do you have any comments?",NULL
29974,12,3,11/30/22 3:47 AM,Have all fluid levels been checked?,Yes
29974,12,3,11/30/22 3:47 AM,Are all tires within serviceable specs?,Yes
29974,12,3,11/30/22 3:47 AM,Is the lift gate operational and safe?,Yes
29974,12,3,11/30/22 3:47 AM,Any comments?,NULL
29974,12,3,11/30/22 3:47 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29977,12,32,11/29/22 2:39 PM,What is the vehicle number?,13676
29977,12,32,11/29/22 2:39 PM,What is the mileage of the vehicle?,139573
29977,12,32,11/29/22 2:39 PM,Has a vehicle inspection been performed?,Yes
29977,12,32,11/29/22 2:39 PM,Is the vehicle free of engine and mechanical issues?,Yes
29977,12,32,11/29/22 2:39 PM,"If engine or mechanical issues, do you have any comments?",NULL
29977,12,32,11/29/22 2:39 PM,Have all fluid levels been checked?,Yes
29977,12,32,11/29/22 2:39 PM,Are all tires within serviceable specs?,Yes
29977,12,32,11/29/22 2:39 PM,Is the lift gate operational and safe?,Yes
29977,12,32,11/29/22 2:39 PM,Any comments?,NULL
29977,12,32,11/29/22 2:39 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29931,12,38,11/29/22 5:26 AM,What is the vehicle number?,12760
29931,12,38,11/29/22 5:26 AM,What is the mileage of the vehicle?,195138
29931,12,38,11/29/22 5:26 AM,Has a vehicle inspection been performed?,Yes
29931,12,38,11/29/22 5:26 AM,Is the vehicle free of engine and mechanical issues?,Yes
29931,12,38,11/29/22 5:26 AM,"If engine or mechanical issues, do you have any comments?",NULL
29931,12,38,11/29/22 5:26 AM,Have all fluid levels been checked?,Yes
29931,12,38,11/29/22 5:26 AM,Are all tires within serviceable specs?,Yes
29931,12,38,11/29/22 5:26 AM,Is the lift gate operational and safe?,Yes
29931,12,38,11/29/22 5:26 AM,Any comments?,NULL
29931,12,38,11/29/22 5:26 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29930,12,35,11/29/22 5:23 AM,What is the vehicle number?,11583
29930,12,35,11/29/22 5:23 AM,What is the mileage of the vehicle?,330475
29930,12,35,11/29/22 5:23 AM,Has a vehicle inspection been performed?,Yes
29930,12,35,11/29/22 5:23 AM,Is the vehicle free of engine and mechanical issues?,Yes
29930,12,35,11/29/22 5:23 AM,"If engine or mechanical issues, do you have any comments?",NULL
29930,12,35,11/29/22 5:23 AM,Have all fluid levels been checked?,Yes
29930,12,35,11/29/22 5:23 AM,Are all tires within serviceable specs?,Yes
29930,12,35,11/29/22 5:23 AM,Is the lift gate operational and safe?,Yes
29930,12,35,11/29/22 5:23 AM,Any comments?,NULL
29930,12,35,11/29/22 5:23 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29937,12,23,11/29/22 5:13 AM,What is the vehicle number?,13075
29937,12,23,11/29/22 5:13 AM,What is the mileage of the vehicle?,84963
29937,12,23,11/29/22 5:13 AM,Has a vehicle inspection been performed?,Yes
29937,12,23,11/29/22 5:13 AM,Is the vehicle free of engine and mechanical issues?,Yes
29937,12,23,11/29/22 5:13 AM,"If engine or mechanical issues, do you have any comments?",no
29937,12,23,11/29/22 5:13 AM,Have all fluid levels been checked?,Yes
29937,12,23,11/29/22 5:13 AM,Are all tires within serviceable specs?,Yes
29937,12,23,11/29/22 5:13 AM,Is the lift gate operational and safe?,Yes
29937,12,23,11/29/22 5:13 AM,Any comments?,no
29937,12,23,11/29/22 5:13 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29928,12,13,11/29/22 4:50 AM,What is the vehicle number?,12095
29928,12,13,11/29/22 4:50 AM,What is the mileage of the vehicle?,125958
29928,12,13,11/29/22 4:50 AM,Has a vehicle inspection been performed?,Yes
29928,12,13,11/29/22 4:50 AM,Is the vehicle free of engine and mechanical issues?,Yes
29928,12,13,11/29/22 4:50 AM,"If engine or mechanical issues, do you have any comments?",NULL
29928,12,13,11/29/22 4:50 AM,Have all fluid levels been checked?,Yes
29928,12,13,11/29/22 4:50 AM,Are all tires within serviceable specs?,Yes
29928,12,13,11/29/22 4:50 AM,Is the lift gate operational and safe?,Yes
29928,12,13,11/29/22 4:50 AM,Any comments?,NULL
29928,12,13,11/29/22 4:50 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29929,12,32,11/29/22 4:38 AM,What is the vehicle number?,13676
29929,12,32,11/29/22 4:38 AM,What is the mileage of the vehicle?,139470
29929,12,32,11/29/22 4:38 AM,Has a vehicle inspection been performed?,Yes
29929,12,32,11/29/22 4:38 AM,Is the vehicle free of engine and mechanical issues?,Yes
29929,12,32,11/29/22 4:38 AM,"If engine or mechanical issues, do you have any comments?",NULL
29929,12,32,11/29/22 4:38 AM,Have all fluid levels been checked?,Yes
29929,12,32,11/29/22 4:38 AM,Are all tires within serviceable specs?,Yes
29929,12,32,11/29/22 4:38 AM,Is the lift gate operational and safe?,Yes
29929,12,32,11/29/22 4:38 AM,Any comments?,NULL
29929,12,32,11/29/22 4:38 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29927,12,3,11/28/22 2:50 PM,What is the vehicle number?,12096
29927,12,3,11/28/22 2:50 PM,What is the mileage of the vehicle?,137877
29927,12,3,11/28/22 2:50 PM,Has a vehicle inspection been performed?,Yes
29927,12,3,11/28/22 2:50 PM,Is the vehicle free of engine and mechanical issues?,Yes
29927,12,3,11/28/22 2:50 PM,"If engine or mechanical issues, do you have any comments?",NULL
29927,12,3,11/28/22 2:50 PM,Have all fluid levels been checked?,Yes
29927,12,3,11/28/22 2:50 PM,Are all tires within serviceable specs?,Yes
29927,12,3,11/28/22 2:50 PM,Is the lift gate operational and safe?,Yes
29927,12,3,11/28/22 2:50 PM,Any comments?,NULL
29927,12,3,11/28/22 2:50 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29876,12,32,11/28/22 6:06 AM,What is the vehicle number?,13676
29876,12,32,11/28/22 6:06 AM,What is the mileage of the vehicle?,139429
29876,12,32,11/28/22 6:06 AM,Has a vehicle inspection been performed?,Yes
29876,12,32,11/28/22 6:06 AM,Is the vehicle free of engine and mechanical issues?,Yes
29876,12,32,11/28/22 6:06 AM,"If engine or mechanical issues, do you have any comments?",NULL
29876,12,32,11/28/22 6:06 AM,Have all fluid levels been checked?,Yes
29876,12,32,11/28/22 6:06 AM,Are all tires within serviceable specs?,Yes
29876,12,32,11/28/22 6:06 AM,Is the lift gate operational and safe?,Yes
29876,12,32,11/28/22 6:06 AM,Any comments?,NULL
29876,12,32,11/28/22 6:06 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29874,12,3,11/28/22 5:50 AM,What is the vehicle number?,12096
29874,12,3,11/28/22 5:50 AM,What is the mileage of the vehicle?,137711
29874,12,3,11/28/22 5:50 AM,Has a vehicle inspection been performed?,Yes
29874,12,3,11/28/22 5:50 AM,Is the vehicle free of engine and mechanical issues?,Yes
29874,12,3,11/28/22 5:50 AM,"If engine or mechanical issues, do you have any comments?",NULL
29874,12,3,11/28/22 5:50 AM,Have all fluid levels been checked?,Yes
29874,12,3,11/28/22 5:50 AM,Are all tires within serviceable specs?,Yes
29874,12,3,11/28/22 5:50 AM,Is the lift gate operational and safe?,Yes
29874,12,3,11/28/22 5:50 AM,Any comments?,NULL
29874,12,3,11/28/22 5:50 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29902,12,38,11/28/22 5:29 AM,What is the vehicle number?,12760
29902,12,38,11/28/22 5:29 AM,What is the mileage of the vehicle?,195032
29902,12,38,11/28/22 5:29 AM,Has a vehicle inspection been performed?,Yes
29902,12,38,11/28/22 5:29 AM,Is the vehicle free of engine and mechanical issues?,Yes
29902,12,38,11/28/22 5:29 AM,"If engine or mechanical issues, do you have any comments?",NULL
29902,12,38,11/28/22 5:29 AM,Have all fluid levels been checked?,Yes
29902,12,38,11/28/22 5:29 AM,Are all tires within serviceable specs?,Yes
29902,12,38,11/28/22 5:29 AM,Is the lift gate operational and safe?,Yes
29902,12,38,11/28/22 5:29 AM,Any comments?,NULL
29902,12,38,11/28/22 5:29 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29877,12,35,11/28/22 5:24 AM,What is the vehicle number?,11583
29877,12,35,11/28/22 5:24 AM,What is the mileage of the vehicle?,330090
29877,12,35,11/28/22 5:24 AM,Has a vehicle inspection been performed?,Yes
29877,12,35,11/28/22 5:24 AM,Is the vehicle free of engine and mechanical issues?,Yes
29877,12,35,11/28/22 5:24 AM,"If engine or mechanical issues, do you have any comments?",NULL
29877,12,35,11/28/22 5:24 AM,Have all fluid levels been checked?,Yes
29877,12,35,11/28/22 5:24 AM,Are all tires within serviceable specs?,Yes
29877,12,35,11/28/22 5:24 AM,Is the lift gate operational and safe?,Yes
29877,12,35,11/28/22 5:24 AM,Any comments?,NULL
