Route,Type,Time
35,Send,12/1/22 9:19 AM
13,Send,12/1/22 1:00 PM
3,Send,12/1/22 12:50 PM
32,Send,12/1/22 12:42 PM
38,Send,12/1/22 6:23 PM
23,Send,1/20/22 1:27 PM
35,Send,1/20/22 5:47 PM
3,Send,1/20/22 3:30 PM
32,Send,1/20/22 3:10 PM
23,Send,1/21/22 12:16 PM
3,Send,1/21/22 12:30 PM
38,Send,1/21/22 4:02 PM
32,Send,1/21/22 5:03 PM
35,Send,1/21/22 1:48 PM
13,Send,1/21/22 5:42 PM
35,Send,1/26/22 1:18 PM
32,Send,1/26/22 1:27 PM
13,Send,1/26/22 12:53 PM
3,Send,1/26/22 2:25 PM
38,Send,1/26/22 4:51 PM
23,Send,1/26/22 5:23 PM
3,Send,1/24/22 5:47 PM
38,Send,1/24/22 5:48 PM
35,Send,1/25/22 1:50 PM
3,Send,1/25/22 2:18 PM
23,Send,1/25/22 4:41 PM
13,Send,1/25/22 2:22 PM
32,Send,1/25/22 4:07 PM
38,Send,1/25/22 6:07 PM
23,Send,1/19/22 3:06 PM
3,Send,1/19/22 3:18 PM
32,Send,1/19/22 4:08 PM
35,Send,1/20/22 7:36 AM
13,Send,1/20/22 2:19 PM
3,Send,1/20/22 2:26 PM
13,Send,1/20/22 2:38 PM
38,Send,1/20/22 1:01 PM
32,Send,7/12/22 1:36 PM
38,Send,7/12/22 2:23 PM
13,Send,7/12/22 2:28 PM
13,Send,7/12/22 2:28 PM
3,Send,7/12/22 2:32 PM
23,Send,7/12/22 4:25 PM
35,Send,7/12/22 4:49 PM
23,Send,7/22/22 3:29 PM
13,Send,7/22/22 2:29 PM
13,Send,7/22/22 2:30 PM
38,Send,7/22/22 2:40 PM
32,Send,7/22/22 4:40 PM
3,Send,7/22/22 11:36 AM
35,Send,7/22/22 6:14 PM
35,Send,5/3/22 12:26 PM
13,Send,5/3/22 2:21 PM
3,Send,5/3/22 2:22 PM
32,Send,5/3/22 5:06 PM
32,Send,5/3/22 5:10 PM
13,Send,5/3/22 2:47 PM
38,Send,5/3/22 5:21 PM
23,Send,5/3/22 5:37 PM
32,Send,5/13/22 3:55 PM
13,Send,5/13/22 1:58 PM
35,Send,5/13/22 1:09 PM
38,Send,5/13/22 1:18 PM
38,Send,5/13/22 1:18 PM
3,Send,5/16/22 1:06 PM
13,Send,5/16/22 1:40 PM
32,Send,5/16/22 2:17 PM
38,Send,6/21/22 4:26 PM
35,Send,6/21/22 3:42 PM
32,Send,6/22/22 1:12 PM
13,Send,6/22/22 12:24 PM
3,Send,6/22/22 2:51 PM
38,Send,6/22/22 3:39 PM
35,Send,6/22/22 5:12 PM
23,Send,6/22/22 5:23 PM
23,Send,2/22/22 5:29 PM
23,Send,2/22/22 5:29 PM
13,Send,2/22/22 8:47 PM
3,Send,2/23/22 3:01 PM
32,Send,2/23/22 3:45 PM
35,Send,2/23/22 1:08 PM
13,Send,2/23/22 1:32 PM
13,Send,2/23/22 1:32 PM
38,Send,2/23/22 1:50 PM
23,Send,2/23/22 7:09 PM
35,Send,2/24/22 6:37 AM
13,Send,2/24/22 2:06 PM
3,Send,2/25/22 1:56 PM
35,Send,2/25/22 2:05 PM
35,Send,2/25/22 2:08 PM
23,Send,2/25/22 2:09 PM
13,Send,2/25/22 1:06 PM
38,Send,2/25/22 1:17 PM
38,Send,2/25/22 1:17 PM
32,Send,2/25/22 5:19 PM
35,Send,2/28/22 12:09 PM
35,Send,2/28/22 12:09 PM
3,Send,2/28/22 1:09 PM
13,Send,2/28/22 1:27 PM
3,Send,3/1/22 3:18 PM
35,Send,3/1/22 2:17 PM
23,Send,3/1/22 6:45 PM
38,Send,3/1/22 6:25 PM
35,Send,3/2/22 12:15 PM
38,Send,3/2/22 1:36 PM
32,Send,3/2/22 6:21 PM
23,Send,3/2/22 6:36 PM
38,Send,3/10/22 1:29 PM
13,Send,3/10/22 2:24 PM
13,Send,3/10/22 2:36 PM
32,Send,3/10/22 3:18 PM
3,Send,3/10/22 3:03 PM
35,Send,3/10/22 3:39 PM
23,Send,3/10/22 4:59 PM
23,Send,2/28/22 5:10 PM
32,Send,2/28/22 5:16 PM
13,Send,3/1/22 1:35 PM
13,Send,3/1/22 1:35 PM
38,Send,2/28/22 5:33 PM
32,Send,3/1/22 4:00 PM
3,Send,3/2/22 4:22 PM
13,Send,3/2/22 1:20 PM
3,Send,3/2/22 3:07 PM
35,Send,3/3/22 9:40 AM
13,Send,3/3/22 1:52 PM
35,Send,3/3/22 12:35 PM
38,Send,3/3/22 12:42 PM
3,Send,3/3/22 4:46 PM
32,Send,3/3/22 5:27 PM
23,Send,3/3/22 6:13 PM
3,Send,3/4/22 12:46 PM
23,Send,3/4/22 1:21 PM
13,Send,3/4/22 1:39 PM
38,Send,3/4/22 2:20 PM
13,Send,3/8/22 1:55 PM
13,Send,5/20/22 1:53 PM
23,Send,5/20/22 2:48 PM
32,Send,5/20/22 3:20 PM
32,Send,5/20/22 3:23 PM
35,Send,5/20/22 4:19 PM
3,Send,6/15/22 1:49 PM
32,Send,6/15/22 1:10 PM
13,Send,6/15/22 11:42 AM
38,Send,6/15/22 5:16 PM
35,Send,6/15/22 4:48 PM
23,Send,6/15/22 4:51 PM
38,Send,6/16/22 12:57 PM
3,Send,6/16/22 1:52 PM
13,Send,6/16/22 1:57 PM
3,Send,5/20/22 1:14 PM
38,Send,5/20/22 1:20 PM
13,Send,5/23/22 4:06 PM
35,Send,5/23/22 12:38 PM
