rl_ID,rl_Branch,rl_Route,rl_CompleteTime,ri_Prompt,ri_Response,rl_Date
35445,15,47,5/31/23 4:01 PM,What is the vehicle number?,13660,6/1/2023
35445,15,47,5/31/23 4:01 PM,What is the mileage of the vehicle?,204581,6/1/2023
35445,15,47,5/31/23 4:01 PM,Has a vehicle inspection been performed?,Yes,6/1/2023
35445,15,47,5/31/23 4:01 PM,Is the vehicle free of engine and mechanical issues?,Yes,6/1/2023
35445,15,47,5/31/23 4:01 PM,"If engine or mechanical issues, do you have any comments?",n,6/1/2023
35445,15,47,5/31/23 4:01 PM,Have all fluid levels been checked?,Yes,6/1/2023
35445,15,47,5/31/23 4:01 PM,Are all tires within serviceable specs?,Yes,6/1/2023
35445,15,47,5/31/23 4:01 PM,Is the lift gate operational and safe?,Yes,6/1/2023
35445,15,47,5/31/23 4:01 PM,Any comments?,n,6/1/2023
35445,15,47,5/31/23 4:01 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,6/1/2023
35462,15,8010,5/31/23 3:28 PM,What is the vehicle number?,12390,5/31/2023
35462,15,8010,5/31/23 3:28 PM,What is the mileage of the vehicle?,5045,5/31/2023
35462,15,8010,5/31/23 3:28 PM,Has a vehicle inspection been performed?,Yes,5/31/2023
35462,15,8010,5/31/23 3:28 PM,Is the vehicle free of engine and mechanical issues?,Yes,5/31/2023
35462,15,8010,5/31/23 3:28 PM,"If engine or mechanical issues, do you have any comments?",NULL,5/31/2023
35462,15,8010,5/31/23 3:28 PM,Have all fluid levels been checked?,Yes,5/31/2023
35462,15,8010,5/31/23 3:28 PM,Are all tires within serviceable specs?,Yes,5/31/2023
35462,15,8010,5/31/23 3:28 PM,Is the lift gate operational and safe?,Yes,5/31/2023
35462,15,8010,5/31/23 3:28 PM,Any comments?,NULL,5/31/2023
35462,15,8010,5/31/23 3:28 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/31/2023
35463,15,12,5/31/23 2:54 PM,What is the vehicle number?,16937,5/31/2023
35463,15,12,5/31/23 2:54 PM,What is the mileage of the vehicle?,9659,5/31/2023
35463,15,12,5/31/23 2:54 PM,Has a vehicle inspection been performed?,Yes,5/31/2023
35463,15,12,5/31/23 2:54 PM,Is the vehicle free of engine and mechanical issues?,Yes,5/31/2023
35463,15,12,5/31/23 2:54 PM,"If engine or mechanical issues, do you have any comments?",no,5/31/2023
35463,15,12,5/31/23 2:54 PM,Have all fluid levels been checked?,Yes,5/31/2023
35463,15,12,5/31/23 2:54 PM,Are all tires within serviceable specs?,Yes,5/31/2023
35463,15,12,5/31/23 2:54 PM,Is the lift gate operational and safe?,Yes,5/31/2023
35463,15,12,5/31/23 2:54 PM,Any comments?,no,5/31/2023
35463,15,12,5/31/23 2:54 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/31/2023
35450,15,52,5/31/23 10:19 AM,What is the vehicle number?,12394,5/31/2023
