Route,Type,Time
50,Send,3/27/23 6:08 AM
8040,Send,3/28/23 2:49 PM
56,Send,3/27/23 2:49 PM
6,Send,3/27/23 2:14 PM
51,Send,3/28/23 5:56 AM
50,Send,3/28/23 11:34 AM
6,Send,3/28/23 1:38 PM
47,Send,3/28/23 2:30 PM
12,Send,3/28/23 3:07 PM
51,Send,3/28/23 2:12 PM
12,Send,12/16/22 2:49 PM
8040,Send,12/16/22 5:07 PM
8010,Send,12/19/22 5:09 PM
50,Send,12/16/22 2:08 PM
8010,Send,12/16/22 2:12 PM
47,Send,12/20/22 1:57 PM
12,Send,12/20/22 1:59 PM
8010,Send,12/20/22 2:18 PM
56,Send,12/20/22 3:48 PM
12,Send,1/9/23 2:54 PM
47,Send,1/9/23 3:00 PM
56,Send,1/9/23 4:02 PM
8040,Send,1/9/23 4:22 PM
51,Send,1/9/23 5:06 PM
51,Send,1/9/23 5:06 PM
51,Send,1/10/23 11:41 AM
47,Send,1/10/23 2:13 PM
8040,Send,1/10/23 2:51 PM
6,Send,1/10/23 2:58 PM
8010,Send,1/10/23 1:06 PM
52,Send,1/10/23 1:28 PM
50,Send,1/10/23 2:41 PM
51,Send,12/14/22 12:53 PM
50,Send,12/14/22 1:19 PM
56,Send,12/14/22 2:12 PM
6,Send,12/14/22 3:24 PM
8010,Send,12/14/22 3:25 PM
47,Send,12/14/22 4:56 PM
12,Send,12/14/22 6:02 PM
51,Send,12/15/22 1:05 PM
8010,Send,12/15/22 1:38 PM
50,Send,12/15/22 1:40 PM
8040,Send,12/14/22 5:21 PM
50,Send,12/15/22 1:40 PM
6,Send,12/15/22 2:09 PM
8040,Send,12/15/22 3:11 PM
51,Send,12/27/22 12:38 PM
47,Send,12/27/22 4:00 PM
47,Send,12/27/22 4:00 PM
56,Send,12/27/22 5:25 PM
51,Send,12/28/22 10:52 AM
56,Send,12/28/22 1:26 PM
47,Send,12/28/22 2:38 PM
52,Send,12/28/22 12:02 PM
50,Send,12/28/22 12:08 PM
8010,Send,12/28/22 4:55 PM
51,Send,12/20/22 1:17 PM
6,Send,12/20/22 1:29 PM
6,Send,12/20/22 1:29 PM
8040,Send,12/20/22 3:39 PM
52,Send,12/21/22 11:13 AM
8040,Send,12/21/22 1:42 PM
52,Send,12/22/22 11:53 AM
6,Send,12/22/22 3:21 PM
6,Send,12/22/22 3:21 PM
51,Send,12/22/22 3:35 PM
56,Send,12/22/22 3:52 PM
51,Send,12/22/22 11:42 AM
8040,Send,12/22/22 12:17 PM
50,Send,12/22/22 4:53 PM
47,Send,12/22/22 9:05 PM
8010,Send,12/22/22 5:48 PM
52,Send,12/22/22 2:09 PM
8010,Send,12/22/22 2:31 PM
47,Send,12/22/22 9:17 PM
50,Send,1/17/23 12:05 PM
47,Send,1/17/23 2:15 PM
50,Send,1/17/23 2:22 PM
12,Send,1/17/23 2:24 PM
6,Send,1/17/23 2:26 PM
8040,Send,1/17/23 4:32 PM
56,Send,1/17/23 4:39 PM
50,Send,1/18/23 6:00 AM
50,Send,1/18/23 12:25 PM
51,Send,1/18/23 12:45 PM
6,Send,1/18/23 2:13 PM
8010,Send,1/18/23 2:17 PM
8040,Send,1/18/23 2:40 PM
52,Send,1/18/23 11:31 AM
56,Send,1/18/23 3:28 PM
12,Send,1/18/23 4:12 PM
47,Send,1/18/23 4:16 PM
8010,Send,12/26/22 11:41 AM
47,Send,12/26/22 1:17 PM
56,Send,12/26/22 1:25 PM
51,Send,12/26/22 12:42 PM
52,Send,12/27/22 1:33 PM
8040,Send,12/27/22 1:59 PM
8010,Send,12/27/22 2:02 PM
50,Send,12/27/22 2:32 PM
47,Send,12/27/22 2:42 PM
6,Send,12/27/22 2:44 PM
12,Send,12/27/22 3:45 PM
8040,Send,12/23/22 12:54 PM
52,Send,2/8/23 12:08 PM
51,Send,2/8/23 12:46 PM
56,Send,2/8/23 2:55 PM
50,Send,2/8/23 11:57 AM
6,Send,2/8/23 2:32 PM
8040,Send,2/8/23 2:32 PM
12,Send,2/8/23 3:58 PM
8010,Send,2/8/23 4:05 PM
50,Send,2/9/23 5:34 AM
47,Send,2/8/23 3:32 PM
8040,Send,2/9/23 11:15 AM
50,Send,2/9/23 1:17 PM
12,Send,5/15/23 3:14 PM
52,Send,5/15/23 12:31 PM
50,Send,5/15/23 12:36 PM
8040,Send,5/15/23 12:38 PM
8010,Send,5/15/23 12:54 PM
47,Send,5/15/23 3:30 PM
47,Send,5/15/23 3:31 PM
56,Send,5/15/23 3:40 PM
8040,Send,5/16/23 12:26 PM
52,Send,5/16/23 12:31 PM
50,Send,5/16/23 12:41 PM
6,Send,5/16/23 1:07 PM
47,Send,5/16/23 1:51 PM
8010,Send,5/16/23 1:25 PM
12,Send,5/16/23 2:27 PM
12,Send,5/16/23 2:27 PM
50,Send,4/24/23 6:03 AM
12,Send,4/24/23 3:54 PM
52,Send,4/24/23 7:38 AM
8010,Send,4/24/23 2:16 PM
56,Send,4/24/23 2:45 PM
51,Send,4/24/23 2:57 PM
51,Send,4/24/23 3:01 PM
52,Send,3/28/23 12:09 PM
56,Send,3/28/23 4:27 PM
50,Send,3/29/23 11:59 AM
56,Send,3/29/23 2:35 PM
6,Send,3/29/23 3:47 PM
12,Send,3/29/23 3:54 PM
52,Send,2/15/23 2:25 PM
51,Send,2/15/23 3:19 PM
50,Send,2/15/23 12:26 PM
8040,Send,2/15/23 12:15 PM
56,Send,2/15/23 3:36 PM
6,Send,2/15/23 3:38 PM
8010,Send,2/15/23 3:07 PM
50,Send,2/16/23 6:01 AM
51,Send,2/13/23 2:08 PM
12,Send,2/13/23 4:12 PM
52,Send,2/13/23 7:34 PM
8010,Send,2/14/23 12:12 PM
50,Send,2/14/23 12:25 PM
50,Send,2/14/23 12:25 PM
51,Send,2/14/23 2:06 PM
56,Send,2/14/23 4:48 PM
52,Send,2/14/23 4:56 PM
47,Send,2/14/23 3:03 PM
12,Send,2/14/23 3:06 PM
6,Send,2/14/23 3:20 PM
8040,Send,2/14/23 3:31 PM
51,Send,2/21/23 12:12 PM
52,Send,2/21/23 1:12 PM
8040,Send,2/21/23 1:44 PM
8010,Send,2/21/23 12:21 PM
47,Send,2/21/23 1:03 PM
12,Send,2/21/23 2:57 PM
12,Send,2/21/23 2:58 PM
6,Send,2/21/23 4:23 PM
50,Send,2/21/23 11:52 AM
50,Send,2/22/23 5:59 AM
56,Send,2/21/23 4:46 PM
56,Send,2/21/23 4:46 PM
6,Send,2/10/23 2:26 PM
6,Send,2/10/23 2:43 PM
6,Send,2/10/23 2:51 PM
8040,Send,2/13/23 1:25 PM
50,Send,2/13/23 1:27 PM
47,Send,2/13/23 1:53 PM
56,Send,2/13/23 2:25 PM
56,Send,2/13/23 2:27 PM
6,Send,2/13/23 3:07 PM
8010,Send,2/13/23 1:39 PM
47,Send,2/13/23 2:40 PM
52,Send,6/1/23 12:01 PM
56,Send,6/1/23 2:18 PM
8040,Send,6/1/23 2:24 PM
8040,Send,6/1/23 2:25 PM
51,Send,6/1/23 1:56 PM
47,Send,6/1/23 3:01 PM
6,Send,6/1/23 3:23 PM
6,Send,6/1/23 3:23 PM
6,Send,5/18/23 3:28 PM
51,Send,5/18/23 3:56 PM
12,Send,5/18/23 4:11 PM
8010,Send,5/19/23 12:07 PM
12,Send,5/19/23 12:30 PM
6,Send,5/19/23 12:50 PM
6,Send,5/19/23 12:50 PM
8010,Send,5/19/23 1:06 PM
52,Send,5/19/23 10:01 AM
8040,Send,5/19/23 11:33 AM
50,Send,5/19/23 1:32 PM
50,Send,5/19/23 1:32 PM
47,Send,5/19/23 1:32 PM
56,Send,5/19/23 1:33 PM
51,Send,5/19/23 1:48 PM
52,Send,5/4/23 11:01 AM
50,Send,5/4/23 2:05 PM
50,Send,5/4/23 2:06 PM
51,Send,5/4/23 2:19 PM
12,Send,5/4/23 3:09 PM
56,Send,5/4/23 3:11 PM
8010,Send,5/4/23 12:42 PM
47,Send,5/4/23 1:44 PM
6,Send,5/4/23 2:29 PM
6,Send,5/4/23 2:31 PM
6,Send,5/4/23 2:31 PM
8040,Send,5/4/23 2:34 PM
12,Send,5/5/23 7:55 AM
52,Send,5/5/23 10:08 AM
51,Send,3/6/23 6:22 AM
6,Send,3/8/23 1:53 PM
6,Send,3/8/23 2:04 PM
6,Send,3/8/23 2:05 PM
6,Send,3/8/23 2:05 PM
6,Send,3/8/23 2:05 PM
6,Send,3/8/23 2:08 PM
50,Send,3/8/23 11:50 AM
50,Send,3/8/23 12:00 PM
8040,Send,3/8/23 2:17 PM
52,Send,3/8/23 12:15 PM
56,Send,3/8/23 1:17 PM
52,Send,3/9/23 11:07 AM
8040,Send,3/9/23 11:29 AM
51,Send,3/9/23 12:56 PM
56,Send,3/7/23 5:23 PM
12,Send,3/8/23 3:25 PM
56,Send,3/6/23 3:14 PM
52,Send,3/6/23 11:23 AM
47,Send,3/8/23 2:53 PM
47,Send,1/5/23 3:36 PM
50,Send,1/6/23 6:04 AM
56,Send,1/6/23 8:46 AM
51,Send,1/6/23 9:58 AM
8010,Send,1/6/23 11:03 AM
8010,Send,1/6/23 11:04 AM
52,Send,1/6/23 11:10 AM
6,Send,1/6/23 11:38 AM
12,Send,1/10/23 4:02 PM
56,Send,1/10/23 4:54 PM
56,Send,1/10/23 5:06 PM
8040,Send,1/12/23 11:42 AM
52,Send,1/12/23 12:34 PM
8010,Send,1/12/23 12:54 PM
50,Send,1/12/23 1:41 PM
51,Send,1/12/23 3:26 PM
56,Send,1/12/23 3:27 PM
6,Send,1/12/23 2:32 PM
12,Send,1/12/23 4:07 PM
47,Send,1/12/23 4:24 PM
51,Send,1/12/23 3:50 PM
51,Send,1/16/23 12:56 PM
47,Send,1/16/23 1:51 PM
8010,Send,1/16/23 2:18 PM
6,Send,1/16/23 2:24 PM
8040,Send,1/16/23 2:41 PM
12,Send,1/16/23 4:07 PM
52,Send,1/17/23 12:47 PM
56,Send,1/16/23 3:01 PM
8010,Send,1/17/23 12:34 PM
51,Send,1/17/23 1:05 PM
52,Send,3/20/23 1:23 PM
47,Send,3/20/23 2:54 PM
51,Send,3/21/23 6:12 AM
12,Send,3/21/23 1:22 PM
50,Send,3/21/23 1:25 PM
8040,Send,3/21/23 2:22 PM
8010,Send,3/21/23 12:38 PM
52,Send,3/21/23 12:46 PM
51,Send,3/21/23 1:33 PM
