Route,Type,Time
47,Send,7/19/22 4:18 PM
12,Send,7/19/22 4:24 PM
56,Send,7/19/22 4:53 PM
51,Send,7/20/22 12:37 PM
47,Send,7/20/22 1:46 PM
8040,Send,7/20/22 3:25 PM
8010,Send,7/20/22 1:19 PM
8060,Send,7/20/22 12:03 PM
52,Send,7/20/22 12:07 PM
50,Send,7/20/22 12:13 PM
12,Send,7/20/22 2:46 PM
6,Send,7/20/22 4:20 PM
6,Send,7/20/22 4:16 PM
56,Send,7/20/22 4:57 PM
52,Send,7/13/22 11:39 AM
8010,Send,7/13/22 1:01 PM
51,Send,7/13/22 1:21 PM
8040,Send,7/13/22 1:31 PM
50,Send,7/13/22 11:56 AM
47,Send,7/13/22 12:08 PM
6,Send,7/13/22 2:50 PM
56,Send,7/13/22 4:07 PM
8010,Send,7/14/22 12:28 PM
50,Send,7/14/22 1:31 PM
52,Send,7/19/22 11:35 AM
8010,Send,7/19/22 12:25 PM
8040,Send,7/19/22 12:52 PM
50,Send,7/19/22 12:54 PM
51,Send,7/19/22 2:26 PM
8060,Send,7/19/22 2:35 PM
6,Send,7/19/22 3:56 PM
6,Send,9/7/22 2:39 PM
47,Send,9/7/22 2:58 PM
12,Send,9/7/22 4:56 PM
12,Send,9/7/22 4:57 PM
47,Send,9/8/22 2:16 PM
50,Send,9/7/22 12:55 PM
51,Send,9/7/22 1:12 PM
8060,Send,9/7/22 1:12 PM
51,Send,9/8/22 12:46 PM
8010,Send,9/8/22 12:53 PM
8040,Send,9/8/22 12:56 PM
6,Send,9/8/22 2:56 PM
12,Send,9/8/22 3:22 PM
50,Send,9/8/22 11:31 AM
52,Send,9/8/22 1:34 PM
8040,Send,9/13/22 11:54 AM
8010,Send,9/13/22 12:49 PM
51,Send,9/13/22 1:07 PM
50,Send,9/13/22 2:01 PM
6,Send,9/13/22 4:25 PM
52,Send,9/13/22 12:14 PM
12,Send,9/13/22 2:23 PM
8060,Send,9/13/22 2:41 PM
47,Send,9/13/22 4:16 PM
56,Send,9/13/22 3:36 PM
8010,Send,9/14/22 1:21 PM
47,Send,9/14/22 3:02 PM
8040,Send,9/14/22 3:24 PM
12,Send,7/13/22 5:58 PM
51,Send,7/14/22 2:37 PM
8040,Send,7/14/22 1:11 PM
52,Send,7/14/22 10:57 AM
6,Send,7/14/22 1:48 PM
47,Send,7/14/22 2:16 PM
56,Send,7/14/22 3:27 PM
8060,Send,7/14/22 3:42 PM
12,Send,7/14/22 4:31 PM
52,Send,7/15/22 11:23 AM
51,Send,7/15/22 11:51 AM
50,Send,7/15/22 11:56 AM
8040,Send,7/15/22 12:30 PM
50,Send,7/15/22 12:31 PM
8010,Send,7/15/22 1:08 PM
12,Send,7/15/22 1:45 PM
50,Send,9/9/22 2:22 PM
8010,Send,9/9/22 2:45 PM
6,Send,9/9/22 3:06 PM
12,Send,9/9/22 3:16 PM
12,Send,9/9/22 3:51 PM
12,Send,9/9/22 3:51 PM
8060,Send,9/9/22 3:54 PM
52,Send,9/9/22 10:27 AM
47,Send,9/9/22 1:19 PM
8040,Send,9/9/22 12:21 PM
51,Send,9/9/22 4:55 PM
56,Send,9/9/22 4:11 PM
52,Send,9/10/22 8:46 AM
6,Send,9/10/22 12:13 PM
8040,Send,9/10/22 12:28 PM
56,Send,9/10/22 12:42 PM
47,Send,9/10/22 1:08 PM
50,Send,9/10/22 9:25 AM
51,Send,9/10/22 10:14 AM
8010,Send,9/10/22 10:42 AM
50,Send,9/12/22 6:15 AM
50,Send,9/12/22 12:12 PM
8010,Send,9/12/22 12:27 PM
52,Send,9/12/22 1:00 PM
8040,Send,9/12/22 1:15 PM
51,Send,9/12/22 1:24 PM
47,Send,9/12/22 2:41 PM
6,Send,9/12/22 4:24 PM
12,Send,9/12/22 3:46 PM
56,Send,9/12/22 4:46 PM
12,Send,8/11/22 3:20 PM
12,Send,8/11/22 3:20 PM
51,Send,8/11/22 4:47 PM
52,Send,8/12/22 8:02 AM
8040,Send,8/11/22 3:56 PM
51,Send,8/12/22 10:35 AM
50,Send,8/12/22 11:30 AM
8040,Send,8/12/22 12:42 PM
47,Send,8/12/22 1:31 PM
12,Send,8/12/22 2:00 PM
8010,Send,8/12/22 1:19 PM
6,Send,8/12/22 1:20 PM
8010,Send,8/12/22 1:22 PM
6,Send,8/22/22 2:34 PM
12,Send,8/22/22 3:35 PM
56,Send,8/22/22 5:10 PM
50,Send,8/23/22 6:30 AM
8010,Send,8/23/22 12:06 PM
52,Send,8/23/22 12:47 PM
8060,Send,8/23/22 12:59 PM
50,Send,8/23/22 1:12 PM
51,Send,8/23/22 1:18 PM
50,Send,8/23/22 1:19 PM
8040,Send,8/23/22 1:23 PM
6,Send,8/23/22 2:36 PM
56,Send,8/23/22 4:03 PM
12,Send,8/23/22 4:29 PM
47,Send,8/23/22 3:31 PM
56,Send,8/24/22 7:38 AM
50,Send,8/29/22 11:41 AM
8010,Send,8/29/22 12:47 PM
52,Send,8/29/22 1:13 PM
6,Send,8/29/22 2:23 PM
47,Send,8/29/22 2:24 PM
56,Send,8/26/22 4:12 PM
51,Send,8/29/22 10:20 AM
56,Send,8/29/22 4:38 PM
12,Send,8/29/22 3:30 PM
52,Send,8/30/22 11:52 AM
8010,Send,8/30/22 12:28 PM
8040,Send,8/29/22 1:37 PM
47,Send,8/16/22 3:51 PM
56,Send,8/16/22 4:06 PM
6,Send,8/16/22 5:55 PM
50,Send,8/17/22 12:18 PM
52,Send,8/18/22 12:26 PM
8040,Send,8/18/22 1:17 PM
8010,Send,8/18/22 1:36 PM
50,Send,8/18/22 2:18 PM
56,Send,8/18/22 3:08 PM
47,Send,8/18/22 3:48 PM
47,Send,8/19/22 1:57 PM
8010,Send,8/19/22 1:58 PM
51,Send,8/19/22 11:04 AM
8040,Send,8/19/22 11:36 AM
52,Send,8/19/22 11:55 AM
50,Send,8/19/22 12:48 PM
12,Send,8/19/22 1:27 PM
8010,Send,8/19/22 1:31 PM
6,Send,8/19/22 2:15 PM
56,Send,8/19/22 4:26 PM
52,Send,10/20/22 11:21 AM
50,Send,10/20/22 1:29 PM
8040,Send,10/20/22 1:48 PM
6,Send,10/20/22 2:38 PM
8060,Send,10/20/22 2:50 PM
47,Send,10/20/22 2:55 PM
12,Send,10/20/22 3:20 PM
51,Send,10/20/22 4:34 PM
50,Send,10/21/22 6:07 AM
6,Send,10/27/22 2:54 PM
52,Send,10/27/22 11:33 AM
47,Send,10/27/22 3:11 PM
8040,Send,10/28/22 9:40 AM
8040,Send,10/28/22 9:51 AM
52,Send,10/28/22 11:01 AM
50,Send,10/28/22 11:48 AM
50,Send,10/28/22 11:52 AM
50,Send,10/28/22 11:52 AM
47,Send,10/28/22 2:12 PM
52,Send,10/28/22 11:09 AM
12,Send,10/28/22 11:10 AM
8010,Send,10/28/22 12:56 PM
6,Send,10/28/22 1:06 PM
51,Send,10/28/22 1:08 PM
8060,Send,10/25/22 1:23 PM
51,Send,10/25/22 2:00 PM
51,Send,10/25/22 2:00 PM
56,Send,10/25/22 4:00 PM
47,Send,10/25/22 4:30 PM
6,Send,10/25/22 2:42 PM
12,Send,10/25/22 2:45 PM
50,Send,10/26/22 12:24 PM
8010,Send,10/26/22 12:36 PM
51,Send,10/26/22 1:19 PM
52,Send,10/26/22 12:13 PM
50,Send,10/26/22 12:48 PM
6,Send,10/26/22 3:01 PM
8040,Send,10/26/22 3:09 PM
47,Send,10/26/22 3:10 PM
12,Send,10/26/22 3:34 PM
56,Send,10/26/22 4:40 PM
56,Send,10/26/22 5:23 PM
50,Send,10/27/22 6:21 AM
8010,Send,10/27/22 12:29 PM
50,Send,10/27/22 12:54 PM
50,Send,10/27/22 1:23 PM
12,Send,10/27/22 1:25 PM
8040,Send,10/27/22 1:28 PM
8060,Send,10/27/22 1:39 PM
56,Send,10/27/22 1:42 PM
51,Send,10/27/22 3:28 PM
52,Send,11/2/22 12:36 PM
8010,Send,11/2/22 11:51 AM
51,Send,11/2/22 12:53 PM
8040,Send,11/2/22 2:13 PM
50,Send,11/2/22 2:51 PM
6,Send,11/2/22 3:12 PM
12,Send,11/2/22 4:56 PM
56,Send,11/2/22 4:58 PM
56,Send,11/2/22 5:03 PM
47,Send,11/2/22 4:26 PM
50,Send,11/3/22 12:46 PM
8010,Send,11/3/22 1:53 PM
56,Send,10/28/22 3:25 PM
51,Send,10/28/22 1:21 PM
56,Send,10/28/22 3:38 PM
6,Send,10/31/22 3:27 PM
50,Send,10/31/22 12:02 PM
52,Send,10/31/22 12:27 PM
8010,Send,10/31/22 12:34 PM
51,Send,10/31/22 1:24 PM
12,Send,10/31/22 1:54 PM
8040,Send,10/31/22 1:57 PM
56,Send,10/31/22 2:56 PM
47,Send,10/31/22 3:35 PM
50,Send,11/1/22 6:15 AM
56,Send,11/1/22 6:23 AM
8010,Send,11/1/22 12:12 PM
6,Send,11/1/22 2:59 PM
47,Send,11/1/22 3:14 PM
56,Send,11/1/22 3:34 PM
52,Send,11/1/22 12:39 PM
50,Send,11/1/22 1:17 PM
8060,Send,11/1/22 1:27 PM
50,Send,11/1/22 1:40 PM
50,Send,11/1/22 1:44 PM
12,Send,11/1/22 2:20 PM
51,Send,11/1/22 2:37 PM
8040,Send,11/1/22 2:53 PM
50,Send,11/3/22 6:11 AM
52,Send,11/3/22 12:06 PM
8060,Send,11/3/22 2:32 PM
56,Send,11/3/22 2:48 PM
51,Send,11/3/22 2:57 PM
47,Send,11/3/22 2:58 PM
6,Send,11/3/22 3:28 PM
8040,Send,11/3/22 3:31 PM
12,Send,11/3/22 3:37 PM
6,Send,7/15/22 2:56 PM
12,Send,7/15/22 3:04 PM
12,Send,7/15/22 3:04 PM
8010,Send,7/18/22 12:30 PM
52,Send,7/18/22 1:40 PM
6,Send,7/18/22 1:57 PM
47,Send,7/18/22 2:30 PM
12,Send,7/18/22 3:19 PM
50,Send,7/18/22 11:42 AM
51,Send,7/18/22 2:03 PM
8040,Send,7/18/22 2:05 PM
56,Send,7/18/22 4:33 PM
8010,Send,8/22/22 12:48 PM
52,Send,8/22/22 1:12 PM
8040,Send,8/22/22 2:17 PM
51,Send,8/22/22 11:54 AM
12,Send,8/22/22 3:39 PM
47,Send,8/22/22 3:48 PM
51,Send,8/17/22 1:53 PM
8040,Send,8/17/22 2:41 PM
47,Send,8/17/22 2:44 PM
8010,Send,8/17/22 3:01 PM
52,Send,8/17/22 11:55 AM
6,Send,8/17/22 4:49 PM
12,Send,8/17/22 5:03 PM
56,Send,8/17/22 5:37 PM
56,Send,8/17/22 5:37 PM
6,Send,8/18/22 12:33 PM
51,Send,8/18/22 2:47 PM
12,Send,8/18/22 2:50 PM
8060,Send,8/18/22 10:56 AM
50,Send,8/24/22 11:04 AM
51,Send,8/24/22 11:17 AM
52,Send,8/24/22 12:23 PM
8040,Send,8/24/22 1:28 PM
6,Send,8/24/22 3:39 PM
8010,Send,8/24/22 1:11 PM
47,Send,8/24/22 4:06 PM
56,Send,8/24/22 3:03 PM
8010,Send,8/25/22 12:32 PM
8040,Send,8/25/22 12:35 PM
50,Send,8/25/22 1:08 PM
47,Send,8/25/22 2:05 PM
