"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","HAUSBECK PICKLE-HESS","2","1","Route Stop","07:00:00","08:00:00","","60","580.196307692308","746.609846153846","","9400","","","","","True","07:00","16:00","False","","","No Priority","49.9","0","0","","1626 HESS AVE, SAGINAW MI 48601 US","1626 HESS AVE","","SAGINAW","MI","48601","US","-83.94306","43.399691","3","Street Address - Automatic","1626 Hess Ave, Saginaw MI 48601 US","1626 Hess Ave","","Saginaw","MI","48601","US","8401.58786889898","8.40158786889898","5.2205047360032","8401.58786889898","0","10.0971063465861","130545","00000","","MTWRFS","91","","20","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-1937","","-2088"
"2","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","TONYS RESTAURANT","3","2","Route Stop","08:09:53","08:17:53","","8","141.662958579882","143.801656804734","","3388","","","","","True","07:00","20:00","False","","","No Priority","0","0","0","","234 CENTER, SAGINAW MI 48603 US","234 CENTER","","SAGINAW","MI","48603","US","-84.014267","43.416883","5","Street Address - Manual","234 N Center Rd, Saginaw MI 48638 US","234 N Center Rd","","Saginaw","MI","48638","US","7463.08003241459","7.46308003241459","4.63734299543749","0","7463.08003241459","9.88463913719121","122891","00000","","MTWRFS","91","","40","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-1936","","-2089"
"3","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","RESLER ORTHODONTICS","4","3","Route Stop","08:19:39","08:22:39","","3","17.0279487179487","41.3535897435897","","3468","","","","","True","08:00","16:30","False","","","No Priority","0","0","0","","5545 COLONY DR N SUITE 2, SAGINAW MI 48638 US","5545 COLONY DR N","SUITE 2","SAGINAW","MI","48638","US","-84.025746","43.416684","3","Street Address - Automatic","5545 Colony Dr N, Saginaw MI 48638 US","5545 Colony Dr N","","Saginaw","MI","48638","US","1240.20446373433","1.24020446373433","0.770627335875957","0","1240.20446373433","1.77084383982552","123153","00000","","MTWRFS","91","","60","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-2056","","-2090"
"4","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","DR. RYAN MICHELSON DDS","5","4","Route Stop","08:23:16","08:28:16","","5","40.7040384615385","48.9498076923077","","10613","","","","","True","08:00","16:30","False","","","No Priority","0","0","0","","65 N. FROST, SAGINAW MI 48638 US","65 N. FROST","","SAGINAW","MI","48638","US","-84.028184","43.415844","3","Street Address - Automatic","65 N Frost Dr, Saginaw MI 48638 US","65 N Frost Dr","","Saginaw","MI","48638","US","295.631292459384","0.295631292459384","0.183696770953038","0","295.631292459384","0.612057227250489","131525","00000","","MTWRFS","91","","70","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-2058","","-2091"
"5","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","GLOBAL TAN","6","5","Route Stop","08:30:36","08:38:36","","8","14.5242307692308","17.165","","3470","","","","","True","08:00","21:00","False","","","No Priority","0","0","0","","7200 GRATIOT, SAGINAW MI 48609 US","7200 GRATIOT","","SAGINAW","MI","48609","US","-84.05582","43.41616","3","Street Address - Automatic","7200 Gratiot Rd, Saginaw MI 48609 US","7200 Gratiot Rd","","Saginaw","MI","48609","US","2325.93321845514","2.32593321845514","1.44526791507133","0","2325.93321845514","2.34031670072824","123155","00000","","MTWRFS","91","","80","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-2061","","-2092"
"6","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","FLANNIGANS PUB","7","6","Route Stop","08:39:17","08:49:17","","10","80.6476282051282","95.3108333333333","","8354","","","","","True","08:00","21:00","False","","","No Priority","0","0","0","","7734 GRATIOT AVE, SAGINAW MI 48609 US","7734 GRATIOT AVE","","SAGINAW","MI","48609","US","-84.065825","43.416326","3","Street Address - Automatic","7734 Gratiot Rd, Saginaw MI 48609 US","7734 Gratiot Rd","","Saginaw","MI","48609","US","810.27184688094","0.81027184688094","0.503479589822626","0","810.27184688094","0.676237762319687","99185","00002","","MTWRFS","91","","90","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-2060","","-2093"
"7","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","CARLETON EQUIPMENT-SAGINAW","8","7","Route Stop","09:09:06","09:39:06","","30","284.846686390532","352.182544378698","","10091","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","3380 MACK ROAD, SAGINAW MI 48601 US","3380 MACK ROAD","","SAGINAW","MI","48601","US","-83.88807","43.393292","3","Street Address - Automatic","3380 Mack Rd, Saginaw MI 48601 US","3380 Mack Rd","","Saginaw","MI","48601","US","17008.3474597548","17.0083474597548","10.5684972710848","0","17008.3474597548","19.8264714254581","99056","00000","","MTWRFS","91","","130","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-1939","","-2094"
"8","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","COMMUNITY AUTO","9","8","Route Stop","09:45:15","09:48:15","","3","36.6201775147929","77.0952071005917","","14068","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","2604 E. GENESSEE, SAGINAW MI 48601 US","2604 E. GENESSEE","","SAGINAW","MI","48601","US","-83.9170614","43.4083725","3","Street Address - Automatic","2604 E Genesee Ave, Saginaw MI 48601 US","2604 E Genesee Ave","","Saginaw","MI","48601","US","4298.56443538502","4.29856443538502","2.67100414149251","0","4298.56443538502","6.14010828246415","133049","00000","","MTWRFS","91","","150","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-1938","","-2095"
"9","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","MUFFLER MAN","10","9","Route Stop","09:52:07","09:59:07","","7","26.3165384615385","42.2865384615385","","3861","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","2310 HOLLAND AVE, SAGINAW MI 48601 US","2310 HOLLAND AVE","","SAGINAW","MI","48601","US","-83.920893","43.41444","3","Street Address - Automatic","2310 E Holland Ave, Saginaw MI 48601 US","2310 E Holland Ave","","Saginaw","MI","48601","US","1596.99900031085","1.59699900031085","0.992329185221953","0","1596.99900031085","3.88090823601183","128891","00000","","MTWRFS","91","","170","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-2057","","-2096"
"10","Saginaw 2024 ASIS","Asis_91","FreqOpt_Week1_Monday","","","SAVE A LOT 305","11","10","Route Stop","10:03:21","10:09:21","","6","73.991124260355","84.565798816568","","3346","","","","","True","08:00","20:00","False","","","No Priority","0","0","0","","3395 HOLLAND AVE, SAGINAW MI 48116 US","3395 HOLLAND AVE","","SAGINAW","MI","48116","US","-83.89640415","43.41476347","3","Street Address - Automatic","3395 E Holland Ave, Saginaw MI 48601 US","3395 E Holland Ave","","Saginaw","MI","48601","US","2097.22679625014","2.09722679625014","1.30315633105811","0","2097.22679625014","4.22470411103942","99110","00005","","MTWRFS","91","","200","","","3/27/2024 12:21:48 PM","3/27/2024 12:21:48 PM","2024/03/27 12:21","2024/03/27 12:21","-5","-81","-1985","","-2097"
