"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","ANIMAL HEALTH CARE","2","1","Route Stop","08:00:00","08:04:00","","4","28.72","33.1384615384615","","3722","","","","","True","08:00","17:00","False","","","Highest Priority","81.6037865821272","0","0","","726 E BROAD ST, CHESANING MI 48616 US","726 E BROAD ST","","CHESANING","MI","48616","US","-84.106989","43.182948","3","Street Address - Automatic","726 E Broad St, Chesaning MI 48616 US","726 E Broad St","","Chesaning","MI","48616","US","47938.6707494202","47.9386707494202","29.7877093699721","47938.6707494202","0","38.3962134178728","127218","00000","91","MTWRF","94","","200","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19451","","-28592"
"2","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","ADMIRAL 5872","3","2","Route Stop","08:09:42","08:18:42","","9","19.91","22.9730769230769","","13652","","","","","True","08:00","20:00","False","","","Highest Priority","0","0","0","","12800 BRADY RD, CHESANING MI 48616-8501 US","12800 BRADY RD","","CHESANING","MI","48616-8501","US","-84.165151","43.186999","3","Street Address - Automatic","12800 Brady Rd, Chesaning MI 48616 US","12800 Brady Rd","","Chesaning","MI","48616","US","4868.19491463812","4.86819491463812","3.02495611594259","0","4868.19491463812","5.70322525128722","99103","00051","91","MTWRFS","94","","220","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19457","","-28593"
"3","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","VG'S FRONT #1932 FIRST AID","4","3","Route Stop","08:32:59","08:42:59","","10","0","0","","13114","","","","","True","07:00","21:00","False","","","Highest Priority","0","0","0","","1341 N. M-52, OWOSSO MI 48867 US","1341 N. M-52","","OWOSSO","MI","48867","US","-84.178049","43.014298","3","Street Address - Automatic","1341 N M 52, Owosso MI 48867 US","1341 N M 52","","Owosso","MI","48867","US","19756.2800732867","19.7562800732867","12.2759834566743","0","19756.2800732867","14.2939664479345","99161","00390","91","MTWRF","94","","300","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19320","","-28594"
"4","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","VG'S FRONT #1932","5","4","Route Stop","08:42:59","09:12:59","","30","25.6947692307692","59.3113846153846","","3826","","","","","True","07:00","11:00","True","11:30","14:00","Highest Priority","0","0","0","","1341 N. M-52, OWOSSO MI 48867-1232 US","1341 N. M-52","","OWOSSO","MI","48867-1232","US","-84.178049","43.014298","3","Street Address - Automatic","1341 N M 52, Owosso MI 48867 US","1341 N M 52","","Owosso","MI","48867","US","0","0","0","0","0","0","99061","00390","91","MTWRF","94","","350","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19314","","-28595"
"5","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","SPT VG'S MEAT #1932","6","5","Route Stop","09:12:59","09:14:59","","2","12.4624852071006","13.2482840236686","","8195","","","","","True","07:00","11:00","True","11:30","14:00","Highest Priority","0","0","0","","1341 N. M-52, OWOSSO MI 48867-1232 US","1341 N. M-52","","OWOSSO","MI","48867-1232","US","-84.178049","43.014298","3","Street Address - Automatic","1341 N M 52, Owosso MI 48867 US","1341 N M 52","","Owosso","MI","48867","US","0","0","0","0","0","0","99061","00391","91","MTWRF","94","","320","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19315","","-28596"
"6","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","SPT VG'S BAKERY #1932","7","6","Route Stop","09:14:59","09:15:59","","1","28.020650887574","30.4916568047337","","8196","","","","","True","07:00","11:00","True","11:30","14:00","Highest Priority","0","0","0","","1341 N. M-52, OWOSSO MI 48867-1232 US","1341 N. M-52","","OWOSSO","MI","48867-1232","US","-84.178049","43.014298","3","Street Address - Automatic","1341 N M 52, Owosso MI 48867 US","1341 N M 52","","Owosso","MI","48867","US","0","0","0","0","0","0","99061","00392","91","MTWRF","94","","330","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19316","","-28597"
"7","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","SPT VG'S DELI #1932","8","7","Route Stop","09:15:59","09:16:59","","1","24.59","24.59","","8197","","","","","True","07:00","11:00","True","11:30","14:00","Highest Priority","0","0","0","","1341 N. M-52, OWOSSO MI 48867-1232 US","1341 N. M-52","","OWOSSO","MI","48867-1232","US","-84.178049","43.014298","3","Street Address - Automatic","1341 N M 52, Owosso MI 48867 US","1341 N M 52","","Owosso","MI","48867","US","0","0","0","0","0","0","99061","00393","91","MTWRF","94","","340","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19317","","-28598"
"8","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","VG'S PRODUCE #1932","9","8","Route Stop","09:16:59","09:18:59","","2","16.4927218934911","18.5518934911243","","16292","","","","","True","07:00","11:00","True","11:30","14:00","Highest Priority","0","0","0","","1341 N. M-52, OWOSSO MI 48867 US","1341 N. M-52","","OWOSSO","MI","48867","US","-84.178049","43.014298","3","Street Address - Automatic","1341 N M 52, Owosso MI 48867 US","1341 N M 52","","Owosso","MI","48867","US","0","0","0","0","0","0","99061","00495","91","MTWRF","94","","310","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19318","","-28599"
"9","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","HOME OFFICE REALTY","10","9","Route Stop","09:22:19","09:25:19","","3","17.4230128205128","20.5908333333333","","3746","","","","","True","08:00","17:00","False","","","No Priority","0","0","0","","209 W MAIN ST, OWOSSO MI 48867 US","209 W MAIN ST","","OWOSSO","MI","48867","US","-84.1724243","42.9973144","3","Street Address - Automatic","209 W Main St, Owosso MI 48867 US","209 W Main St","","Owosso","MI","48867","US","2378.47082472718","2.37847082472718","1.47791327052572","0","2378.47082472718","3.33005476184189","127264","00000","91","MTWRF","94","","370","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-21095","","-28600"
"10","Saginaw 2024 ASIS","com3_91","FreqOpt_Week1_Monday","","","ROMA'S BACKDOOR","11","10","Route Stop","09:26:13","09:27:13","","1","0","0","","3835","","","","","False","","","False","","","Highest Priority","0","0","0","","200 EAST COMSTOCK ST, OWOSSO MI 48867 US","200 EAST COMSTOCK ST","","OWOSSO","MI","48867","US","-84.168772","42.996363","3","Street Address - Automatic","200 E Comstock St, Owosso MI 48867 US","200 E Comstock St","","Owosso","MI","48867","US","406.909687208416","0.406909687208416","0.252841960632318","0","406.909687208416","0.896525382995605","128621","00000","91","MTWRFS","94","","380","","","3/26/2024 8:47:56 AM","3/26/2024 8:49:54 AM","","2024/03/26 08:49","-81","-821","-19312","","-28601"
