"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","DTE ENERGY","2","1","Route Stop","07:00:40","07:12:40","","12","8.16576923076923","35.385","","3790","","","","","False","","","False","","","No Priority","0","0","0","","111 E PICKARD, MT PLEASANT MI 48858 US","111 E PICKARD","","MT PLEASANT","MI","48858","US","-84.775912","43.612017","5","Street Address - Manual","111 E Pickard St, Mount Pleasant MI 48858 US","111 E Pickard St","","Mount Pleasant","MI","48858","US","92237.2612346329","92.2372612346329","57.3135776980773","92237.2612346329","0","60.6772556491196","99063","00008","92","MTWRFS","92","","15","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-8241","","-8470"
"2","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","BLARNEY CASTLE EZ MART 818","3","2","Route Stop","07:20:44","07:32:44","","12","127.562130177515","200.139408284024","","11171","","","","","True","06:00","22:00","False","","","Highest Priority","0","0","0","","3968 N. MISSION STREET, ROSEBUSH MI 48878 US","3968 N. MISSION STREET","","ROSEBUSH","MI","48878","US","-84.767554","43.698144","3","Street Address - Automatic","3968 N Mission Rd, Rosebush MI 48878 US","3968 N Mission Rd","","Rosebush","MI","48878","US","11573.2155871563","11.5732155871563","7.19126285725002","0","11573.2155871563","8.06549510359764","99031","00135","92","MTWRFS","92","","10","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7844","","-8471"
"3","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","BLARNEY CASTLE EZ MART 819","4","3","Route Stop","07:33:06","07:45:06","","12","168.326331360947","321.072130177515","","15663","","","","","False","","","False","","","Highest Priority","0","0","0","","4130 ROSEBUSH RD, ROSEBUSH MI 48878 US","4130 ROSEBUSH RD","","ROSEBUSH","MI","48878","US","-84.765054","43.698265","3","Street Address - Automatic","4130 E Rosebush Rd, Rosebush MI 48878 US","4130 E Rosebush Rd","","Rosebush","MI","48878","US","201.225688731893","0.201225688731893","0.125035847678163","0","201.225688731893","0.361923409625888","99031","00166","92","MTWRFS","92","","5","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7845","","-8472"
"4","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","CENTRAL MICHIGAN CATERING","5","4","Route Stop","07:55:06","08:05:06","","10","56.963","229.057","","3389","","","","","False","","","False","","","Highest Priority","0","0","0","","1010 WEST BROADWAY, MT PLEASANT MI 48858 US","1010 WEST BROADWAY","","MT PLEASANT","MI","48858","US","-84.788782","43.604531","5","Street Address - Manual","1010 W Broadway St, Mount Pleasant MI 48858 US","1010 W Broadway St","","Mount Pleasant","MI","48858","US","12837.5856351418","12.8375856351418","7.97690599121082","0","12837.5856351418","10.0090753976256","122894","00000","92","MTWRFS","92","","290","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7805","","-8473"
"5","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","CMU CAREY DINING 56207","6","5","Route Stop","08:10:32","08:17:32","","7","136.805192307692","228.008653846154","","15630","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","1901 S. WEST CAMPUS DR, MT PLEASANT MI 48858 US","1901 S. WEST CAMPUS DR","","MT PLEASANT","MI","48858","US","-84.7802833","43.58382","3","Street Address - Automatic","1901 W Campus Dr, Mount Pleasant MI 48858 US","1901 W Campus Dr","","Mount Pleasant","MI","48858","US","3346.03733400847","3.34603733400847","2.07913123347764","0","3346.03733400847","5.42993128485978","99033","00295","92","MTWRFS","92","","80","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7852","","-8474"
"6","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","CMU WHICH WICH 56219","7","6","Route Stop","08:20:30","08:25:30","","5","30.4458041958042","43.9772727272727","","15633","","","","","True","08:00","16:00","False","","","Highest Priority","0","0","0","","150 E BELLOWS, MT PLEASANT MI 48858 US","150 E BELLOWS","","MT PLEASANT","MI","48858","US","-84.7760493","43.5929435","3","Street Address - Automatic","150 E Bellows St, Mount Pleasant MI 48858 US","150 E Bellows St","","Mount Pleasant","MI","48858","US","1578.44375643364","1.57844375643364","0.980799491067679","0","1578.44375643364","2.96904051117599","99033","00297","92","MTWR","92","","55","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7854","","-8475"
"7","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","VIN TROFEOS","8","7","Route Stop","09:00:00","09:08:00","","8","22.7607692307692","42.27","","14331","","","","","True","09:00","21:00","False","","","Highest Priority","31.0166666666667","0","0","","120 S. UNIVERSITY, MT. PLEASANT MI 48858 US","120 S. UNIVERSITY","","MT. PLEASANT","MI","48858","US","-84.775692","43.603726","3","Street Address - Automatic","120 S University Ave, Mount Pleasant MI 48858 US","120 S University Ave","","Mount Pleasant","MI","48858","US","1260.51030284428","1.26051030284428","0.783244799490714","0","1260.51030284428","3.48314200527966","133163","00000","92","MTWRFS","92","","155","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7994","","-8476"
"8","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","CMU MARKET WOLDT 56213","9","8","Route Stop","09:13:10","09:26:10","","13","18.9056643356643","27.3081818181818","","15626","","","","","True","09:00","17:00","False","","","Highest Priority","0","0","0","","1901 S EAST CAMPUS DR, MT PLEASANT MI 48858 US","1901 S EAST CAMPUS DR","","MT PLEASANT","MI","48858","US","-84.780475","43.5838483","3","Street Address - Automatic","1901 E Campus Dr, Mount Pleasant MI 48858 US","1901 E Campus Dr","","Mount Pleasant","MI","48858","US","2612.87495245892","2.61287495245892","1.62356524465934","0","2612.87495245892","5.17619145475328","99033","00291","92","MTWRFS","92","","86","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7849","","-8477"
"9","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","CMU MARKET CAREY 56216","10","9","Route Stop","09:26:29","09:35:29","","9","18.3392307692308","26.49","","15627","","","","","True","09:00","23:00","False","","","Highest Priority","0","0","0","","1901 S. WEST CAMPUS DR, MT PLEASANT MI 48858 US","1901 S. WEST CAMPUS DR","","MT PLEASANT","MI","48858","US","-84.7802833","43.58382","3","Street Address - Automatic","1901 W Campus Dr, Mount Pleasant MI 48858 US","1901 W Campus Dr","","Mount Pleasant","MI","48858","US","95.4195332170894","0.0954195332170894","0.0592909498585427","0","95.4195332170894","0.310337422415614","99033","00292","92","MTWRFS","92","","81","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7850","","-8478"
"10","Saginaw 2024 ASIS","Beta_92","FreqOpt_Week1_Monday","","","BLARNEY CASTLE EZ MART 898","11","10","Route Stop","09:49:01","09:58:01","","9","57.2646153846154","105.255384615385","","10941","","","","","True","06:00","18:00","False","","","Highest Priority","0","0","0","","7961 WINN RD, WINN MI 48896 US","7961 WINN RD","","WINN","MI","48896","US","-84.90547","43.525773","5","Street Address - Manual","7961 S Winn Rd, Mount Pleasant MI 48858 US","7961 S Winn Rd","","Mount Pleasant","MI","48858","US","16785.151450839","16.785151450839","10.4298096991896","0","16785.151450839","13.5436909645796","99031","00128","92","MTWRFS","92","","180","","","3/27/2024 4:23:43 PM","3/27/2024 4:23:43 PM","2024/03/27 16:23","2024/03/27 16:23","-18","-341","-7817","","-8479"
