"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","BINKELMAN CORPORATION","2","1","Route Stop","07:00:00","07:15:00","","15","44.6245384615385","89.7108461538461","","3401","","","","","True","07:00","17:00","False","","","Highest Priority","53.9666666666667","0","0","","814 N OUTER DRIVE, SAGINAW MI 48601 US","814 N OUTER DRIVE","","SAGINAW","MI","48601","US","-83.8960387","43.4403175","3","Street Address - Automatic","814 N Outer Dr, Saginaw MI 48601 US","814 N Outer Dr","","Saginaw","MI","48601","US","5354.82829115139","5.35482829115139","3.32733608106669","5354.82829115139","0","6.02134068120027","122956","00000","93","MTWRFS","91","","180","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-151","","-2"
"2","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","PIPETEK","3","2","Route Stop","07:19:40","07:28:40","","9","134.522756410256","207.57108974359","","16324","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","3829 WOLF RD, SAGINAW MI 48601 US","3829 WOLF RD","","SAGINAW","MI","48601","US","-83.88571765","43.46335173","3","Street Address - Automatic","3829 Wolf Rd, Saginaw MI 48601 US","3829 Wolf Rd","","Saginaw","MI","48601","US","3451.92155970592","3.45192155970592","2.14492464186034","0","3451.92155970592","4.67808668943192","133755","00000","93","MTWRF","93","","430","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-146","","-3"
"3","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","DR ROBERT TAYLOR III","4","3","Route Stop","08:00:00","08:03:00","","3","18.6504395604396","28.8234065934066","","3409","","","","","True","08:00","17:00","False","","","Highest Priority","17.05","0","0","","1610 S. EUCLID, BAY CITY MI 48706 US","1610 S. EUCLID","","BAY CITY","MI","48706","US","-83.916117","43.584074","3","Street Address - Automatic","1610 S Euclid Ave, Bay City MI 48706 US","1610 S Euclid Ave","","Bay City","MI","48706","US","19545.8875364273","19.5458875364273","12.1452515935749","0","19545.8875364273","14.2716621960717","122969","00000","93","MTWRFS","93","","30","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-171","","-4"
"4","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","IDEAL PARTY STORE 203","5","4","Route Stop","08:04:57","08:16:57","","12","31.0160946745562","42.294674556213","","15565","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","401 SALZBURG AVE, BAY CITY MI 48706 US","401 SALZBURG AVE","","BAY CITY","MI","48706","US","-83.907853","43.579788","3","Street Address - Automatic","401 Salzburg Ave, Bay City MI 48706 US","401 Salzburg Ave","","Bay City","MI","48706","US","1216.47382268233","1.21647382268233","0.755881798968707","0","1216.47382268233","1.95419424660406","99058","00043","93","MTWRF","93","","10","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-44","","-5"
"5","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","WANIGAN EATERY","6","5","Route Stop","08:17:31","08:17:31","","0","0","0","","9572","","","","","False","","","False","","","No Priority","0","0","0","","1905 S WENONA, BAY CITY MI 48706 US","1905 S WENONA","","BAY CITY","MI","48706","US","-83.905489","43.580923","3","Street Address - Automatic","1905 S Wenona St, Bay City MI 48706 US","1905 S Wenona St","","Bay City","MI","48706","US","273.984355802135","0.273984355802135","0.170245987946","0","273.984355802135","0.569517387288073","130671","00000","93","MTWRFS","93","","330","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-383","","-6"
"6","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","MEATS & MOORE","7","6","Route Stop","09:00:00","09:12:00","","12","94.2439010989011","228.113021978022","","8864","","","","","True","09:00","17:00","False","","","Highest Priority","41.6833333333333","0","0","","1411 S WENOWA, BAY CITY MI 48706 US","1411 S WENOWA","","BAY CITY","MI","48706","US","-83.905304","43.585642","3","Street Address - Automatic","1411 S Wenona St, Bay City MI 48706 US","1411 S Wenona St","","Bay City","MI","48706","US","525.242892251968","0.525242892251968","0.326370806250076","0","525.242892251968","0.791940978699074","130013","00000","93","MTWRF","93","","340","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-53","","-7"
"7","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","DR. BRANDAN L LEBOURDAIS","8","7","Route Stop","09:16:24","09:30:24","","14","3.28076923076923","22.9653846153846","","3459","","","","","False","","","False","","","No Priority","0","0","0","","130 E MAIN ST, BAY CITY MI 48708 US","130 E MAIN ST","","BAY CITY","MI","48708","US","-83.89051","43.591003","3","Street Address - Automatic","130 E Main St, Bay City MI 48708 US","130 E Main St","","Bay City","MI","48708","US","2817.83714902091","2.81783714902091","1.7509228506917","0","2817.83714902091","4.41423294515479","123137","00000","93","MTWRFS","93","","260","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-378","","-8"
"8","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","UPTOWN GRILL","9","8","Route Stop","09:31:18","09:51:18","","20","228.89706959707","352.444468864469","","10380","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","3 EAST MAIN, BAY CITY MI 48708 US","3 EAST MAIN","","BAY CITY","MI","48708","US","-83.893022","43.591375","3","Street Address - Automatic","3 E Main St, Bay City MI 48708 US","3 E Main St","","Bay City","MI","48708","US","207.17256035981","0.20717256035981","0.128731062437848","0","207.17256035981","0.900925828606717","131354","00000","93","MTWRF","93","","10","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-37","","-9"
"9","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","SAGINAW BAY YACHT CLUB","10","9","Route Stop","10:03:44","10:10:44","","7","87.7794674556213","108.923609467456","","9771","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","2312 WEADOCK, ESSEXVILLE MI 48732 US","2312 WEADOCK","","ESSEXVILLE","MI","48732","US","-83.83617309","43.62475423","3","Street Address - Automatic","2312 Weadock Hwy, Essexville MI 48732 US","2312 Weadock Hwy","","Essexville","MI","48732","US","7258.01469725389","7.25801469725389","4.50992130205029","0","7258.01469725389","12.4226790514433","130832","00000","93","MTWRF","93","","30","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-38","","-10"
"10","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","BAY EYE CARE CENTER","11","10","Route Stop","10:20:26","10:25:26","","5","44.885","51.7903846153846","","3423","","","","","False","","","False","","","Highest Priority","0","0","0","","116 N. TUSCOLA, BAY CITY MI 48708 US","116 N. TUSCOLA","","BAY CITY","MI","48708","US","-83.8598017","43.5815833","5","Street Address - Manual","116 N Tuscola St, Bay City MI 48708 US","116 N Tuscola St","","Bay City","MI","48708","US","6913.1915567596","6.9131915567596","4.29565813345358","0","6913.1915567596","9.7002437554259","122988","00000","93","MTWRFS","93","","110","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-162","","-11"
"11","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","11:11 BAR & GRILL","12","11","Route Stop","10:29:11","10:36:11","","7","49.0700549450549","72.3376373626374","","8414","","","","","False","","","False","","","Highest Priority","0","0","0","","615 S. FARRAGUT, BAY CITY MI 48708 US","615 S. FARRAGUT","","BAY CITY","MI","48708","US","-83.880043","43.584191","3","Street Address - Automatic","615 S Farragut St, Bay City MI 48708 US","615 S Farragut St","","Bay City","MI","48708","US","2643.67033764965","2.64367033764965","1.64270061010977","0","2643.67033764965","3.74858903354357","129760","00000","93","MTWRFS","93","","290","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-165","","-12"
"12","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","LITTLE CAESARS","13","12","Route Stop","10:38:37","10:47:37","","9","62.7676923076923","74.18","","14466","","","","","True","09:00","17:00","False","","","Highest Priority","0","0","0","","1006 LAFAYETTE, BAY CITY MI 48708 US","1006 LAFAYETTE","","BAY CITY","MI","48708","US","-83.887359","43.578336","3","Street Address - Automatic","1006 Lafayette Ave, Bay City MI 48708 US","1006 Lafayette Ave","","Bay City","MI","48708","US","1295.8525432993","1.2958525432993","0.805205449852938","0","1295.8525432993","2.44194699697465","122972","00002","93","MTWRFS","93","","310","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-169","","-13"
"13","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","A & W DRIVE INN","14","13","Route Stop","10:50:01","11:02:01","","12","0","0","","3550","","","","","False","","","False","","","Highest Priority","0","0","0","","301 LAFAYETTE, BAY CITY MI 48708-7727 US","301 LAFAYETTE","","BAY CITY","MI","48708-7727","US","-83.895506","43.579791","3","Street Address - Automatic","301 Lafayette Ave, Bay City MI 48708 US","301 Lafayette Ave","","Bay City","MI","48708","US","1066.43249510987","1.06643249510987","0.662650439205414","0","1066.43249510987","2.39629454443678","123336","00000","93","MTWRFS","93","","320","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-160","","-14"
"14","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","VOODOO TATTOO","15","14","Route Stop","11:02:16","11:12:16","","10","39.5595769230769","82.3558076923077","","9894","","","","","True","11:00","17:00","False","","","No Priority","0","0","0","","312 LAFAYETTE AVE., BAY CITY MI 48708 US","312 LAFAYETTE AVE.","","BAY CITY","MI","48708","US","-83.894834","43.579444","3","Street Address - Automatic","312 Lafayette Ave, Bay City MI 48708 US","312 Lafayette Ave","","Bay City","MI","48708","US","88.2031404908994","0.0882031404908994","0.0548068912505988","0","88.2031404908994","0.249191600711299","130933","00000","93","MTWRFS","93","","320","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-382","","-15"
"15","Saginaw 2024 ASIS","Charlie_93","FreqOpt_Week1_Monday","","","INDEPENDENT BANK 226","16","15","Route Stop","11:16:44","11:21:44","","5","0","111.94","","10397","","","","","True","09:00","17:00","False","","","No Priority","0","0","0","","623 WASHINGTON AVE, BAY CITY MI 48708 US","623 WASHINGTON AVE","","BAY CITY","MI","48708","US","-83.888349","43.596714","3","Street Address - Automatic","623 Washington Ave, Bay City MI 48708 US","623 Washington Ave","","Bay City","MI","48708","US","2338.21426709292","2.33821426709292","1.45289900500065","0","2338.21426709292","4.46749573536596","99035","00034","93","MTWRF","93","","240","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/04/28 13:09","2024/04/28 13:09","-1","-1","-375","","-16"
