"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","GRAND HAMBURGERS","2","1","Route Stop","06:50:16","06:55:16","","5","0","0","","16724","","","","","False","","","False","","","Highest Priority","0","0","0","","4907 GARFIELD RD, AUBURN MI 48611 US","4907 GARFIELD RD","","AUBURN","MI","48611","US","-84.089012","43.598948","3","Street Address - Automatic","4907 Garfield Rd, Auburn MI 48611 US","4907 Garfield Rd","","Auburn","MI","48611","US","35436.6410856901","35.4366410856901","22.0193081953846","35436.6410856901","0","20.2803428158287","133958","00000","91","MTWRFS","93","","370","","","5/22/2024 1:35:06 PM","5/22/2024 1:35:06 PM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-395","","-2"
"2","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","ROGERS FAMILY FOODS #4962 FA","3","2","Route Stop","06:55:43","07:10:43","","15","0","0","","14904","","","","","False","","","False","","","Highest Priority","0","0","0","","985 W MIDLAND RD, AUBURN MI 48611 US","985 W MIDLAND RD","","AUBURN","MI","48611","US","-84.088848","43.602573","3","Street Address - Automatic","985 W Midland Rd, Auburn MI 48611 US","985 W Midland Rd","","Auburn","MI","48611","US","406.861602544508","0.406861602544508","0.252812082207004","0","406.861602544508","0.439599711571766","99161","00126","91","MTWRFS","93","","380","","","5/22/2024 1:35:06 PM","5/22/2024 1:35:06 PM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-391","","-3"
"3","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","ROGERS FAMILY FOODS #4962","4","3","Route Stop","07:10:43","07:25:43","","15","76.7076331360946","78.164674556213","","14903","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","985 W MIDLAND RD, AUBURN MI 48611 US","985 W MIDLAND RD","","AUBURN","MI","48611","US","-84.088848","43.602573","3","Street Address - Automatic","985 W Midland Rd, Auburn MI 48611 US","985 W Midland Rd","","Auburn","MI","48611","US","0","0","0","0","0","0","99062","00126","91","MTWRF","93","","390","","","5/22/2024 1:35:06 PM","5/22/2024 1:35:06 PM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-387","","-4"
"4","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","DR. BRANDAN L LEBOURDAIS","5","4","Route Stop","07:38:18","07:52:18","","14","3.28076923076923","22.9653846153846","","3459","","","","","False","","","False","","","No Priority","0","0","0","","130 E MAIN ST, BAY CITY MI 48708 US","130 E MAIN ST","","BAY CITY","MI","48708","US","-83.89051","43.591003","3","Street Address - Automatic","130 E Main St, Bay City MI 48708 US","130 E Main St","","Bay City","MI","48708","US","17636.262069224","17.636262069224","10.9586653254682","0","17636.262069224","12.5829695636662","123137","00000","93","MTWRFS","93","","260","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-366","","-5"
"5","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","UPTOWN GRILL","6","5","Route Stop","07:52:54","08:12:54","","20","228.89706959707","352.444468864469","","10380","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","3 EAST MAIN, BAY CITY MI 48708 US","3 EAST MAIN","","BAY CITY","MI","48708","US","-83.893022","43.591375","3","Street Address - Automatic","3 E Main St, Bay City MI 48708 US","3 E Main St","","Bay City","MI","48708","US","210.978054684638","0.210978054684638","0.131095687013059","0","210.978054684638","0.606641448682581","131354","00000","93","MTWRF","93","","10","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-37","","-6"
"6","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","A & W DRIVE INN","7","6","Route Stop","08:16:19","08:28:19","","12","0","0","","3550","","","","","False","","","False","","","Highest Priority","0","0","0","","301 LAFAYETTE, BAY CITY MI 48708-7727 US","301 LAFAYETTE","","BAY CITY","MI","48708-7727","US","-83.895506","43.579791","3","Street Address - Automatic","301 Lafayette Ave, Bay City MI 48708 US","301 Lafayette Ave","","Bay City","MI","48708","US","1756.25013679417","1.75625013679417","1.09128325499996","0","1756.25013679417","3.41885387131775","123336","00000","93","MTWRFS","93","","320","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-154","","-7"
"7","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","IDEAL PARTY STORE 203","8","7","Route Stop","08:29:48","08:41:48","","12","31.0160946745562","42.294674556213","","15565","","","","","True","07:00","17:00","False","","","Highest Priority","0","0","0","","401 SALZBURG AVE, BAY CITY MI 48706 US","401 SALZBURG AVE","","BAY CITY","MI","48706","US","-83.907853","43.579788","3","Street Address - Automatic","401 Salzburg Ave, Bay City MI 48706 US","401 Salzburg Ave","","Bay City","MI","48706","US","1033.4367252421","1.0334367252421","0.642147818087754","0","1033.4367252421","1.48746199750609","99058","00043","93","MTWRF","93","","10","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-44","","-8"
"8","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","WANIGAN EATERY","9","8","Route Stop","08:42:21","08:42:21","","0","0","0","","9572","","","","","False","","","False","","","No Priority","0","0","0","","1905 S WENONA, BAY CITY MI 48706 US","1905 S WENONA","","BAY CITY","MI","48706","US","-83.905489","43.580923","3","Street Address - Automatic","1905 S Wenona St, Bay City MI 48706 US","1905 S Wenona St","","Bay City","MI","48706","US","273.74882123233","0.27374882123233","0.170099633547718","0","273.74882123233","0.5342663991172","130671","00000","93","MTWRFS","93","","330","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-371","","-9"
"9","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","MEATS & MOORE","10","9","Route Stop","09:00:01","09:12:01","","12","94.2439010989011","228.113021978022","","8864","","","","","True","09:00","17:00","False","","","Highest Priority","0","0","0","","1411 S WENOWA, BAY CITY MI 48706 US","1411 S WENOWA","","BAY CITY","MI","48706","US","-83.905304","43.585642","3","Street Address - Automatic","1411 S Wenona St, Bay City MI 48706 US","1411 S Wenona St","","Bay City","MI","48706","US","526.407695933645","0.526407695933645","0.327094581711524","0","526.407695933645","0.785026974272341","130013","00000","93","MTWRF","93","","340","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-53","","-10"
"10","Saginaw 2024 foxtrot","Charlie_93","FreqOpt_Week1_Monday","","","LITTLE CAESARS","11","10","Route Stop","09:16:29","09:25:29","","9","62.7676923076923","74.18","","14466","","","","","True","09:00","17:00","False","","","Highest Priority","0","0","0","","1006 LAFAYETTE, BAY CITY MI 48708 US","1006 LAFAYETTE","","BAY CITY","MI","48708","US","-83.887359","43.578336","3","Street Address - Automatic","1006 Lafayette Ave, Bay City MI 48708 US","1006 Lafayette Ave","","Bay City","MI","48708","US","2349.0562326582","2.3490562326582","1.4596358901543","0","2349.0562326582","4.46731616367268","122972","00002","93","MTWRFS","93","","310","","","4/8/2024 10:08:19 AM","4/8/2024 10:08:19 AM","2024/07/12 07:39","2024/07/12 07:39","-1","-1","-163","","-11"
