"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"1","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","DEAN TRANSPORTATION-BIRCH RUN","2","1","Route Stop","06:17:14","06:22:14","","5","46.49","46.49","","15963","","","","","True","06:00","09:00","True","14:00","17:00","Highest Priority","0","0","0","","12400 CHURCH STREET, BIRCH RUN MI 48415 US","12400 CHURCH STREET","","BIRCH RUN","MI","48415","US","-83.7954407","43.2460352","3","Street Address - Automatic","12400 Church St, Birch Run MI 48415 US","12400 Church St","","Birch Run","MI","48415","US","25435.0581199387","25.4350581199387","15.8046125860561","25435.0581199387","0","17.2342402970448","99169","00011","94","MTWRF","94","","5","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-460","","-445"
"2","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","DOTTYS PET CENTER (CLIO)","3","2","Route Stop","09:00:04","09:04:04","","4","42.8957692307692","50.695","","3761","","","","","True","09:00","20:00","False","","","Highest Priority","0","0","0","","315 WEST VIENNA, CLIO MI 48470 US","315 WEST VIENNA","","CLIO","MI","48470","US","-83.737455","43.176851","5","Street Address - Manual","315 W Vienna St, Clio MI 48420 US","315 W Vienna St","","Clio","MI","48420","US","12964.1627183271","12.9641627183271","8.05555734528217","0","12964.1627183271","10.4958788211397","127295","00000","94","MTWRFs","94","","190","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/07/22 18:10","2024/07/22 18:10","-2","-21","-644","","-446"
"3","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG'S MKT PRODUCE #1925","4","3","Route Stop","09:06:05","09:07:05","","1","2.4","2.4","","16291","","","","","True","06:00","09:30","True","10:00","14:00","Highest Priority","0","0","0","","710 S. MILL, CLIO MI 48420 US","710 S. MILL","","CLIO","MI","48420","US","-83.735651","43.171075","3","Street Address - Automatic","710 S Mill St, Clio MI 48420 US","710 S Mill St","","Clio","MI","48420","US","1040.161014891","1.040161014891","0.646326098016038","0","1040.161014891","2.01445081841473","99061","00494","94","MTWRF","94","","20","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-471","","-447"
"4","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG'S MEAT #1925","5","4","Route Stop","09:07:05","09:08:05","","1","13.7047337278107","14.7783431952663","","8201","","","","","True","06:00","09:30","True","10:00","14:00","Highest Priority","0","0","0","","710 S. MILL, CLIO MI 48420-1491 US","710 S. MILL","","CLIO","MI","48420-1491","US","-83.735651","43.171075","3","Street Address - Automatic","710 S Mill St, Clio MI 48420 US","710 S Mill St","","Clio","MI","48420","US","0","0","0","0","0","0","99061","00394","94","MTWRF","94","","30","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-477","","-448"
"5","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG'S BAKERY #1925","6","5","Route Stop","09:08:05","09:10:05","","2","20.04","20.04","","8202","","","","","True","06:00","09:30","True","10:00","14:00","Highest Priority","0","0","0","","710 S. MILL, CLIO MI 48420-1491 US","710 S. MILL","","CLIO","MI","48420-1491","US","-83.735651","43.171075","3","Street Address - Automatic","710 S Mill St, Clio MI 48420 US","710 S Mill St","","Clio","MI","48420","US","0","0","0","0","0","0","99061","00395","94","MTWRF","94","","35","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-476","","-449"
"6","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG'S DELI #1925","7","6","Route Stop","09:10:05","09:12:05","","2","18.23","18.23","","8203","","","","","True","06:00","09:30","True","10:00","14:00","Highest Priority","0","0","0","","710 S. MILL, CLIO MI 48420-1491 US","710 S. MILL","","CLIO","MI","48420-1491","US","-83.735651","43.171075","3","Street Address - Automatic","710 S Mill St, Clio MI 48420 US","710 S Mill St","","Clio","MI","48420","US","0","0","0","0","0","0","99061","00396","94","MTWRF","94","","40","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-475","","-450"
"7","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG MKT FRT #1925 FIRST AID","8","7","Route Stop","09:12:05","09:27:05","","15","0","413.99","","13024","","","","","False","","","False","","","Highest Priority","0","0","0","","710 S. MILL, CLIO MI 48420 US","710 S. MILL","","CLIO","MI","48420","US","-83.735651","43.171075","3","Street Address - Automatic","710 S Mill St, Clio MI 48420 US","710 S Mill St","","Clio","MI","48420","US","0","0","0","0","0","0","99161","00386","94","MTWRFS","94","","25","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-462","","-451"
"8","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG'S MKT FRONT #1925","9","8","Route Stop","09:27:05","09:57:05","","30","33.1621301775148","58.127100591716","","3806","","","","","True","06:00","09:30","True","10:00","14:00","Highest Priority","0","0","0","","710 S. MILL, CLIO MI 48420-1491 US","710 S. MILL","","CLIO","MI","48420-1491","US","-83.735651","43.171075","3","Street Address - Automatic","710 S Mill St, Clio MI 48420 US","710 S Mill St","","Clio","MI","48420","US","0","0","0","0","0","0","99061","00386","94","MTWRF","94","","45","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-479","","-452"
"9","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG'S DELI #1929","10","9","Route Stop","10:09:59","10:10:59","","1","19.73","19.73","","8216","","","","","True","06:00","09:30","True","10:00","14:00","Highest Priority","0","0","0","","7461 N. GENESEE, GENESEE MI 48437-0245 US","7461 N. GENESEE","","GENESEE","MI","48437-0245","US","-83.618816","43.118613","3","Street Address - Automatic","7461 N Genesee Rd, Genesee MI 48437 US","7461 N Genesee Rd","","Genesee","MI","48437","US","13951.7289869578","13.9517289869578","8.66920258270075","0","13951.7289869578","12.9062999171756","99061","00399","94","MTWRF","94","","100","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-472","","-453"
"10","Saginaw 2024 Golf","FoxTrot_94","FreqOpt_Week1_Monday","","","SPT VG'S MEAT #1929","11","10","Route Stop","10:10:59","10:11:59","","1","11.41","11.41","","8214","","","","","True","06:00","09:30","True","10:00","14:00","Highest Priority","0","0","0","","7461 N. GENESEE, GENESEE MI 48437-0245 US","7461 N. GENESEE","","GENESEE","MI","48437-0245","US","-83.618816","43.118613","3","Street Address - Automatic","7461 N Genesee Rd, Genesee MI 48437 US","7461 N Genesee Rd","","Genesee","MI","48437","US","0","0","0","0","0","0","99061","00397","94","MTWRF","94","","105","","","4/8/2024 10:08:21 AM","4/8/2024 10:08:21 AM","2024/05/14 09:14","2024/07/22 18:10","-2","-21","-474","","-454"
